[DMH_INCIDENT].[FechaHoraID].[FechaHoraID].[MEMBER_UNIQUE_NAME],[DMH_INCIDENT].[FechaHoraID].[FechaHoraID].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DMH_INCIDENT].[FechaHoraID].&[2020010404],2020010404,156
[DMH_INCIDENT].[FechaHoraID].&[2020010405],2020010405,130
[DMH_INCIDENT].[FechaHoraID].&[2020010406],2020010406,180
[DMH_INCIDENT].[FechaHoraID].&[2020010407],2020010407,189
[DMH_INCIDENT].[FechaHoraID].&[2020010408],2020010408,287
[DMH_INCIDENT].[FechaHoraID].&[2020010409],2020010409,336
[DMH_INCIDENT].[FechaHoraID].&[2020010410],2020010410,426
[DMH_INCIDENT].[FechaHoraID].&[2020010411],2020010411,454
[DMH_INCIDENT].[FechaHoraID].&[2020010412],2020010412,427
[DMH_INCIDENT].[FechaHoraID].&[2020010413],2020010413,403
[DMH_INCIDENT].[FechaHoraID].&[2020010414],2020010414,464
[DMH_INCIDENT].[FechaHoraID].&[2020010415],2020010415,417
[DMH_INCIDENT].[FechaHoraID].&[2020010416],2020010416,434
[DMH_INCIDENT].[FechaHoraID].&[2020010417],2020010417,430
[DMH_INCIDENT].[FechaHoraID].&[2020010418],2020010418,497
[DMH_INCIDENT].[FechaHoraID].&[2020010419],2020010419,588
[DMH_INCIDENT].[FechaHoraID].&[2020010420],2020010420,568
[DMH_INCIDENT].[FechaHoraID].&[2020010421],2020010421,633
[DMH_INCIDENT].[FechaHoraID].&[2020010422],2020010422,680
[DMH_INCIDENT].[FechaHoraID].&[2020010423],2020010423,659
[DMH_INCIDENT].[FechaHoraID].&[2020010500],2020010500,647
[DMH_INCIDENT].[FechaHoraID].&[2020010501],2020010501,555
[DMH_INCIDENT].[FechaHoraID].&[2020010502],2020010502,604
[DMH_INCIDENT].[FechaHoraID].&[2020010503],2020010503,526
[DMH_INCIDENT].[FechaHoraID].&[2020010504],2020010504,361
[DMH_INCIDENT].[FechaHoraID].&[2020010505],2020010505,255
[DMH_INCIDENT].[FechaHoraID].&[2020010506],2020010506,247
[DMH_INCIDENT].[FechaHoraID].&[2020010507],2020010507,217
[DMH_INCIDENT].[FechaHoraID].&[2020010508],2020010508,251
[DMH_INCIDENT].[FechaHoraID].&[2020010509],2020010509,303
