[DMH_INCIDENT].[Columna calculada 1].[Columna calculada 1].[MEMBER_UNIQUE_NAME],[DMH_INCIDENT].[Columna calculada 1].[Columna calculada 1].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DMH_INCIDENT].[Columna calculada 1].&,,23260868
"[DMH_INCIDENT].[Columna calculada 1].&[DIRECCIÓN DEL INCIDENTE:PEL/ CHIMBORAZO-GARCIA MORENO_PELILEO
REFERENCIA: DE LA JUDICATURA A 50 METRSO 
SECTOR: AMBATO 
MULTIDESPACHO: NO 

ALERTANTE INDICA QUE:  AL PARECER PERSONA SE QUEMO LOS OJOS CON  JUEGOS PIROTECNICOS /8104]","DIRECCIÓN DEL INCIDENTE:PEL/ CHIMBORAZO-GARCIA MORENO_PELILEO
REFERENCIA: DE LA JUDICATURA A 50 METRSO 
SECTOR: AMBATO 
MULTIDESPACHO: NO 

ALERTANTE INDICA QUE:  AL PARECER PERSONA SE QUEMO LOS OJOS CON  JUEGOS PIROTECNICOS /8104",1
