[DMH_INCIDENT].[IncidentNewTypeId].[IncidentNewTypeId].[MEMBER_UNIQUE_NAME],[DMH_INCIDENT].[IncidentNewTypeId].[IncidentNewTypeId].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DMH_INCIDENT].[IncidentNewTypeId].&[20598],20598,248
[DMH_INCIDENT].[IncidentNewTypeId].&[20599],20599,217
[DMH_INCIDENT].[IncidentNewTypeId].&[20600],20600,431
[DMH_INCIDENT].[IncidentNewTypeId].&[20601],20601,91
[DMH_INCIDENT].[IncidentNewTypeId].&[20604],20604,49201
[DMH_INCIDENT].[IncidentNewTypeId].&[20606],20606,3829
[DMH_INCIDENT].[IncidentNewTypeId].&[20607],20607,5448
[DMH_INCIDENT].[IncidentNewTypeId].&[20609],20609,52215
[DMH_INCIDENT].[IncidentNewTypeId].&[20610],20610,328
[DMH_INCIDENT].[IncidentNewTypeId].&[20614],20614,476379
[DMH_INCIDENT].[IncidentNewTypeId].&[20617],20617,1232622
[DMH_INCIDENT].[IncidentNewTypeId].&[20622],20622,36594
[DMH_INCIDENT].[IncidentNewTypeId].&[20623],20623,815
[DMH_INCIDENT].[IncidentNewTypeId].&[20625],20625,384
[DMH_INCIDENT].[IncidentNewTypeId].&[20626],20626,643
[DMH_INCIDENT].[IncidentNewTypeId].&[20627],20627,724
[DMH_INCIDENT].[IncidentNewTypeId].&[20629],20629,470
[DMH_INCIDENT].[IncidentNewTypeId].&[20631],20631,462
[DMH_INCIDENT].[IncidentNewTypeId].&[20632],20632,2698
[DMH_INCIDENT].[IncidentNewTypeId].&[20635],20635,1021
[DMH_INCIDENT].[IncidentNewTypeId].&[20636],20636,796
[DMH_INCIDENT].[IncidentNewTypeId].&[20637],20637,748
[DMH_INCIDENT].[IncidentNewTypeId].&[20639],20639,373
[DMH_INCIDENT].[IncidentNewTypeId].&[20642],20642,219604
[DMH_INCIDENT].[IncidentNewTypeId].&[20643],20643,4641
[DMH_INCIDENT].[IncidentNewTypeId].&[20644],20644,148707
[DMH_INCIDENT].[IncidentNewTypeId].&[20646],20646,433
[DMH_INCIDENT].[IncidentNewTypeId].&[20647],20647,627
[DMH_INCIDENT].[IncidentNewTypeId].&[20648],20648,38461
[DMH_INCIDENT].[IncidentNewTypeId].&[20650],20650,2273
[DMH_INCIDENT].[IncidentNewTypeId].&[20651],20651,2677
[DMH_INCIDENT].[IncidentNewTypeId].&[20652],20652,15855
[DMH_INCIDENT].[IncidentNewTypeId].&[20653],20653,24223
[DMH_INCIDENT].[IncidentNewTypeId].&[20655],20655,44787
[DMH_INCIDENT].[IncidentNewTypeId].&[20656],20656,153
[DMH_INCIDENT].[IncidentNewTypeId].&[20657],20657,41208
[DMH_INCIDENT].[IncidentNewTypeId].&[20658],20658,2357
[DMH_INCIDENT].[IncidentNewTypeId].&[20660],20660,248905
[DMH_INCIDENT].[IncidentNewTypeId].&[20662],20662,123453
[DMH_INCIDENT].[IncidentNewTypeId].&[20664],20664,45212
[DMH_INCIDENT].[IncidentNewTypeId].&[20665],20665,178087
[DMH_INCIDENT].[IncidentNewTypeId].&[20667],20667,1387
[DMH_INCIDENT].[IncidentNewTypeId].&[20668],20668,711
[DMH_INCIDENT].[IncidentNewTypeId].&[20670],20670,12
[DMH_INCIDENT].[IncidentNewTypeId].&[20671],20671,1905
[DMH_INCIDENT].[IncidentNewTypeId].&[20672],20672,10558
[DMH_INCIDENT].[IncidentNewTypeId].&[20673],20673,4390
[DMH_INCIDENT].[IncidentNewTypeId].&[20674],20674,1678
[DMH_INCIDENT].[IncidentNewTypeId].&[20675],20675,1537
[DMH_INCIDENT].[IncidentNewTypeId].&[20677],20677,257
[DMH_INCIDENT].[IncidentNewTypeId].&[20678],20678,96069
[DMH_INCIDENT].[IncidentNewTypeId].&[20679],20679,42994
[DMH_INCIDENT].[IncidentNewTypeId].&[20680],20680,8876
[DMH_INCIDENT].[IncidentNewTypeId].&[20681],20681,277
[DMH_INCIDENT].[IncidentNewTypeId].&[20682],20682,448
[DMH_INCIDENT].[IncidentNewTypeId].&[20683],20683,16
[DMH_INCIDENT].[IncidentNewTypeId].&[20686],20686,8353
[DMH_INCIDENT].[IncidentNewTypeId].&[20687],20687,54683
[DMH_INCIDENT].[IncidentNewTypeId].&[20688],20688,717355
[DMH_INCIDENT].[IncidentNewTypeId].&[20689],20689,14305
[DMH_INCIDENT].[IncidentNewTypeId].&[20690],20690,10653
[DMH_INCIDENT].[IncidentNewTypeId].&[20691],20691,146
[DMH_INCIDENT].[IncidentNewTypeId].&[20692],20692,51
[DMH_INCIDENT].[IncidentNewTypeId].&[20697],20697,95
[DMH_INCIDENT].[IncidentNewTypeId].&[20698],20698,78
[DMH_INCIDENT].[IncidentNewTypeId].&[20700],20700,3236
[DMH_INCIDENT].[IncidentNewTypeId].&[20703],20703,199427
[DMH_INCIDENT].[IncidentNewTypeId].&[20704],20704,85922
[DMH_INCIDENT].[IncidentNewTypeId].&[20705],20705,36954
[DMH_INCIDENT].[IncidentNewTypeId].&[20706],20706,9089
[DMH_INCIDENT].[IncidentNewTypeId].&[20707],20707,4238
[DMH_INCIDENT].[IncidentNewTypeId].&[20708],20708,30448
[DMH_INCIDENT].[IncidentNewTypeId].&[20709],20709,15
[DMH_INCIDENT].[IncidentNewTypeId].&[20710],20710,45
[DMH_INCIDENT].[IncidentNewTypeId].&[20711],20711,25120
[DMH_INCIDENT].[IncidentNewTypeId].&[20712],20712,7
[DMH_INCIDENT].[IncidentNewTypeId].&[20713],20713,367
[DMH_INCIDENT].[IncidentNewTypeId].&[20714],20714,283609
[DMH_INCIDENT].[IncidentNewTypeId].&[20715],20715,244068
[DMH_INCIDENT].[IncidentNewTypeId].&[20716],20716,116620
[DMH_INCIDENT].[IncidentNewTypeId].&[20717],20717,58413
[DMH_INCIDENT].[IncidentNewTypeId].&[20718],20718,32274
[DMH_INCIDENT].[IncidentNewTypeId].&[20719],20719,87474
[DMH_INCIDENT].[IncidentNewTypeId].&[20720],20720,72027
[DMH_INCIDENT].[IncidentNewTypeId].&[20721],20721,28115
[DMH_INCIDENT].[IncidentNewTypeId].&[20722],20722,37433
[DMH_INCIDENT].[IncidentNewTypeId].&[20723],20723,21882
