[DIVPOL].[DPA_DESPAR].[DPA_DESPAR].[MEMBER_UNIQUE_NAME],[DIVPOL].[DPA_DESPAR].[DPA_DESPAR].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVPOL].[DPA_DESPAR].&[BOLASPAMBA],BOLASPAMBA,99
[DIVPOL].[DPA_DESPAR].&[BOLIVAR],BOLIVAR,7016
[DIVPOL].[DPA_DESPAR].&[BOMBOIZA],BOMBOIZA,4341
[DIVPOL].[DPA_DESPAR].&[BORBON],BORBON,9971
[DIVPOL].[DPA_DESPAR].&[BOYACA],BOYACA,583
[DIVPOL].[DPA_DESPAR].&[BUENAVISTA],BUENAVISTA,10039
[DIVPOL].[DPA_DESPAR].&[BULAN (JOSE VICTOR IZQUIERDO)],BULAN (JOSE VICTOR IZQUIERDO),665
[DIVPOL].[DPA_DESPAR].&[CACHA (CAB. EN MACHANGARA)],CACHA (CAB. EN MACHANGARA),589
[DIVPOL].[DPA_DESPAR].&[CAHUASQUI],CAHUASQUI,924
[DIVPOL].[DPA_DESPAR].&[CALACALI],CALACALI,14347
[DIVPOL].[DPA_DESPAR].&[CALCETA],CALCETA,22240
[DIVPOL].[DPA_DESPAR].&[CALDERON],CALDERON,826
[DIVPOL].[DPA_DESPAR].&[CALDERON (CARAPUNGO)],CALDERON (CARAPUNGO),335428
[DIVPOL].[DPA_DESPAR].&[CALPI],CALPI,5864
[DIVPOL].[DPA_DESPAR].&[CALUMA],CALUMA,25736
[DIVPOL].[DPA_DESPAR].&[CAMARONES (CAB. EN SAN VICENTE)],CAMARONES (CAB. EN SAN VICENTE),2374
[DIVPOL].[DPA_DESPAR].&[CAMILO PONCE ENRIQUEZ],CAMILO PONCE ENRIQUEZ,22066
[DIVPOL].[DPA_DESPAR].&[CAMPOZANO (LA PALMA DE PAJAN)],CAMPOZANO (LA PALMA DE PAJAN),1218
[DIVPOL].[DPA_DESPAR].&[CANCHAGUA],CANCHAGUA,576
[DIVPOL].[DPA_DESPAR].&[CANELOS],CANELOS,1228
[DIVPOL].[DPA_DESPAR].&[CANGAHUA],CANGAHUA,4973
[DIVPOL].[DPA_DESPAR].&[CANGONAMA],CANGONAMA,296
[DIVPOL].[DPA_DESPAR].&[CANOA],CANOA,3589
[DIVPOL].[DPA_DESPAR].&[CANUTO],CANUTO,4034
[DIVPOL].[DPA_DESPAR].&[CAÑAQUEMADA],CAÑAQUEMADA,1888
[DIVPOL].[DPA_DESPAR].&[CAÑAR],CAÑAR,18362
[DIVPOL].[DPA_DESPAR].&[CAÑI],CAÑI,130
[DIVPOL].[DPA_DESPAR].&[CAPIRO (CAB. EN LA CAPILLA DE CAPIRO)],CAPIRO (CAB. EN LA CAPILLA DE CAPIRO),772
