[DMH_INCIDENT].[HoraId].[HoraId].[MEMBER_UNIQUE_NAME],[DMH_INCIDENT].[HoraId].[HoraId].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DMH_INCIDENT].[HoraId].&[000150],000150,337
[DMH_INCIDENT].[HoraId].&[000151],000151,341
[DMH_INCIDENT].[HoraId].&[000152],000152,342
[DMH_INCIDENT].[HoraId].&[000153],000153,296
[DMH_INCIDENT].[HoraId].&[000154],000154,304
[DMH_INCIDENT].[HoraId].&[000155],000155,346
[DMH_INCIDENT].[HoraId].&[000156],000156,333
[DMH_INCIDENT].[HoraId].&[000157],000157,331
[DMH_INCIDENT].[HoraId].&[000158],000158,322
[DMH_INCIDENT].[HoraId].&[000159],000159,331
[DMH_INCIDENT].[HoraId].&[000200],000200,307
[DMH_INCIDENT].[HoraId].&[000201],000201,318
[DMH_INCIDENT].[HoraId].&[000202],000202,350
[DMH_INCIDENT].[HoraId].&[000203],000203,329
[DMH_INCIDENT].[HoraId].&[000204],000204,327
[DMH_INCIDENT].[HoraId].&[000205],000205,318
[DMH_INCIDENT].[HoraId].&[000206],000206,304
[DMH_INCIDENT].[HoraId].&[000207],000207,329
[DMH_INCIDENT].[HoraId].&[000208],000208,301
[DMH_INCIDENT].[HoraId].&[000209],000209,301
[DMH_INCIDENT].[HoraId].&[000210],000210,317
[DMH_INCIDENT].[HoraId].&[000211],000211,300
[DMH_INCIDENT].[HoraId].&[000212],000212,328
[DMH_INCIDENT].[HoraId].&[000213],000213,292
[DMH_INCIDENT].[HoraId].&[000214],000214,345
[DMH_INCIDENT].[HoraId].&[000215],000215,296
[DMH_INCIDENT].[HoraId].&[000216],000216,353
[DMH_INCIDENT].[HoraId].&[000217],000217,354
[DMH_INCIDENT].[HoraId].&[000218],000218,339
[DMH_INCIDENT].[HoraId].&[000219],000219,287
[DMH_INCIDENT].[HoraId].&[000220],000220,325
[DMH_INCIDENT].[HoraId].&[000221],000221,315
[DMH_INCIDENT].[HoraId].&[000222],000222,301
[DMH_INCIDENT].[HoraId].&[000223],000223,340
[DMH_INCIDENT].[HoraId].&[000224],000224,338
[DMH_INCIDENT].[HoraId].&[000225],000225,318
[DMH_INCIDENT].[HoraId].&[000226],000226,323
[DMH_INCIDENT].[HoraId].&[000227],000227,310
[DMH_INCIDENT].[HoraId].&[000228],000228,332
[DMH_INCIDENT].[HoraId].&[000229],000229,324
[DMH_INCIDENT].[HoraId].&[000230],000230,348
[DMH_INCIDENT].[HoraId].&[000231],000231,330
[DMH_INCIDENT].[HoraId].&[000232],000232,294
[DMH_INCIDENT].[HoraId].&[000233],000233,316
[DMH_INCIDENT].[HoraId].&[000234],000234,291
[DMH_INCIDENT].[HoraId].&[000235],000235,374
[DMH_INCIDENT].[HoraId].&[000236],000236,306
[DMH_INCIDENT].[HoraId].&[000237],000237,317
[DMH_INCIDENT].[HoraId].&[000238],000238,312
[DMH_INCIDENT].[HoraId].&[000239],000239,308
[DMH_INCIDENT].[HoraId].&[000240],000240,347
[DMH_INCIDENT].[HoraId].&[000241],000241,330
[DMH_INCIDENT].[HoraId].&[000242],000242,295
[DMH_INCIDENT].[HoraId].&[000243],000243,293
[DMH_INCIDENT].[HoraId].&[000244],000244,321
[DMH_INCIDENT].[HoraId].&[000245],000245,298
[DMH_INCIDENT].[HoraId].&[000246],000246,317
[DMH_INCIDENT].[HoraId].&[000247],000247,315
[DMH_INCIDENT].[HoraId].&[000248],000248,315
