[DIVADM].[COD_SUBCIR].[COD_SUBCIR].[MEMBER_UNIQUE_NAME],[DIVADM].[COD_SUBCIR].[COD_SUBCIR].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[COD_SUBCIR].&[07D03C09S01],07D03C09S01,3948
[DIVADM].[COD_SUBCIR].&[07D04C01S01],07D04C01S01,8955
[DIVADM].[COD_SUBCIR].&[07D04C02S01],07D04C02S01,6562
[DIVADM].[COD_SUBCIR].&[07D04C03S01],07D04C03S01,1067
[DIVADM].[COD_SUBCIR].&[07D04C04S01],07D04C04S01,9799
[DIVADM].[COD_SUBCIR].&[07D04C04S02],07D04C04S02,11168
[DIVADM].[COD_SUBCIR].&[07D04C05S01],07D04C05S01,2759
[DIVADM].[COD_SUBCIR].&[07D04C05S02],07D04C05S02,599
[DIVADM].[COD_SUBCIR].&[07D04C06S01],07D04C06S01,772
[DIVADM].[COD_SUBCIR].&[07D05C01S01],07D05C01S01,11728
[DIVADM].[COD_SUBCIR].&[07D05C02S01],07D05C02S01,17699
[DIVADM].[COD_SUBCIR].&[07D05C03S01],07D05C03S01,1937
[DIVADM].[COD_SUBCIR].&[07D05C04S01],07D05C04S01,4743
[DIVADM].[COD_SUBCIR].&[07D05C05S01],07D05C05S01,17508
[DIVADM].[COD_SUBCIR].&[07D05C05S02],07D05C05S02,22915
[DIVADM].[COD_SUBCIR].&[07D05C06S01],07D05C06S01,10743
[DIVADM].[COD_SUBCIR].&[07D05C06S02],07D05C06S02,19983
[DIVADM].[COD_SUBCIR].&[07D05C06S03],07D05C06S03,10290
[DIVADM].[COD_SUBCIR].&[07D05C07S01],07D05C07S01,301
[DIVADM].[COD_SUBCIR].&[07D05C08S01],07D05C08S01,1871
[DIVADM].[COD_SUBCIR].&[07D06C01S01],07D06C01S01,1503
[DIVADM].[COD_SUBCIR].&[07D06C01S02],07D06C01S02,9044
[DIVADM].[COD_SUBCIR].&[07D06C02S01],07D06C02S01,1667
[DIVADM].[COD_SUBCIR].&[07D06C03S01],07D06C03S01,2673
[DIVADM].[COD_SUBCIR].&[07D06C04S01],07D06C04S01,19468
[DIVADM].[COD_SUBCIR].&[07D06C04S02],07D06C04S02,21948
[DIVADM].[COD_SUBCIR].&[07D06C05S01],07D06C05S01,27801
[DIVADM].[COD_SUBCIR].&[07D06C06S01],07D06C06S01,31001
[DIVADM].[COD_SUBCIR].&[07D06C07S01],07D06C07S01,1518
[DIVADM].[COD_SUBCIR].&[08D01C01S01],08D01C01S01,16554
[DIVADM].[COD_SUBCIR].&[08D01C02S01],08D01C02S01,10127
[DIVADM].[COD_SUBCIR].&[08D01C03S01],08D01C03S01,11568
[DIVADM].[COD_SUBCIR].&[08D01C03S02],08D01C03S02,228
[DIVADM].[COD_SUBCIR].&[08D01C04S01],08D01C04S01,8254
[DIVADM].[COD_SUBCIR].&[08D01C04S02],08D01C04S02,7739
[DIVADM].[COD_SUBCIR].&[08D01C05S01],08D01C05S01,22326
[DIVADM].[COD_SUBCIR].&[08D01C05S02],08D01C05S02,5788
[DIVADM].[COD_SUBCIR].&[08D01C06S01],08D01C06S01,6283
[DIVADM].[COD_SUBCIR].&[08D01C06S02],08D01C06S02,12073
[DIVADM].[COD_SUBCIR].&[08D01C07S01],08D01C07S01,16678
[DIVADM].[COD_SUBCIR].&[08D01C07S02],08D01C07S02,13711
[DIVADM].[COD_SUBCIR].&[08D01C08S01],08D01C08S01,2797
[DIVADM].[COD_SUBCIR].&[08D01C08S02],08D01C08S02,25693
[DIVADM].[COD_SUBCIR].&[08D01C08S03],08D01C08S03,15399
[DIVADM].[COD_SUBCIR].&[08D01C09S01],08D01C09S01,19771
[DIVADM].[COD_SUBCIR].&[08D01C10S01],08D01C10S01,11595
[DIVADM].[COD_SUBCIR].&[08D01C11S01],08D01C11S01,3313
[DIVADM].[COD_SUBCIR].&[08D01C11S02],08D01C11S02,4544
[DIVADM].[COD_SUBCIR].&[08D01C12S01],08D01C12S01,16264
[DIVADM].[COD_SUBCIR].&[08D01C13S01],08D01C13S01,10974
[DIVADM].[COD_SUBCIR].&[08D01C13S02],08D01C13S02,18106
[DIVADM].[COD_SUBCIR].&[08D01C14S01],08D01C14S01,11395
[DIVADM].[COD_SUBCIR].&[08D01C15S01],08D01C15S01,17935
[DIVADM].[COD_SUBCIR].&[08D01C16S01],08D01C16S01,137
[DIVADM].[COD_SUBCIR].&[08D01C17S01],08D01C17S01,1832
[DIVADM].[COD_SUBCIR].&[08D01C18S01],08D01C18S01,1397
[DIVADM].[COD_SUBCIR].&[08D01C19S01],08D01C19S01,933
[DIVADM].[COD_SUBCIR].&[08D01C19S02],08D01C19S02,176
[DIVADM].[COD_SUBCIR].&[08D01C20S01],08D01C20S01,9309
[DIVADM].[COD_SUBCIR].&[08D01C20S02],08D01C20S02,2376
[DIVADM].[COD_SUBCIR].&[08D01C21S01],08D01C21S01,13609
[DIVADM].[COD_SUBCIR].&[08D01C21S02],08D01C21S02,1165
[DIVADM].[COD_SUBCIR].&[08D02C01S01],08D02C01S01,2249
[DIVADM].[COD_SUBCIR].&[08D02C01S02],08D02C01S02,2116
[DIVADM].[COD_SUBCIR].&[08D02C01S03],08D02C01S03,3381
[DIVADM].[COD_SUBCIR].&[08D02C01S04],08D02C01S04,45
[DIVADM].[COD_SUBCIR].&[08D02C02S01],08D02C02S01,261
[DIVADM].[COD_SUBCIR].&[08D02C02S02],08D02C02S02,28
[DIVADM].[COD_SUBCIR].&[08D02C02S03],08D02C02S03,16
[DIVADM].[COD_SUBCIR].&[08D02C03S01],08D02C03S01,9971
[DIVADM].[COD_SUBCIR].&[08D02C03S02],08D02C03S02,62
[DIVADM].[COD_SUBCIR].&[08D02C03S03],08D02C03S03,244
[DIVADM].[COD_SUBCIR].&[08D02C04S01],08D02C04S01,2454
[DIVADM].[COD_SUBCIR].&[08D02C04S02],08D02C04S02,969
[DIVADM].[COD_SUBCIR].&[08D03C01S01],08D03C01S01,1683
[DIVADM].[COD_SUBCIR].&[08D03C01S02],08D03C01S02,578
[DIVADM].[COD_SUBCIR].&[08D03C02S01],08D03C02S01,10611
[DIVADM].[COD_SUBCIR].&[08D03C02S02],08D03C02S02,1642
[DIVADM].[COD_SUBCIR].&[08D03C02S03],08D03C02S03,3461
[DIVADM].[COD_SUBCIR].&[08D03C03S01],08D03C03S01,349
[DIVADM].[COD_SUBCIR].&[08D03C03S02],08D03C03S02,2920
[DIVADM].[COD_SUBCIR].&[08D03C04S01],08D03C04S01,491
[DIVADM].[COD_SUBCIR].&[08D03C04S02],08D03C04S02,641
[DIVADM].[COD_SUBCIR].&[08D03C05S01],08D03C05S01,17142
[DIVADM].[COD_SUBCIR].&[08D03C05S02],08D03C05S02,17780
[DIVADM].[COD_SUBCIR].&[08D03C06S01],08D03C06S01,20849
[DIVADM].[COD_SUBCIR].&[08D03C07S01],08D03C07S01,1044
[DIVADM].[COD_SUBCIR].&[08D03C08S01],08D03C08S01,9687
[DIVADM].[COD_SUBCIR].&[08D03C08S02],08D03C08S02,4251
[DIVADM].[COD_SUBCIR].&[08D04C01S01],08D04C01S01,5270
[DIVADM].[COD_SUBCIR].&[08D04C02S01],08D04C02S01,44129
[DIVADM].[COD_SUBCIR].&[08D04C02S02],08D04C02S02,1544
[DIVADM].[COD_SUBCIR].&[08D04C03S01],08D04C03S01,1355
[DIVADM].[COD_SUBCIR].&[08D04C03S02],08D04C03S02,1817
[DIVADM].[COD_SUBCIR].&[08D04C04S01],08D04C04S01,1745
[DIVADM].[COD_SUBCIR].&[08D04C05S01],08D04C05S01,219
[DIVADM].[COD_SUBCIR].&[08D04C06S01],08D04C06S01,586
[DIVADM].[COD_SUBCIR].&[08D04C07S01],08D04C07S01,5453
[DIVADM].[COD_SUBCIR].&[08D04C08S01],08D04C08S01,15500
[DIVADM].[COD_SUBCIR].&[08D04C08S02],08D04C08S02,357
[DIVADM].[COD_SUBCIR].&[08D04C09S01],08D04C09S01,5901
[DIVADM].[COD_SUBCIR].&[08D04C10S01],08D04C10S01,2317
[DIVADM].[COD_SUBCIR].&[08D04C11S01],08D04C11S01,1991
[DIVADM].[COD_SUBCIR].&[08D04C11S02],08D04C11S02,352
[DIVADM].[COD_SUBCIR].&[08D05C01S01],08D05C01S01,60
[DIVADM].[COD_SUBCIR].&[08D05C01S02],08D05C01S02,289
[DIVADM].[COD_SUBCIR].&[08D05C01S03],08D05C01S03,31960
[DIVADM].[COD_SUBCIR].&[08D05C02S01],08D05C02S01,1724
[DIVADM].[COD_SUBCIR].&[08D05C02S02],08D05C02S02,540
[DIVADM].[COD_SUBCIR].&[08D05C03S01],08D05C03S01,127
[DIVADM].[COD_SUBCIR].&[08D05C04S01],08D05C04S01,596
[DIVADM].[COD_SUBCIR].&[08D05C04S02],08D05C04S02,1833
[DIVADM].[COD_SUBCIR].&[08D06C01S01],08D06C01S01,8518
[DIVADM].[COD_SUBCIR].&[08D06C01S02],08D06C01S02,887
[DIVADM].[COD_SUBCIR].&[08D06C01S03],08D06C01S03,175
[DIVADM].[COD_SUBCIR].&[08D06C02S01],08D06C02S01,3128
[DIVADM].[COD_SUBCIR].&[08D06C02S02],08D06C02S02,1818
[DIVADM].[COD_SUBCIR].&[08D06C02S03],08D06C02S03,2636
[DIVADM].[COD_SUBCIR].&[09D01C01S01],09D01C01S01,32726
[DIVADM].[COD_SUBCIR].&[09D01C01S02],09D01C01S02,32634
[DIVADM].[COD_SUBCIR].&[09D01C01S03],09D01C01S03,25857
[DIVADM].[COD_SUBCIR].&[09D01C01S04],09D01C01S04,14426
[DIVADM].[COD_SUBCIR].&[09D01C02S01],09D01C02S01,27407
[DIVADM].[COD_SUBCIR].&[09D01C02S02],09D01C02S02,5440
[DIVADM].[COD_SUBCIR].&[09D01C02S03],09D01C02S03,25648
[DIVADM].[COD_SUBCIR].&[09D01C03S01],09D01C03S01,11935
[DIVADM].[COD_SUBCIR].&[09D01C03S02],09D01C03S02,37257
[DIVADM].[COD_SUBCIR].&[09D01C03S03],09D01C03S03,17739
[DIVADM].[COD_SUBCIR].&[09D01C04S01],09D01C04S01,9970
[DIVADM].[COD_SUBCIR].&[09D01C04S02],09D01C04S02,10036
[DIVADM].[COD_SUBCIR].&[09D01C04S03],09D01C04S03,22937
[DIVADM].[COD_SUBCIR].&[09D01C04S04],09D01C04S04,23397
[DIVADM].[COD_SUBCIR].&[09D01C05S01],09D01C05S01,22769
[DIVADM].[COD_SUBCIR].&[09D01C05S02],09D01C05S02,12488
[DIVADM].[COD_SUBCIR].&[09D01C05S03],09D01C05S03,18299
[DIVADM].[COD_SUBCIR].&[09D01C05S04],09D01C05S04,18192
[DIVADM].[COD_SUBCIR].&[09D01C05S05],09D01C05S05,17704
[DIVADM].[COD_SUBCIR].&[09D01C06S01],09D01C06S01,3513
[DIVADM].[COD_SUBCIR].&[09D01C06S02],09D01C06S02,145
[DIVADM].[COD_SUBCIR].&[09D01C06S03],09D01C06S03,626
[DIVADM].[COD_SUBCIR].&[09D01C06S04],09D01C06S04,126
[DIVADM].[COD_SUBCIR].&[09D02C01S01],09D02C01S01,15277
[DIVADM].[COD_SUBCIR].&[09D02C01S02],09D02C01S02,42492
[DIVADM].[COD_SUBCIR].&[09D02C01S03],09D02C01S03,23949
[DIVADM].[COD_SUBCIR].&[09D02C01S04],09D02C01S04,26560
[DIVADM].[COD_SUBCIR].&[09D02C02S01],09D02C02S01,31399
[DIVADM].[COD_SUBCIR].&[09D02C02S02],09D02C02S02,14379
[DIVADM].[COD_SUBCIR].&[09D02C02S03],09D02C02S03,12932
[DIVADM].[COD_SUBCIR].&[09D02C03S01],09D02C03S01,21997
[DIVADM].[COD_SUBCIR].&[09D02C03S02],09D02C03S02,8380
[DIVADM].[COD_SUBCIR].&[09D02C03S03],09D02C03S03,16261
[DIVADM].[COD_SUBCIR].&[09D02C04S01],09D02C04S01,17359
[DIVADM].[COD_SUBCIR].&[09D02C04S02],09D02C04S02,18661
[DIVADM].[COD_SUBCIR].&[09D02C04S03],09D02C04S03,11369
[DIVADM].[COD_SUBCIR].&[09D02C04S04],09D02C04S04,12488
[DIVADM].[COD_SUBCIR].&[09D02C05S01],09D02C05S01,9580
[DIVADM].[COD_SUBCIR].&[09D02C05S02],09D02C05S02,16226
[DIVADM].[COD_SUBCIR].&[09D02C05S03],09D02C05S03,26633
[DIVADM].[COD_SUBCIR].&[09D02C05S04],09D02C05S04,9387
[DIVADM].[COD_SUBCIR].&[09D02C05S05],09D02C05S05,8529
[DIVADM].[COD_SUBCIR].&[09D03C01S01],09D03C01S01,18071
[DIVADM].[COD_SUBCIR].&[09D03C01S02],09D03C01S02,27570
[DIVADM].[COD_SUBCIR].&[09D03C01S03],09D03C01S03,31576
[DIVADM].[COD_SUBCIR].&[09D03C01S04],09D03C01S04,32559
[DIVADM].[COD_SUBCIR].&[09D03C02S01],09D03C02S01,16022
[DIVADM].[COD_SUBCIR].&[09D03C02S02],09D03C02S02,8498
[DIVADM].[COD_SUBCIR].&[09D03C02S03],09D03C02S03,12415
[DIVADM].[COD_SUBCIR].&[09D03C02S04],09D03C02S04,22324
[DIVADM].[COD_SUBCIR].&[09D03C02S05],09D03C02S05,24517
[DIVADM].[COD_SUBCIR].&[09D03C03S01],09D03C03S01,17531
[DIVADM].[COD_SUBCIR].&[09D03C03S02],09D03C03S02,16090
[DIVADM].[COD_SUBCIR].&[09D03C03S03],09D03C03S03,20786
[DIVADM].[COD_SUBCIR].&[09D03C03S04],09D03C03S04,11930
[DIVADM].[COD_SUBCIR].&[09D03C03S05],09D03C03S05,20357
[DIVADM].[COD_SUBCIR].&[09D03C03S06],09D03C03S06,6671
[DIVADM].[COD_SUBCIR].&[09D03C04S01],09D03C04S01,47150
[DIVADM].[COD_SUBCIR].&[09D03C04S02],09D03C04S02,35330
[DIVADM].[COD_SUBCIR].&[09D03C04S03],09D03C04S03,38594
[DIVADM].[COD_SUBCIR].&[09D03C04S04],09D03C04S04,32094
[DIVADM].[COD_SUBCIR].&[09D03C05S01],09D03C05S01,23344
[DIVADM].[COD_SUBCIR].&[09D03C05S02],09D03C05S02,37260
[DIVADM].[COD_SUBCIR].&[09D03C05S03],09D03C05S03,31438
[DIVADM].[COD_SUBCIR].&[09D03C06S01],09D03C06S01,28869
[DIVADM].[COD_SUBCIR].&[09D03C06S02],09D03C06S02,35448
[DIVADM].[COD_SUBCIR].&[09D03C06S03],09D03C06S03,26232
[DIVADM].[COD_SUBCIR].&[09D03C07S01],09D03C07S01,23920
[DIVADM].[COD_SUBCIR].&[09D03C07S02],09D03C07S02,22120
[DIVADM].[COD_SUBCIR].&[09D03C07S03],09D03C07S03,23519
[DIVADM].[COD_SUBCIR].&[09D04C01S01],09D04C01S01,13457
[DIVADM].[COD_SUBCIR].&[09D04C01S02],09D04C01S02,33388
[DIVADM].[COD_SUBCIR].&[09D04C01S03],09D04C01S03,17762
[DIVADM].[COD_SUBCIR].&[09D04C01S04],09D04C01S04,15800
[DIVADM].[COD_SUBCIR].&[09D04C01S05],09D04C01S05,29895
[DIVADM].[COD_SUBCIR].&[09D04C02S01],09D04C02S01,25941
[DIVADM].[COD_SUBCIR].&[09D04C02S02],09D04C02S02,19688
[DIVADM].[COD_SUBCIR].&[09D04C02S03],09D04C02S03,17958
[DIVADM].[COD_SUBCIR].&[09D04C03S01],09D04C03S01,22024
[DIVADM].[COD_SUBCIR].&[09D04C03S02],09D04C03S02,26338
[DIVADM].[COD_SUBCIR].&[09D04C03S03],09D04C03S03,29022
[DIVADM].[COD_SUBCIR].&[09D04C03S04],09D04C03S04,40136
[DIVADM].[COD_SUBCIR].&[09D04C04S01],09D04C04S01,21760
[DIVADM].[COD_SUBCIR].&[09D04C04S02],09D04C04S02,32587
[DIVADM].[COD_SUBCIR].&[09D04C04S03],09D04C04S03,33121
[DIVADM].[COD_SUBCIR].&[09D04C04S04],09D04C04S04,59195
[DIVADM].[COD_SUBCIR].&[09D04C05S01],09D04C05S01,19174
[DIVADM].[COD_SUBCIR].&[09D04C05S02],09D04C05S02,22991
[DIVADM].[COD_SUBCIR].&[09D04C05S03],09D04C05S03,18825
[DIVADM].[COD_SUBCIR].&[09D04C05S04],09D04C05S04,17552
[DIVADM].[COD_SUBCIR].&[09D04C06S01],09D04C06S01,5750
[DIVADM].[COD_SUBCIR].&[09D04C06S02],09D04C06S02,31468
[DIVADM].[COD_SUBCIR].&[09D04C06S03],09D04C06S03,25570
[DIVADM].[COD_SUBCIR].&[09D04C06S04],09D04C06S04,17510
[DIVADM].[COD_SUBCIR].&[09D04C06S05],09D04C06S05,23913
[DIVADM].[COD_SUBCIR].&[09D05C01S01],09D05C01S01,21033
[DIVADM].[COD_SUBCIR].&[09D05C01S02],09D05C01S02,24271
[DIVADM].[COD_SUBCIR].&[09D05C01S03],09D05C01S03,13436
[DIVADM].[COD_SUBCIR].&[09D05C01S04],09D05C01S04,14942
[DIVADM].[COD_SUBCIR].&[09D05C01S05],09D05C01S05,32537
[DIVADM].[COD_SUBCIR].&[09D05C01S06],09D05C01S06,26698
[DIVADM].[COD_SUBCIR].&[09D05C01S07],09D05C01S07,11330
[DIVADM].[COD_SUBCIR].&[09D05C01S08],09D05C01S08,7098
[DIVADM].[COD_SUBCIR].&[09D05C02S01],09D05C02S01,17607
[DIVADM].[COD_SUBCIR].&[09D05C02S02],09D05C02S02,9499
[DIVADM].[COD_SUBCIR].&[09D05C02S03],09D05C02S03,7618
[DIVADM].[COD_SUBCIR].&[09D05C02S04],09D05C02S04,15416
[DIVADM].[COD_SUBCIR].&[09D05C02S05],09D05C02S05,9797
[DIVADM].[COD_SUBCIR].&[09D05C02S06],09D05C02S06,24438
[DIVADM].[COD_SUBCIR].&[09D05C02S07],09D05C02S07,13226
[DIVADM].[COD_SUBCIR].&[09D05C02S08],09D05C02S08,15561
[DIVADM].[COD_SUBCIR].&[09D05C03S01],09D05C03S01,4269
[DIVADM].[COD_SUBCIR].&[09D05C03S02],09D05C03S02,10976
[DIVADM].[COD_SUBCIR].&[09D05C03S03],09D05C03S03,9878
[DIVADM].[COD_SUBCIR].&[09D05C03S04],09D05C03S04,7060
[DIVADM].[COD_SUBCIR].&[09D05C03S05],09D05C03S05,10857
[DIVADM].[COD_SUBCIR].&[09D05C03S06],09D05C03S06,18741
[DIVADM].[COD_SUBCIR].&[09D05C04S01],09D05C04S01,7025
[DIVADM].[COD_SUBCIR].&[09D05C04S02],09D05C04S02,19745
[DIVADM].[COD_SUBCIR].&[09D05C04S03],09D05C04S03,21106
[DIVADM].[COD_SUBCIR].&[09D05C04S04],09D05C04S04,34530
[DIVADM].[COD_SUBCIR].&[09D05C04S05],09D05C04S05,7423
[DIVADM].[COD_SUBCIR].&[09D05C04S06],09D05C04S06,11888
[DIVADM].[COD_SUBCIR].&[09D05C04S07],09D05C04S07,7046
[DIVADM].[COD_SUBCIR].&[09D05C05S01],09D05C05S01,21257
[DIVADM].[COD_SUBCIR].&[09D05C05S02],09D05C05S02,5828
[DIVADM].[COD_SUBCIR].&[09D05C05S03],09D05C05S03,4850
[DIVADM].[COD_SUBCIR].&[09D05C05S04],09D05C05S04,7152
[DIVADM].[COD_SUBCIR].&[09D05C05S05],09D05C05S05,7538
[DIVADM].[COD_SUBCIR].&[09D05C05S06],09D05C05S06,14681
[DIVADM].[COD_SUBCIR].&[09D05C05S07],09D05C05S07,9437
[DIVADM].[COD_SUBCIR].&[09D05C06S01],09D05C06S01,32340
[DIVADM].[COD_SUBCIR].&[09D05C06S02],09D05C06S02,22720
[DIVADM].[COD_SUBCIR].&[09D05C06S03],09D05C06S03,17563
[DIVADM].[COD_SUBCIR].&[09D05C06S04],09D05C06S04,14912
[DIVADM].[COD_SUBCIR].&[09D05C06S05],09D05C06S05,10729
[DIVADM].[COD_SUBCIR].&[09D05C07S01],09D05C07S01,8029
[DIVADM].[COD_SUBCIR].&[09D06C01S01],09D06C01S01,18274
[DIVADM].[COD_SUBCIR].&[09D06C01S02],09D06C01S02,13356
[DIVADM].[COD_SUBCIR].&[09D06C01S03],09D06C01S03,6831
[DIVADM].[COD_SUBCIR].&[09D06C01S04],09D06C01S04,25767
[DIVADM].[COD_SUBCIR].&[09D06C01S05],09D06C01S05,14905
[DIVADM].[COD_SUBCIR].&[09D06C01S06],09D06C01S06,4087
[DIVADM].[COD_SUBCIR].&[09D06C02S01],09D06C02S01,16428
[DIVADM].[COD_SUBCIR].&[09D06C02S02],09D06C02S02,31875
[DIVADM].[COD_SUBCIR].&[09D06C02S03],09D06C02S03,17415
[DIVADM].[COD_SUBCIR].&[09D06C02S04],09D06C02S04,9352
[DIVADM].[COD_SUBCIR].&[09D06C02S05],09D06C02S05,16204
[DIVADM].[COD_SUBCIR].&[09D06C02S06],09D06C02S06,18243
[DIVADM].[COD_SUBCIR].&[09D06C02S07],09D06C02S07,2606
[DIVADM].[COD_SUBCIR].&[09D06C02S08],09D06C02S08,18084
[DIVADM].[COD_SUBCIR].&[09D06C03S01],09D06C03S01,11605
[DIVADM].[COD_SUBCIR].&[09D06C03S02],09D06C03S02,14090
[DIVADM].[COD_SUBCIR].&[09D06C03S03],09D06C03S03,12977
[DIVADM].[COD_SUBCIR].&[09D06C04S01],09D06C04S01,11960
[DIVADM].[COD_SUBCIR].&[09D06C04S02],09D06C04S02,4834
[DIVADM].[COD_SUBCIR].&[09D06C04S03],09D06C04S03,6226
[DIVADM].[COD_SUBCIR].&[09D06C04S04],09D06C04S04,6300
[DIVADM].[COD_SUBCIR].&[09D06C04S05],09D06C04S05,16346
[DIVADM].[COD_SUBCIR].&[09D06C04S06],09D06C04S06,15953
[DIVADM].[COD_SUBCIR].&[09D06C05S01],09D06C05S01,21436
[DIVADM].[COD_SUBCIR].&[09D06C05S02],09D06C05S02,37199
[DIVADM].[COD_SUBCIR].&[09D06C05S03],09D06C05S03,14608
[DIVADM].[COD_SUBCIR].&[09D06C06S01],09D06C06S01,7642
[DIVADM].[COD_SUBCIR].&[09D06C06S02],09D06C06S02,11714
[DIVADM].[COD_SUBCIR].&[09D06C06S03],09D06C06S03,4345
[DIVADM].[COD_SUBCIR].&[09D06C06S04],09D06C06S04,9917
[DIVADM].[COD_SUBCIR].&[09D06C06S05],09D06C06S05,6454
[DIVADM].[COD_SUBCIR].&[09D07C01S01],09D07C01S01,6719
[DIVADM].[COD_SUBCIR].&[09D07C01S02],09D07C01S02,9401
[DIVADM].[COD_SUBCIR].&[09D07C01S03],09D07C01S03,12736
[DIVADM].[COD_SUBCIR].&[09D07C01S04],09D07C01S04,14106
[DIVADM].[COD_SUBCIR].&[09D07C02S01],09D07C02S01,19897
[DIVADM].[COD_SUBCIR].&[09D07C02S02],09D07C02S02,18061
[DIVADM].[COD_SUBCIR].&[09D07C02S03],09D07C02S03,22307
[DIVADM].[COD_SUBCIR].&[09D07C03S01],09D07C03S01,12438
[DIVADM].[COD_SUBCIR].&[09D07C03S02],09D07C03S02,11823
[DIVADM].[COD_SUBCIR].&[09D07C03S03],09D07C03S03,12007
[DIVADM].[COD_SUBCIR].&[09D07C04S01],09D07C04S01,27651
[DIVADM].[COD_SUBCIR].&[09D07C04S02],09D07C04S02,33992
[DIVADM].[COD_SUBCIR].&[09D07C05S01],09D07C05S01,15382
[DIVADM].[COD_SUBCIR].&[09D07C05S02],09D07C05S02,20501
[DIVADM].[COD_SUBCIR].&[09D07C05S03],09D07C05S03,14326
[DIVADM].[COD_SUBCIR].&[09D07C05S04],09D07C05S04,5869
[DIVADM].[COD_SUBCIR].&[09D07C05S05],09D07C05S05,18589
[DIVADM].[COD_SUBCIR].&[09D07C05S06],09D07C05S06,8722
[DIVADM].[COD_SUBCIR].&[09D07C05S07],09D07C05S07,12937
[DIVADM].[COD_SUBCIR].&[09D07C06S01],09D07C06S01,10124
[DIVADM].[COD_SUBCIR].&[09D07C06S02],09D07C06S02,16944
[DIVADM].[COD_SUBCIR].&[09D07C06S03],09D07C06S03,12933
[DIVADM].[COD_SUBCIR].&[09D07C06S04],09D07C06S04,15003
[DIVADM].[COD_SUBCIR].&[09D07C07S01],09D07C07S01,8033
[DIVADM].[COD_SUBCIR].&[09D07C07S02],09D07C07S02,31545
[DIVADM].[COD_SUBCIR].&[09D07C07S03],09D07C07S03,4694
[DIVADM].[COD_SUBCIR].&[09D07C07S04],09D07C07S04,5355
[DIVADM].[COD_SUBCIR].&[09D07C07S05],09D07C07S05,12543
[DIVADM].[COD_SUBCIR].&[09D07C08S01],09D07C08S01,4211
[DIVADM].[COD_SUBCIR].&[09D07C08S02],09D07C08S02,5491
[DIVADM].[COD_SUBCIR].&[09D08C01S01],09D08C01S01,18918
[DIVADM].[COD_SUBCIR].&[09D08C01S02],09D08C01S02,29182
[DIVADM].[COD_SUBCIR].&[09D08C01S03],09D08C01S03,27294
[DIVADM].[COD_SUBCIR].&[09D08C02S01],09D08C02S01,15256
[DIVADM].[COD_SUBCIR].&[09D08C02S02],09D08C02S02,22511
[DIVADM].[COD_SUBCIR].&[09D08C02S03],09D08C02S03,8723
[DIVADM].[COD_SUBCIR].&[09D08C02S04],09D08C02S04,11098
[DIVADM].[COD_SUBCIR].&[09D08C03S01],09D08C03S01,12596
[DIVADM].[COD_SUBCIR].&[09D08C03S02],09D08C03S02,6049
[DIVADM].[COD_SUBCIR].&[09D08C03S03],09D08C03S03,11413
[DIVADM].[COD_SUBCIR].&[09D08C03S04],09D08C03S04,7542
[DIVADM].[COD_SUBCIR].&[09D08C04S01],09D08C04S01,6629
[DIVADM].[COD_SUBCIR].&[09D08C04S02],09D08C04S02,1413
[DIVADM].[COD_SUBCIR].&[09D08C04S03],09D08C04S03,6502
[DIVADM].[COD_SUBCIR].&[09D08C04S04],09D08C04S04,860
[DIVADM].[COD_SUBCIR].&[09D08C04S05],09D08C04S05,566
[DIVADM].[COD_SUBCIR].&[09D08C04S06],09D08C04S06,3018
[DIVADM].[COD_SUBCIR].&[09D08C04S07],09D08C04S07,8389
[DIVADM].[COD_SUBCIR].&[09D08C04S08],09D08C04S08,13104
[DIVADM].[COD_SUBCIR].&[09D08C04S09],09D08C04S09,3911
[DIVADM].[COD_SUBCIR].&[09D08C05S01],09D08C05S01,6805
[DIVADM].[COD_SUBCIR].&[09D08C05S02],09D08C05S02,8303
[DIVADM].[COD_SUBCIR].&[09D08C05S03],09D08C05S03,11327
[DIVADM].[COD_SUBCIR].&[09D08C05S04],09D08C05S04,4589
[DIVADM].[COD_SUBCIR].&[09D08C05S05],09D08C05S05,6230
[DIVADM].[COD_SUBCIR].&[09D08C05S06],09D08C05S06,28381
[DIVADM].[COD_SUBCIR].&[09D08C05S07],09D08C05S07,5852
[DIVADM].[COD_SUBCIR].&[09D08C05S08],09D08C05S08,7048
[DIVADM].[COD_SUBCIR].&[09D08C06S01],09D08C06S01,6228
[DIVADM].[COD_SUBCIR].&[09D08C06S02],09D08C06S02,5467
[DIVADM].[COD_SUBCIR].&[09D08C06S03],09D08C06S03,5322
[DIVADM].[COD_SUBCIR].&[09D08C06S04],09D08C06S04,2331
[DIVADM].[COD_SUBCIR].&[09D09C01S01],09D09C01S01,30837
[DIVADM].[COD_SUBCIR].&[09D09C01S02],09D09C01S02,13496
[DIVADM].[COD_SUBCIR].&[09D09C01S03],09D09C01S03,10809
[DIVADM].[COD_SUBCIR].&[09D09C02S01],09D09C02S01,7145
[DIVADM].[COD_SUBCIR].&[09D09C02S02],09D09C02S02,10371
[DIVADM].[COD_SUBCIR].&[09D09C02S03],09D09C02S03,6318
[DIVADM].[COD_SUBCIR].&[09D09C03S01],09D09C03S01,19043
[DIVADM].[COD_SUBCIR].&[09D10C01S01],09D10C01S01,5153
[DIVADM].[COD_SUBCIR].&[09D10C02S01],09D10C02S01,22215
