[DIVADM].[COD_SUBCIR].[COD_SUBCIR].[MEMBER_UNIQUE_NAME],[DIVADM].[COD_SUBCIR].[COD_SUBCIR].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[COD_SUBCIR].&[01D08C01S02],01D08C01S02,11502
[DIVADM].[COD_SUBCIR].&[01D08C02S01],01D08C02S01,1057
[DIVADM].[COD_SUBCIR].&[01D08C03S01],01D08C03S01,1878
[DIVADM].[COD_SUBCIR].&[02D01C01S01],02D01C01S01,25205
[DIVADM].[COD_SUBCIR].&[02D01C02S01],02D01C02S01,32711
[DIVADM].[COD_SUBCIR].&[02D01C03S01],02D01C03S01,11717
[DIVADM].[COD_SUBCIR].&[02D01C04S01],02D01C04S01,25691
[DIVADM].[COD_SUBCIR].&[02D01C05S01],02D01C05S01,1808
[DIVADM].[COD_SUBCIR].&[02D01C06S01],02D01C06S01,1198
[DIVADM].[COD_SUBCIR].&[02D01C07S01],02D01C07S01,2325
[DIVADM].[COD_SUBCIR].&[02D01C08S01],02D01C08S01,1525
[DIVADM].[COD_SUBCIR].&[02D01C09S01],02D01C09S01,4995
[DIVADM].[COD_SUBCIR].&[02D01C09S02],02D01C09S02,1029
[DIVADM].[COD_SUBCIR].&[02D01C10S01],02D01C10S01,12172
[DIVADM].[COD_SUBCIR].&[02D01C11S01],02D01C11S01,5176
[DIVADM].[COD_SUBCIR].&[02D01C11S02],02D01C11S02,6991
[DIVADM].[COD_SUBCIR].&[02D02C01S01],02D02C01S01,5277
[DIVADM].[COD_SUBCIR].&[02D02C02S01],02D02C02S01,9025
[DIVADM].[COD_SUBCIR].&[02D03C01S01],02D03C01S01,425
[DIVADM].[COD_SUBCIR].&[02D03C02S01],02D03C02S01,3170
[DIVADM].[COD_SUBCIR].&[02D03C03S01],02D03C03S01,11571
[DIVADM].[COD_SUBCIR].&[02D03C04S01],02D03C04S01,15421
[DIVADM].[COD_SUBCIR].&[02D03C05S01],02D03C05S01,4008
[DIVADM].[COD_SUBCIR].&[02D03C06S01],02D03C06S01,3006
[DIVADM].[COD_SUBCIR].&[02D03C07S01],02D03C07S01,7418
