[DIVADM].[NAM_SUBCIR].[NAM_SUBCIR].[MEMBER_UNIQUE_NAME],[DIVADM].[NAM_SUBCIR].[NAM_SUBCIR].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[NAM_SUBCIR].&[CENTRO 4],CENTRO 4,70493
[DIVADM].[NAM_SUBCIR].&[CENTRO HISTORICO 1],CENTRO HISTORICO 1,18979
[DIVADM].[NAM_SUBCIR].&[CENTRO HISTORICO 2],CENTRO HISTORICO 2,30289
[DIVADM].[NAM_SUBCIR].&[CENTRO HISTORICO 3],CENTRO HISTORICO 3,34256
[DIVADM].[NAM_SUBCIR].&[CENTRO HISTORICO 4],CENTRO HISTORICO 4,58491
[DIVADM].[NAM_SUBCIR].&[CENTRO HISTORICO 5],CENTRO HISTORICO 5,12026
[DIVADM].[NAM_SUBCIR].&[CERRO AZUL 1],CERRO AZUL 1,107
[DIVADM].[NAM_SUBCIR].&[CERRO NEGRO 1],CERRO NEGRO 1,1535
[DIVADM].[NAM_SUBCIR].&[CEVALLOS 1],CEVALLOS 1,12040
[DIVADM].[NAM_SUBCIR].&[CHAGUARPAMBA 1],CHAGUARPAMBA 1,2944
[DIVADM].[NAM_SUBCIR].&[CHALA 1],CHALA 1,25941
[DIVADM].[NAM_SUBCIR].&[CHALA 2],CHALA 2,19688
[DIVADM].[NAM_SUBCIR].&[CHALA 3],CHALA 3,17958
[DIVADM].[NAM_SUBCIR].&[CHAMANGA 1],CHAMANGA 1,349
[DIVADM].[NAM_SUBCIR].&[CHAMANGA 2],CHAMANGA 2,2920
[DIVADM].[NAM_SUBCIR].&[CHAMBO 1],CHAMBO 1,9156
[DIVADM].[NAM_SUBCIR].&[CHAMBO 2],CHAMBO 2,587
[DIVADM].[NAM_SUBCIR].&[CHAMUCAME 1],CHAMUCAME 1,499
[DIVADM].[NAM_SUBCIR].&[CHANDUY 1],CHANDUY 1,6888
[DIVADM].[NAM_SUBCIR].&[CHANDUY 2],CHANDUY 2,1221
[DIVADM].[NAM_SUBCIR].&[CHANGAIMINA 1],CHANGAIMINA 1,1884
[DIVADM].[NAM_SUBCIR].&[CHARAPOTO 1],CHARAPOTO 1,6922
[DIVADM].[NAM_SUBCIR].&[CHARAPOTO 2],CHARAPOTO 2,6664
[DIVADM].[NAM_SUBCIR].&[CHAUCHA 1],CHAUCHA 1,239
[DIVADM].[NAM_SUBCIR].&[CHECA 1],CHECA 1,13773
[DIVADM].[NAM_SUBCIR].&[CHIBUNGA 1],CHIBUNGA 1,954
[DIVADM].[NAM_SUBCIR].&[CHICAL 1],CHICAL 1,1216
[DIVADM].[NAM_SUBCIR].&[CHICAL 2],CHICAL 2,2520
[DIVADM].[NAM_SUBCIR].&[CHILA 1],CHILA 1,15340
[DIVADM].[NAM_SUBCIR].&[CHILE 1],CHILE 1,18071
[DIVADM].[NAM_SUBCIR].&[CHILE 2],CHILE 2,27570
[DIVADM].[NAM_SUBCIR].&[CHILE 3],CHILE 3,31576
[DIVADM].[NAM_SUBCIR].&[CHILE 4],CHILE 4,32559
[DIVADM].[NAM_SUBCIR].&[CHILIBULO 1],CHILIBULO 1,9394
[DIVADM].[NAM_SUBCIR].&[CHILIBULO 2],CHILIBULO 2,28191
[DIVADM].[NAM_SUBCIR].&[CHILIBULO 3],CHILIBULO 3,24609
[DIVADM].[NAM_SUBCIR].&[CHILIBULO 4],CHILIBULO 4,8948
[DIVADM].[NAM_SUBCIR].&[CHILIBULO 5],CHILIBULO 5,3291
[DIVADM].[NAM_SUBCIR].&[CHILIBULO 6],CHILIBULO 6,15660
[DIVADM].[NAM_SUBCIR].&[CHILLA 1],CHILLA 1,1515
[DIVADM].[NAM_SUBCIR].&[CHILLANES 1],CHILLANES 1,9025
[DIVADM].[NAM_SUBCIR].&[CHILLOGALLO 1],CHILLOGALLO 1,33991
[DIVADM].[NAM_SUBCIR].&[CHILLOGALLO 2],CHILLOGALLO 2,12518
[DIVADM].[NAM_SUBCIR].&[CHILLOGALLO 3],CHILLOGALLO 3,20976
[DIVADM].[NAM_SUBCIR].&[CHILLOGALLO 4],CHILLOGALLO 4,6355
[DIVADM].[NAM_SUBCIR].&[CHILLOGALLO 5],CHILLOGALLO 5,15726
[DIVADM].[NAM_SUBCIR].&[CHILLOGALLO 6],CHILLOGALLO 6,7939
[DIVADM].[NAM_SUBCIR].&[CHIMBACALLE 1],CHIMBACALLE 1,21815
[DIVADM].[NAM_SUBCIR].&[CHIMBACALLE 2],CHIMBACALLE 2,15286
[DIVADM].[NAM_SUBCIR].&[CHIMBACALLE 3],CHIMBACALLE 3,14942
[DIVADM].[NAM_SUBCIR].&[CHIMBACALLE 4],CHIMBACALLE 4,49708
[DIVADM].[NAM_SUBCIR].&[CHIMBO 1],CHIMBO 1,11571
[DIVADM].[NAM_SUBCIR].&[CHITO 1],CHITO 1,497
[DIVADM].[NAM_SUBCIR].&[CHOBO 1],CHOBO 1,7682
[DIVADM].[NAM_SUBCIR].&[CHOFER 1],CHOFER 1,7873
[DIVADM].[NAM_SUBCIR].&[CHONGON 1],CHONGON 1,19043
[DIVADM].[NAM_SUBCIR].&[CHONTACRUZ 1],CHONTACRUZ 1,9052
[DIVADM].[NAM_SUBCIR].&[CHONTACRUZ 2],CHONTACRUZ 2,18900
[DIVADM].[NAM_SUBCIR].&[CHORDELEG 1],CHORDELEG 1,6336
[DIVADM].[NAM_SUBCIR].&[CHORDELEG 2],CHORDELEG 2,1346
[DIVADM].[NAM_SUBCIR].&[CHUGCHILLAN 1],CHUGCHILLAN 1,1283
[DIVADM].[NAM_SUBCIR].&[CHUNCHI 1],CHUNCHI 1,8593
[DIVADM].[NAM_SUBCIR].&[CISNE 1],CISNE 1,13457
[DIVADM].[NAM_SUBCIR].&[CISNE 2],CISNE 2,33388
[DIVADM].[NAM_SUBCIR].&[CISNE 3],CISNE 3,17762
[DIVADM].[NAM_SUBCIR].&[CISNE 4],CISNE 4,15800
[DIVADM].[NAM_SUBCIR].&[CISNE 5],CISNE 5,29895
[DIVADM].[NAM_SUBCIR].&[CLODOVEO JARAMILLO 1],CLODOVEO JARAMILLO 1,27063
[DIVADM].[NAM_SUBCIR].&[COCA OCCIDENTE 1],COCA OCCIDENTE 1,33661
[DIVADM].[NAM_SUBCIR].&[COCA OCCIDENTE 2],COCA OCCIDENTE 2,18832
[DIVADM].[NAM_SUBCIR].&[COCA OCCIDENTE 3],COCA OCCIDENTE 3,8666
[DIVADM].[NAM_SUBCIR].&[COCA OCCIDENTE 4],COCA OCCIDENTE 4,30777
[DIVADM].[NAM_SUBCIR].&[COCA OCCIDENTE 5],COCA OCCIDENTE 5,74
[DIVADM].[NAM_SUBCIR].&[COCA ORIENTE 1],COCA ORIENTE 1,6945
[DIVADM].[NAM_SUBCIR].&[COCA ORIENTE 2],COCA ORIENTE 2,39832
[DIVADM].[NAM_SUBCIR].&[COCA ORIENTE 3],COCA ORIENTE 3,4668
[DIVADM].[NAM_SUBCIR].&[COCA ORIENTE 4],COCA ORIENTE 4,118
[DIVADM].[NAM_SUBCIR].&[COCHAPAMBA 1],COCHAPAMBA 1,20451
[DIVADM].[NAM_SUBCIR].&[COCHAPAMBA 2],COCHAPAMBA 2,9983
[DIVADM].[NAM_SUBCIR].&[COCHAPAMBA 3],COCHAPAMBA 3,18099
[DIVADM].[NAM_SUBCIR].&[COCHAPAMBA 4],COCHAPAMBA 4,20189
[DIVADM].[NAM_SUBCIR].&[COCHAPAMBA 5],COCHAPAMBA 5,10333
[DIVADM].[NAM_SUBCIR].&[CODESA 1],CODESA 1,16554
[DIVADM].[NAM_SUBCIR].&[COJIMIES 1],COJIMIES 1,5563
[DIVADM].[NAM_SUBCIR].&[COLAISACA 1],COLAISACA 1,1170
[DIVADM].[NAM_SUBCIR].&[COLECTIVA 1],COLECTIVA 1,16678
[DIVADM].[NAM_SUBCIR].&[COLECTIVA 2],COLECTIVA 2,13711
[DIVADM].[NAM_SUBCIR].&[COLIMES 1],COLIMES 1,508
[DIVADM].[NAM_SUBCIR].&[COLIMES 2],COLIMES 2,8676
[DIVADM].[NAM_SUBCIR].&[COLIMES RURAL 1],COLIMES RURAL 1,814
[DIVADM].[NAM_SUBCIR].&[COLINAS DEL NORTE 1],COLINAS DEL NORTE 1,12070
[DIVADM].[NAM_SUBCIR].&[COLINAS DEL NORTE 2],COLINAS DEL NORTE 2,13666
[DIVADM].[NAM_SUBCIR].&[COLINAS DEL NORTE 3],COLINAS DEL NORTE 3,12656
[DIVADM].[NAM_SUBCIR].&[COLON 1],COLON 1,3780
[DIVADM].[NAM_SUBCIR].&[COLON 2],COLON 2,8068
[DIVADM].[NAM_SUBCIR].&[COLONCHE 1],COLONCHE 1,3642
[DIVADM].[NAM_SUBCIR].&[COLONIA VELASCO IBARRA 1],COLONIA VELASCO IBARRA 1,4389
[DIVADM].[NAM_SUBCIR].&[COLUMBE 1],COLUMBE 1,2201
[DIVADM].[NAM_SUBCIR].&[COMPLEJO DEPORTIVO 1],COMPLEJO DEPORTIVO 1,35972
[DIVADM].[NAM_SUBCIR].&[COMUNEROS 1],COMUNEROS 1,21639
[DIVADM].[NAM_SUBCIR].&[CONCORDIA NORTE 1],CONCORDIA NORTE 1,14001
[DIVADM].[NAM_SUBCIR].&[CONCORDIA NORTE 2],CONCORDIA NORTE 2,15648
[DIVADM].[NAM_SUBCIR].&[CONCORDIA NORTE 3],CONCORDIA NORTE 3,33983
[DIVADM].[NAM_SUBCIR].&[CONE 1],CONE 1,7128
[DIVADM].[NAM_SUBCIR].&[CONOCOTO NORTE 1],CONOCOTO NORTE 1,8280
[DIVADM].[NAM_SUBCIR].&[CONOCOTO NORTE 2],CONOCOTO NORTE 2,33703
[DIVADM].[NAM_SUBCIR].&[CONOCOTO NORTE 3],CONOCOTO NORTE 3,11340
[DIVADM].[NAM_SUBCIR].&[CONOCOTO NORTE 4],CONOCOTO NORTE 4,6664
[DIVADM].[NAM_SUBCIR].&[CONOCOTO NORTE 5],CONOCOTO NORTE 5,7471
[DIVADM].[NAM_SUBCIR].&[CONOCOTO SUR 1],CONOCOTO SUR 1,75183
[DIVADM].[NAM_SUBCIR].&[CONOCOTO SUR 2],CONOCOTO SUR 2,14292
[DIVADM].[NAM_SUBCIR].&[CONSACOLA 1],CONSACOLA 1,28155
[DIVADM].[NAM_SUBCIR].&[CONTROL 1],CONTROL 1,6840
[DIVADM].[NAM_SUBCIR].&[CONTROL 2],CONTROL 2,16363
[DIVADM].[NAM_SUBCIR].&[CONVENTO 1],CONVENTO 1,1597
[DIVADM].[NAM_SUBCIR].&[CORDERO CRESPO 1],CORDERO CRESPO 1,19771
[DIVADM].[NAM_SUBCIR].&[COSTA AZUL 1],COSTA AZUL 1,2853
[DIVADM].[NAM_SUBCIR].&[COTACACHI 1],COTACACHI 1,14463
[DIVADM].[NAM_SUBCIR].&[COTACACHI 2],COTACACHI 2,7629
[DIVADM].[NAM_SUBCIR].&[COTALO 1],COTALO 1,798
[DIVADM].[NAM_SUBCIR].&[COTALO 2],COTALO 2,3503
[DIVADM].[NAM_SUBCIR].&[COTALO 3],COTALO 3,723
[DIVADM].[NAM_SUBCIR].&[COTOCOLLAO 1],COTOCOLLAO 1,26504
[DIVADM].[NAM_SUBCIR].&[COTOCOLLAO 2],COTOCOLLAO 2,9333
[DIVADM].[NAM_SUBCIR].&[COTOCOLLAO 3],COTOCOLLAO 3,32359
[DIVADM].[NAM_SUBCIR].&[COTOCOLLAO 4],COTOCOLLAO 4,12966
[DIVADM].[NAM_SUBCIR].&[CRISTO DEL CONSUELO 1],CRISTO DEL CONSUELO 1,41407
[DIVADM].[NAM_SUBCIR].&[CRISTO DEL CONSUELO 2],CRISTO DEL CONSUELO 2,47539
[DIVADM].[NAM_SUBCIR].&[CRISTO DEL CONSUELO 3],CRISTO DEL CONSUELO 3,23519
[DIVADM].[NAM_SUBCIR].&[CRISTO VIVE 1],CRISTO VIVE 1,35231
[DIVADM].[NAM_SUBCIR].&[CRISTO VIVE 2],CRISTO VIVE 2,5403
[DIVADM].[NAM_SUBCIR].&[CRISTOBAL COLON 1],CRISTOBAL COLON 1,2648
[DIVADM].[NAM_SUBCIR].&[CRISTOBAL COLON 2],CRISTOBAL COLON 2,468
[DIVADM].[NAM_SUBCIR].&[CRUCITA 1],CRUCITA 1,14763
[DIVADM].[NAM_SUBCIR].&[CUBA 1],CUBA 1,8511
[DIVADM].[NAM_SUBCIR].&[CUBA 2],CUBA 2,12893
[DIVADM].[NAM_SUBCIR].&[CUBA 3],CUBA 3,3952
[DIVADM].[NAM_SUBCIR].&[CUBA 4],CUBA 4,5634
[DIVADM].[NAM_SUBCIR].&[CUBE 1],CUBE 1,2317
[DIVADM].[NAM_SUBCIR].&[CUCHAENTZA 1],CUCHAENTZA 1,1579
[DIVADM].[NAM_SUBCIR].&[CUMANDA 1],CUMANDA 1,11951
[DIVADM].[NAM_SUBCIR].&[CUMANDA 2],CUMANDA 2,2411
[DIVADM].[NAM_SUBCIR].&[CUMBAYA SUR 1],CUMBAYA SUR 1,5899
[DIVADM].[NAM_SUBCIR].&[CUMBAYA SUR 2],CUMBAYA SUR 2,5161
[DIVADM].[NAM_SUBCIR].&[CUMBAYA SUR 3],CUMBAYA SUR 3,8317
[DIVADM].[NAM_SUBCIR].&[CUMBE 1],CUMBE 1,10580
[DIVADM].[NAM_SUBCIR].&[CUNCHIBAMBA 1],CUNCHIBAMBA 1,4559
[DIVADM].[NAM_SUBCIR].&[CUNCHIBAMBA 2],CUNCHIBAMBA 2,4751
[DIVADM].[NAM_SUBCIR].&[CUPA 1],CUPA 1,5270
[DIVADM].[NAM_SUBCIR].&[CUSUBAMBA 1],CUSUBAMBA 1,7163
[DIVADM].[NAM_SUBCIR].&[CUSUBAMBA 2],CUSUBAMBA 2,6001
[DIVADM].[NAM_SUBCIR].&[CUTUGLAGUA 1],CUTUGLAGUA 1,14163
[DIVADM].[NAM_SUBCIR].&[CUTUGLAGUA 2],CUTUGLAGUA 2,16403
[DIVADM].[NAM_SUBCIR].&[CUYABENO 1],CUYABENO 1,396
[DIVADM].[NAM_SUBCIR].&[DAMMER 1],DAMMER 1,29797
[DIVADM].[NAM_SUBCIR].&[DAMMER 2],DAMMER 2,34055
[DIVADM].[NAM_SUBCIR].&[DANZARIN 1],DANZARIN 1,1939
[DIVADM].[NAM_SUBCIR].&[DAULE CENTRO 1],DAULE CENTRO 1,1649
[DIVADM].[NAM_SUBCIR].&[DAULE CENTRO 2],DAULE CENTRO 2,23002
[DIVADM].[NAM_SUBCIR].&[DAYUMA 1],DAYUMA 1,2189
[DIVADM].[NAM_SUBCIR].&[DAYUMA 2],DAYUMA 2,16709
[DIVADM].[NAM_SUBCIR].&[DAYUMA 3],DAYUMA 3,3803
[DIVADM].[NAM_SUBCIR].&[DELEG 1],DELEG 1,6777
[DIVADM].[NAM_SUBCIR].&[DIVINO NIÑO 1],DIVINO NIÑO 1,20999
[DIVADM].[NAM_SUBCIR].&[DIVINO NIÑO 2],DIVINO NIÑO 2,46474
[DIVADM].[NAM_SUBCIR].&[DIVINO NIÑO 3],DIVINO NIÑO 3,13006
[DIVADM].[NAM_SUBCIR].&[DIVINO NIÑO 4],DIVINO NIÑO 4,20831
[DIVADM].[NAM_SUBCIR].&[DUG DUG 1],DUG DUG 1,2083
[DIVADM].[NAM_SUBCIR].&[ECHEANDIA 1],ECHEANDIA 1,23464
[DIVADM].[NAM_SUBCIR].&[ECHEANDIA 2],ECHEANDIA 2,2136
[DIVADM].[NAM_SUBCIR].&[ECUATORIANA 1],ECUATORIANA 1,42043
[DIVADM].[NAM_SUBCIR].&[ECUATORIANA 2],ECUATORIANA 2,29170
[DIVADM].[NAM_SUBCIR].&[ECUATORIANA 3],ECUATORIANA 3,22714
[DIVADM].[NAM_SUBCIR].&[ECUATORIANA 4],ECUATORIANA 4,12627
[DIVADM].[NAM_SUBCIR].&[EL ANGEL 1],EL ANGEL 1,12152
[DIVADM].[NAM_SUBCIR].&[EL ANGEL 2],EL ANGEL 2,1665
[DIVADM].[NAM_SUBCIR].&[EL ARENAL 1],EL ARENAL 1,22953
[DIVADM].[NAM_SUBCIR].&[EL ARENAL 2],EL ARENAL 2,6717
[DIVADM].[NAM_SUBCIR].&[EL BATAN 1],EL BATAN 1,68813
[DIVADM].[NAM_SUBCIR].&[EL BOSQUE 1],EL BOSQUE 1,10217
[DIVADM].[NAM_SUBCIR].&[EL BOSQUE 2],EL BOSQUE 2,23792
[DIVADM].[NAM_SUBCIR].&[EL BOSQUE 3],EL BOSQUE 3,19754
[DIVADM].[NAM_SUBCIR].&[EL BOSQUE 4],EL BOSQUE 4,20585
[DIVADM].[NAM_SUBCIR].&[EL BOSQUE 5],EL BOSQUE 5,12071
[DIVADM].[NAM_SUBCIR].&[EL CALZADO 1],EL CALZADO 1,13323
[DIVADM].[NAM_SUBCIR].&[EL CALZADO 2],EL CALZADO 2,24977
[DIVADM].[NAM_SUBCIR].&[EL CALZADO 3],EL CALZADO 3,19124
[DIVADM].[NAM_SUBCIR].&[EL CAMBIO 1],EL CAMBIO 1,24518
[DIVADM].[NAM_SUBCIR].&[EL CARMEN 1],EL CARMEN 1,2766
[DIVADM].[NAM_SUBCIR].&[EL CARMEN 2],EL CARMEN 2,24956
[DIVADM].[NAM_SUBCIR].&[EL CARMEN 3],EL CARMEN 3,5448
[DIVADM].[NAM_SUBCIR].&[EL CHACO 1],EL CHACO 1,4427
[DIVADM].[NAM_SUBCIR].&[EL CHAPARRAL 1],EL CHAPARRAL 1,13321
[DIVADM].[NAM_SUBCIR].&[EL CISNE 1],EL CISNE 1,2439
[DIVADM].[NAM_SUBCIR].&[EL CISNE 2],EL CISNE 2,1211
[DIVADM].[NAM_SUBCIR].&[EL COLORADO 1],EL COLORADO 1,16005
[DIVADM].[NAM_SUBCIR].&[EL COLORADO 2],EL COLORADO 2,5822
[DIVADM].[NAM_SUBCIR].&[EL COLORADO 3],EL COLORADO 3,17610
[DIVADM].[NAM_SUBCIR].&[EL CONDADO 1],EL CONDADO 1,11475
[DIVADM].[NAM_SUBCIR].&[EL CONDADO 2],EL CONDADO 2,30351
[DIVADM].[NAM_SUBCIR].&[EL CONDADO 3],EL CONDADO 3,17099
[DIVADM].[NAM_SUBCIR].&[EL CORAZON 1],EL CORAZON 1,3815
[DIVADM].[NAM_SUBCIR].&[EL DESVIO 1],EL DESVIO 1,439
[DIVADM].[NAM_SUBCIR].&[EL DORADO 1],EL DORADO 1,43910
[DIVADM].[NAM_SUBCIR].&[EL EJIDO 1],EL EJIDO 1,6954
[DIVADM].[NAM_SUBCIR].&[EL ENO 1],EL ENO 1,5701
[DIVADM].[NAM_SUBCIR].&[EL ESFUERZO 1],EL ESFUERZO 1,2647
[DIVADM].[NAM_SUBCIR].&[EL FLORON 1],EL FLORON 1,3784
[DIVADM].[NAM_SUBCIR].&[EL FLORON 2],EL FLORON 2,18275
[DIVADM].[NAM_SUBCIR].&[EL FLORON 3],EL FLORON 3,9842
[DIVADM].[NAM_SUBCIR].&[EL FLORON 4],EL FLORON 4,22899
[DIVADM].[NAM_SUBCIR].&[EL GOALTAL 1],EL GOALTAL 1,238
[DIVADM].[NAM_SUBCIR].&[EL GUABITO 1],EL GUABITO 1,5606
[DIVADM].[NAM_SUBCIR].&[EL INGENIO 1],EL INGENIO 1,1597
[DIVADM].[NAM_SUBCIR].&[EL JORDAN 1],EL JORDAN 1,1829
[DIVADM].[NAM_SUBCIR].&[EL LIMO 1],EL LIMO 1,412
[DIVADM].[NAM_SUBCIR].&[EL MAESTRO 1],EL MAESTRO 1,22666
[DIVADM].[NAM_SUBCIR].&[EL MIRADOR 1],EL MIRADOR 1,10327
[DIVADM].[NAM_SUBCIR].&[EL MIRADOR 2],EL MIRADOR 2,30671
[DIVADM].[NAM_SUBCIR].&[EL MIRADOR 3],EL MIRADOR 3,22646
[DIVADM].[NAM_SUBCIR].&[EL NOGAL 1],EL NOGAL 1,25896
[DIVADM].[NAM_SUBCIR].&[EL NOGAL 2],EL NOGAL 2,5912
[DIVADM].[NAM_SUBCIR].&[EL PAN 1],EL PAN 1,1520
[DIVADM].[NAM_SUBCIR].&[EL PARAISO 1],EL PARAISO 1,2466
[DIVADM].[NAM_SUBCIR].&[EL PARAISO LA CATORCE 1],EL PARAISO LA CATORCE 1,1847
[DIVADM].[NAM_SUBCIR].&[EL PIEDRERO 1],EL PIEDRERO 1,2751
[DIVADM].[NAM_SUBCIR].&[EL PLACER 1],EL PLACER 1,6358
[DIVADM].[NAM_SUBCIR].&[EL PLACER 2],EL PLACER 2,7710
[DIVADM].[NAM_SUBCIR].&[EL PLACER 3],EL PLACER 3,22452
[DIVADM].[NAM_SUBCIR].&[EL PORTAL 1],EL PORTAL 1,21885
[DIVADM].[NAM_SUBCIR].&[EL PORVENIR 1],EL PORVENIR 1,3044
[DIVADM].[NAM_SUBCIR].&[EL PRADO 1],EL PRADO 1,2154
[DIVADM].[NAM_SUBCIR].&[EL PROLETARIADO 1],EL PROLETARIADO 1,19992
[DIVADM].[NAM_SUBCIR].&[EL PROLETARIADO 2],EL PROLETARIADO 2,5551
[DIVADM].[NAM_SUBCIR].&[EL RETIRO 1],EL RETIRO 1,7994
[DIVADM].[NAM_SUBCIR].&[EL ROSARIO 1],EL ROSARIO 1,1946
[DIVADM].[NAM_SUBCIR].&[EL SAGRARIO 1],EL SAGRARIO 1,61572
[DIVADM].[NAM_SUBCIR].&[EL SALADO 1],EL SALADO 1,18328
[DIVADM].[NAM_SUBCIR].&[EL SALTO 1],EL SALTO 1,13392
[DIVADM].[NAM_SUBCIR].&[EL TAMBO 1],EL TAMBO 1,21276
[DIVADM].[NAM_SUBCIR].&[EL TOACHI 1],EL TOACHI 1,19683
[DIVADM].[NAM_SUBCIR].&[EL TOACHI 2],EL TOACHI 2,15704
[DIVADM].[NAM_SUBCIR].&[EL TRIUNFO CENTRO 1],EL TRIUNFO CENTRO 1,20018
[DIVADM].[NAM_SUBCIR].&[EL TRIUNFO ESTE 1],EL TRIUNFO ESTE 1,14756
[DIVADM].[NAM_SUBCIR].&[EL TRIUNFO OESTE 1],EL TRIUNFO OESTE 1,9543
[DIVADM].[NAM_SUBCIR].&[EL TRIUNFO OESTE 2],EL TRIUNFO OESTE 2,10672
[DIVADM].[NAM_SUBCIR].&[EL VALLE 1],EL VALLE 1,53808
[DIVADM].[NAM_SUBCIR].&[EL VECINO 1],EL VECINO 1,15082
[DIVADM].[NAM_SUBCIR].&[EL VECINO 2],EL VECINO 2,16928
[DIVADM].[NAM_SUBCIR].&[EL VERGEL NORTE 1],EL VERGEL NORTE 1,349
[DIVADM].[NAM_SUBCIR].&[EL VERGEL SUR 1],EL VERGEL SUR 1,5157
[DIVADM].[NAM_SUBCIR].&[ELOY ALFARO 1],ELOY ALFARO 1,8832
[DIVADM].[NAM_SUBCIR].&[ELOY ALFARO 2],ELOY ALFARO 2,22063
[DIVADM].[NAM_SUBCIR].&[EMPALME CENTRO 1],EMPALME CENTRO 1,16463
[DIVADM].[NAM_SUBCIR].&[EMPALME SURESTE 1],EMPALME SURESTE 1,19393
[DIVADM].[NAM_SUBCIR].&[EMPALME SUROESTE 1],EMPALME SUROESTE 1,25387
[DIVADM].[NAM_SUBCIR].&[ENGABAO 1],ENGABAO 1,2785
[DIVADM].[NAM_SUBCIR].&[ENRIQUEZ GALLO 1],ENRIQUEZ GALLO 1,18513
[DIVADM].[NAM_SUBCIR].&[ESMERALDAS LIBRE 1],ESMERALDAS LIBRE 1,11595
[DIVADM].[NAM_SUBCIR].&[ESTACADA 1],ESTACADA 1,1107
[DIVADM].[NAM_SUBCIR].&[ESTACADA 2],ESTACADA 2,23186
[DIVADM].[NAM_SUBCIR].&[ESTADIO 1],ESTADIO 1,21236
[DIVADM].[NAM_SUBCIR].&[ESTADIO 2],ESTADIO 2,39901
[DIVADM].[NAM_SUBCIR].&[ESTEBAN GODOY 1],ESTEBAN GODOY 1,17692
[DIVADM].[NAM_SUBCIR].&[ESTEBAN GODOY 2],ESTEBAN GODOY 2,14360
[DIVADM].[NAM_SUBCIR].&[ESTEROS 1],ESTEROS 1,15277
[DIVADM].[NAM_SUBCIR].&[ESTEROS 2],ESTEROS 2,42492
[DIVADM].[NAM_SUBCIR].&[ESTEROS 3],ESTEROS 3,23949
[DIVADM].[NAM_SUBCIR].&[ESTEROS 4],ESTEROS 4,26560
[DIVADM].[NAM_SUBCIR].&[FACUNDO VELA 1],FACUNDO VELA 1,1525
[DIVADM].[NAM_SUBCIR].&[FAJARDO 1],FAJARDO 1,31853
[DIVADM].[NAM_SUBCIR].&[FAJARDO 2],FAJARDO 2,17825
[DIVADM].[NAM_SUBCIR].&[FATIMA 1],FATIMA 1,3034
[DIVADM].[NAM_SUBCIR].&[FERNANDINA 1],FERNANDINA 1,300
[DIVADM].[NAM_SUBCIR].&[FERROVIARIA 1],FERROVIARIA 1,27783
[DIVADM].[NAM_SUBCIR].&[FERROVIARIA 2],FERROVIARIA 2,6882
[DIVADM].[NAM_SUBCIR].&[FERROVIARIA 3],FERROVIARIA 3,27423
[DIVADM].[NAM_SUBCIR].&[FERROVIARIA 4],FERROVIARIA 4,6806
[DIVADM].[NAM_SUBCIR].&[FERROVIARIA 5],FERROVIARIA 5,12814
[DIVADM].[NAM_SUBCIR].&[FERROVIARIA 6],FERROVIARIA 6,14108
[DIVADM].[NAM_SUBCIR].&[FLAVIO ALFARO 1],FLAVIO ALFARO 1,5780
[DIVADM].[NAM_SUBCIR].&[FLOR DE BASTION 1],FLOR DE BASTION 1,6629
[DIVADM].[NAM_SUBCIR].&[FLOR DE BASTION 2],FLOR DE BASTION 2,1413
[DIVADM].[NAM_SUBCIR].&[FLOR DE BASTION 3],FLOR DE BASTION 3,6502
[DIVADM].[NAM_SUBCIR].&[FLOR DE BASTION 4],FLOR DE BASTION 4,860
[DIVADM].[NAM_SUBCIR].&[FLOR DE BASTION 5],FLOR DE BASTION 5,566
[DIVADM].[NAM_SUBCIR].&[FLOR DE BASTION 6],FLOR DE BASTION 6,3018
[DIVADM].[NAM_SUBCIR].&[FLOR DE BASTION 7],FLOR DE BASTION 7,8389
[DIVADM].[NAM_SUBCIR].&[FLOR DE BASTION 8],FLOR DE BASTION 8,13104
[DIVADM].[NAM_SUBCIR].&[FLOR DE BASTION 9],FLOR DE BASTION 9,3911
[DIVADM].[NAM_SUBCIR].&[FLORESTA 1],FLORESTA 1,11935
[DIVADM].[NAM_SUBCIR].&[FLORESTA 2],FLORESTA 2,37257
[DIVADM].[NAM_SUBCIR].&[FLORESTA 3],FLORESTA 3,17739
[DIVADM].[NAM_SUBCIR].&[FLORIDA 1],FLORIDA 1,21436
[DIVADM].[NAM_SUBCIR].&[FLORIDA 2],FLORIDA 2,37199
[DIVADM].[NAM_SUBCIR].&[FLORIDA 3],FLORIDA 3,14608
[DIVADM].[NAM_SUBCIR].&[FORTIN 1],FORTIN 1,15256
[DIVADM].[NAM_SUBCIR].&[FORTIN 2],FORTIN 2,22511
[DIVADM].[NAM_SUBCIR].&[FORTIN 3],FORTIN 3,8723
[DIVADM].[NAM_SUBCIR].&[FORTIN 4],FORTIN 4,11098
[DIVADM].[NAM_SUBCIR].&[FRONTERA 1],FRONTERA 1,621
[DIVADM].[NAM_SUBCIR].&[FRONTERA 2],FRONTERA 2,289
[DIVADM].[NAM_SUBCIR].&[FRONTERA 3],FRONTERA 3,31960
[DIVADM].[NAM_SUBCIR].&[FUMISA 1],FUMISA 1,6907
[DIVADM].[NAM_SUBCIR].&[GALERAS 1],GALERAS 1,1683
[DIVADM].[NAM_SUBCIR].&[GALERAS 2],GALERAS 2,578
