[DIVADM].[NAM_SUBCIR].[NAM_SUBCIR].[MEMBER_UNIQUE_NAME],[DIVADM].[NAM_SUBCIR].[NAM_SUBCIR].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[NAM_SUBCIR].&[AMAGUAÑA CENTRO 1],AMAGUAÑA CENTRO 1,26360
[DIVADM].[NAM_SUBCIR].&[AMALUZA 1],AMALUZA 1,5720
[DIVADM].[NAM_SUBCIR].&[AMAZONAS 1],AMAZONAS 1,46459
[DIVADM].[NAM_SUBCIR].&[AMAZONAS 2],AMAZONAS 2,31562
[DIVADM].[NAM_SUBCIR].&[AMBUQUI 1],AMBUQUI 1,7138
[DIVADM].[NAM_SUBCIR].&[AMBUQUI 2],AMBUQUI 2,5295
[DIVADM].[NAM_SUBCIR].&[ANCHAYACU 1],ANCHAYACU 1,261
[DIVADM].[NAM_SUBCIR].&[ANCHAYACU 2],ANCHAYACU 2,28
[DIVADM].[NAM_SUBCIR].&[ANCHAYACU 3],ANCHAYACU 3,16
[DIVADM].[NAM_SUBCIR].&[ANCONCITO 1],ANCONCITO 1,11694
[DIVADM].[NAM_SUBCIR].&[ANDRADE MARIN 1],ANDRADE MARIN 1,18987
[DIVADM].[NAM_SUBCIR].&[ANGAMARCA 1],ANGAMARCA 1,456
[DIVADM].[NAM_SUBCIR].&[ANTEPARA  3],ANTEPARA  3,26232
[DIVADM].[NAM_SUBCIR].&[ANTEPARA 1],ANTEPARA 1,28869
[DIVADM].[NAM_SUBCIR].&[ANTEPARA 2],ANTEPARA 2,35448
[DIVADM].[NAM_SUBCIR].&[ANTONIO SOTOMAYOR 1],ANTONIO SOTOMAYOR 1,3688
[DIVADM].[NAM_SUBCIR].&[APOLO 1],APOLO 1,14359
[DIVADM].[NAM_SUBCIR].&[ARAJUNO POBLADO 1],ARAJUNO POBLADO 1,4475
[DIVADM].[NAM_SUBCIR].&[ARAJUNO SELVA 1],ARAJUNO SELVA 1,570
[DIVADM].[NAM_SUBCIR].&[ARBOLITO 1],ARBOLITO 1,7191
[DIVADM].[NAM_SUBCIR].&[ARBOLITO 2],ARBOLITO 2,9369
[DIVADM].[NAM_SUBCIR].&[ARBOLITO 3],ARBOLITO 3,10517
[DIVADM].[NAM_SUBCIR].&[ARCANGEL 1],ARCANGEL 1,16322
[DIVADM].[NAM_SUBCIR].&[ARCANGEL 2],ARCANGEL 2,15018
[DIVADM].[NAM_SUBCIR].&[ARCAPAMBA 1],ARCAPAMBA 1,3948
[DIVADM].[NAM_SUBCIR].&[ARCHIDONA 1],ARCHIDONA 1,12470
[DIVADM].[NAM_SUBCIR].&[ARENILLAS 1],ARENILLAS 1,17699
[DIVADM].[NAM_SUBCIR].&[ARGELIA 1],ARGELIA 1,8653
[DIVADM].[NAM_SUBCIR].&[ARGELIA 2],ARGELIA 2,14113
[DIVADM].[NAM_SUBCIR].&[ARGELIA 3],ARGELIA 3,17900
[DIVADM].[NAM_SUBCIR].&[ARGELIA 4],ARGELIA 4,11827
