[DIVPOL].[DPA_VALOR].[DPA_VALOR].[MEMBER_UNIQUE_NAME],[DIVPOL].[DPA_VALOR].[DPA_VALOR].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVPOL].[DPA_VALOR].&[0],0,23256526
[DIVPOL].[DPA_VALOR].&,,4343
