[DIVADM].[SHAPE_LENG].[SHAPE_LENG].[MEMBER_UNIQUE_NAME],[DIVADM].[SHAPE_LENG].[SHAPE_LENG].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[SHAPE_LENG].&[4.8357557793E3],"4835,7557793",42043
[DIVADM].[SHAPE_LENG].&[4.84234567038E3],"4842,34567038",49580
[DIVADM].[SHAPE_LENG].&[4.85322971402E3],"4853,22971402",20831
[DIVADM].[SHAPE_LENG].&[4.85367733742E3],"4853,67733742",22307
[DIVADM].[SHAPE_LENG].&[4.85725128688E3],"4857,25128688",29052
[DIVADM].[SHAPE_LENG].&[4.85856303306E3],"4858,56303306",14779
[DIVADM].[SHAPE_LENG].&[4.87259583662E3],"4872,59583662",20585
[DIVADM].[SHAPE_LENG].&[4.88666674386E3],"4886,66674386",25511
[DIVADM].[SHAPE_LENG].&[4.8874455034E3],"4887,4455034",32216
[DIVADM].[SHAPE_LENG].&[4.89054214477E3],"4890,54214477",25419
[DIVADM].[SHAPE_LENG].&[4.8987538261E3],"4898,7538261",9710
[DIVADM].[SHAPE_LENG].&[4.90114198078E3],"4901,14198078",11463
[DIVADM].[SHAPE_LENG].&[4.91367474011E3],"4913,67474011",31913
[DIVADM].[SHAPE_LENG].&[4.92126612778E3],"4921,26612778",5634
[DIVADM].[SHAPE_LENG].&[4.94235647141E3],"4942,35647141",11962
[DIVADM].[SHAPE_LENG].&[4.99591659155E3],"4995,91659155",36655
[DIVADM].[SHAPE_LENG].&[5.00865237754E3],"5008,65237754",12308
[DIVADM].[SHAPE_LENG].&[5.01706572087E3],"5017,06572087",42492
[DIVADM].[SHAPE_LENG].&[5.01924728263E3],"5019,24728263",17663
[DIVADM].[SHAPE_LENG].&[5.04217254119E3],"5042,17254119",3952
[DIVADM].[SHAPE_LENG].&[5.04614593943E3],"5046,14593943",9394
[DIVADM].[SHAPE_LENG].&[5.04658045515E3],"5046,58045515",11327
[DIVADM].[SHAPE_LENG].&[5.053100577E3],"5053,100577",37257
[DIVADM].[SHAPE_LENG].&[5.08696497157E3],"5086,96497157",14326
[DIVADM].[SHAPE_LENG].&[5.09114981179E3],"5091,14981179",38907
[DIVADM].[SHAPE_LENG].&[5.09805542037E3],"5098,05542037",6629
[DIVADM].[SHAPE_LENG].&[5.10306413252E3],"5103,06413252",22801
[DIVADM].[SHAPE_LENG].&[5.11456321931E3],"5114,56321931",27423
[DIVADM].[SHAPE_LENG].&[5.11894161401E3],"5118,94161401",15397
[DIVADM].[SHAPE_LENG].&[5.11898977122E3],"5118,98977122",33991
[DIVADM].[SHAPE_LENG].&[5.11962464708E3],"5119,62464708",19148
[DIVADM].[SHAPE_LENG].&[5.12112347789E3],"5121,12347789",16428
[DIVADM].[SHAPE_LENG].&[5.13516326704E3],"5135,16326704",22769
[DIVADM].[SHAPE_LENG].&[5.13827090133E3],"5138,27090133",7135
[DIVADM].[SHAPE_LENG].&[5.15060394009E3],"5150,60394009",25540
[DIVADM].[SHAPE_LENG].&[5.15072642711E3],"5150,72642711",12104
[DIVADM].[SHAPE_LENG].&[5.15941565887E3],"5159,41565887",18243
[DIVADM].[SHAPE_LENG].&[5.16238454971E3],"5162,38454971",17187
[DIVADM].[SHAPE_LENG].&[5.16755605376E3],"5167,55605376",23792
[DIVADM].[SHAPE_LENG].&[5.19840784745E3],"5198,40784745",33447
[DIVADM].[SHAPE_LENG].&[5.20262611798E3],"5202,62611798",41349
[DIVADM].[SHAPE_LENG].&[5.21735893607E3],"5217,35893607",3983
[DIVADM].[SHAPE_LENG].&[5.23027313388E3],"5230,27313388",7030
[DIVADM].[SHAPE_LENG].&[5.2313460449E3],"5231,3460449",12488
[DIVADM].[SHAPE_LENG].&[5.24839716777E3],"5248,39716777",6621
[DIVADM].[SHAPE_LENG].&[5.24952329946E3],"5249,52329946",4677
[DIVADM].[SHAPE_LENG].&[5.25676832666E3],"5256,76832666",31875
[DIVADM].[SHAPE_LENG].&[5.26400943731E3],"5264,00943731",27826
[DIVADM].[SHAPE_LENG].&[5.26622219624E3],"5266,22219624",15980
[DIVADM].[SHAPE_LENG].&[5.30261308055E3],"5302,61308055",1727
[DIVADM].[SHAPE_LENG].&[5.31251160438E3],"5312,51160438",11530
[DIVADM].[SHAPE_LENG].&[5.31256936763E3],"5312,56936763",13387
[DIVADM].[SHAPE_LENG].&[5.32313280142E3],"5323,13280142",6228
[DIVADM].[SHAPE_LENG].&[5.32474257619E3],"5324,74257619",27407
[DIVADM].[SHAPE_LENG].&[5.34025646553E3],"5340,25646553",14994
[DIVADM].[SHAPE_LENG].&[5.37438313459E3],"5374,38313459",11271
[DIVADM].[SHAPE_LENG].&[5.39429707777E3],"5394,29707777",24063
[DIVADM].[SHAPE_LENG].&[5.39625807239E3],"5396,25807239",60611
[DIVADM].[SHAPE_LENG].&[5.40602475935E3],"5406,02475935",14608
[DIVADM].[SHAPE_LENG].&[5.41411395448E3],"5414,11395448",7093
[DIVADM].[SHAPE_LENG].&[5.42663263154E3],"5426,63263154",28512
[DIVADM].[SHAPE_LENG].&[5.42664675237E3],"5426,64675237",8722
[DIVADM].[SHAPE_LENG].&[5.44485845651E3],"5444,85845651",12163
[DIVADM].[SHAPE_LENG].&[5.44803923264E3],"5448,03923264",26832
[DIVADM].[SHAPE_LENG].&[5.45763692158E3],"5457,63692158",11395
[DIVADM].[SHAPE_LENG].&[5.46388624581E3],"5463,88624581",10071
[DIVADM].[SHAPE_LENG].&[5.4648675871E3],"5464,8675871",10178
[DIVADM].[SHAPE_LENG].&[5.46562792789E3],"5465,62792789",40983
[DIVADM].[SHAPE_LENG].&[5.47123385814E3],"5471,23385814",35340
[DIVADM].[SHAPE_LENG].&[5.48294507328E3],"5482,94507328",2331
[DIVADM].[SHAPE_LENG].&[5.49265432145E3],"5492,65432145",33661
[DIVADM].[SHAPE_LENG].&[5.49416068663E3],"5494,16068663",14359
[DIVADM].[SHAPE_LENG].&[5.5002893229E3],"5500,2893229",6765
[DIVADM].[SHAPE_LENG].&[5.50646618689E3],"5506,46618689",12591
[DIVADM].[SHAPE_LENG].&[5.51300751442E3],"5513,00751442",11413
[DIVADM].[SHAPE_LENG].&[5.54088104288E3],"5540,88104288",16742
[DIVADM].[SHAPE_LENG].&[5.54152163163E3],"5541,52163163",41318
[DIVADM].[SHAPE_LENG].&[5.54321271583E3],"5543,21271583",16005
[DIVADM].[SHAPE_LENG].&[5.558948451E3],"5558,948451",21195
[DIVADM].[SHAPE_LENG].&[5.57160745848E3],"5571,60745848",29182
[DIVADM].[SHAPE_LENG].&[5.58636680133E3],"5586,36680133",20668
[DIVADM].[SHAPE_LENG].&[5.59813375542E3],"5598,13375542",37199
[DIVADM].[SHAPE_LENG].&[5.60628082367E3],"5606,28082367",38577
[DIVADM].[SHAPE_LENG].&[5.61597998278E3],"5615,97998278",10875
[DIVADM].[SHAPE_LENG].&[5.62632658625E3],"5626,32658625",51024
[DIVADM].[SHAPE_LENG].&[5.65767530906E3],"5657,67530906",11595
[DIVADM].[SHAPE_LENG].&[5.67719557194E3],"5677,19557194",9401
[DIVADM].[SHAPE_LENG].&[5.68523723912E3],"5685,23723912",27651
[DIVADM].[SHAPE_LENG].&[5.69026432193E3],"5690,26432193",2797
[DIVADM].[SHAPE_LENG].&[5.69126137026E3],"5691,26137026",6374
[DIVADM].[SHAPE_LENG].&[5.70302089894E3],"5703,02089894",23421
[DIVADM].[SHAPE_LENG].&[5.71241979986E3],"5712,41979986",3926
[DIVADM].[SHAPE_LENG].&[5.73570475843E3],"5735,70475843",18918
[DIVADM].[SHAPE_LENG].&[5.73926830038E3],"5739,26830038",43060
[DIVADM].[SHAPE_LENG].&[5.75582485114E3],"5755,82485114",12937
[DIVADM].[SHAPE_LENG].&[5.76205853586E3],"5762,05853586",19897
[DIVADM].[SHAPE_LENG].&[5.77909368169E3],"5779,09368169",11288
[DIVADM].[SHAPE_LENG].&[5.82493039433E3],"5824,93039433",28191
[DIVADM].[SHAPE_LENG].&[5.82616771544E3],"5826,16771544",24977
[DIVADM].[SHAPE_LENG].&[5.83033594318E3],"5830,33594318",12814
[DIVADM].[SHAPE_LENG].&[5.86333862215E3],"5863,33862215",28679
[DIVADM].[SHAPE_LENG].&[5.87479243521E3],"5874,79243521",22872
[DIVADM].[SHAPE_LENG].&[5.89743391116E3],"5897,43391116",17415
[DIVADM].[SHAPE_LENG].&[5.90308884483E3],"5903,08884483",14236
[DIVADM].[SHAPE_LENG].&[5.92612251653E3],"5926,12251653",19643
[DIVADM].[SHAPE_LENG].&[5.95149192232E3],"5951,49192232",25857
[DIVADM].[SHAPE_LENG].&[5.95873071156E3],"5958,73071156",27201
[DIVADM].[SHAPE_LENG].&[5.97111924385E3],"5971,11924385",49708
[DIVADM].[SHAPE_LENG].&[5.98233474593E3],"5982,33474593",32634
[DIVADM].[SHAPE_LENG].&[6.0228680145E3],"6022,8680145",15683
[DIVADM].[SHAPE_LENG].&[6.03808592971E3],"6038,08592971",3982
[DIVADM].[SHAPE_LENG].&[6.08193276078E3],"6081,93276078",11804
[DIVADM].[SHAPE_LENG].&[6.11078808096E3],"6110,78808096",58828
[DIVADM].[SHAPE_LENG].&[6.13166701003E3],"6131,66701003",20880
[DIVADM].[SHAPE_LENG].&[6.13394396791E3],"6133,94396791",6811
[DIVADM].[SHAPE_LENG].&[6.15497787413E3],"6154,97787413",4454
[DIVADM].[SHAPE_LENG].&[6.16271660582E3],"6162,71660582",18545
[DIVADM].[SHAPE_LENG].&[6.17615279512E3],"6176,15279512",9619
[DIVADM].[SHAPE_LENG].&[6.18157520243E3],"6181,57520243",6272
[DIVADM].[SHAPE_LENG].&[6.20732157796E3],"6207,32157796",6422
[DIVADM].[SHAPE_LENG].&[6.23906569857E3],"6239,06569857",22714
[DIVADM].[SHAPE_LENG].&[6.24607948072E3],"6246,07948072",32951
[DIVADM].[SHAPE_LENG].&[6.25679167186E3],"6256,79167186",19983
[DIVADM].[SHAPE_LENG].&[6.26036691372E3],"6260,36691372",18084
[DIVADM].[SHAPE_LENG].&[6.28120035974E3],"6281,20035974",8254
[DIVADM].[SHAPE_LENG].&[6.28493983732E3],"6284,93983732",15502
[DIVADM].[SHAPE_LENG].&[6.29107074695E3],"6291,07074695",7256
[DIVADM].[SHAPE_LENG].&[6.29160042514E3],"6291,60042514",12529
[DIVADM].[SHAPE_LENG].&[6.29577665806E3],"6295,77665806",38560
[DIVADM].[SHAPE_LENG].&[6.30485157456E3],"6304,85157456",27783
[DIVADM].[SHAPE_LENG].&[6.31529895984E3],"6315,29895984",29278
[DIVADM].[SHAPE_LENG].&[6.33073256455E3],"6330,73256455",4589
[DIVADM].[SHAPE_LENG].&[6.33261575679E3],"6332,61575679",13967
[DIVADM].[SHAPE_LENG].&[6.34237591277E3],"6342,37591277",15069
[DIVADM].[SHAPE_LENG].&[6.3435730355E3],"6343,5730355",14045
[DIVADM].[SHAPE_LENG].&[6.34763408475E3],"6347,63408475",11736
[DIVADM].[SHAPE_LENG].&[6.371932783E3],"6371,932783",14848
[DIVADM].[SHAPE_LENG].&[6.40926932102E3],"6409,26932102",10127
[DIVADM].[SHAPE_LENG].&[6.42820018281E3],"6428,20018281",18181
[DIVADM].[SHAPE_LENG].&[6.44405114199E3],"6444,05114199",14070
[DIVADM].[SHAPE_LENG].&[6.4603345944E3],"6460,3345944",6831
[DIVADM].[SHAPE_LENG].&[6.46893561344E3],"6468,93561344",8896
[DIVADM].[SHAPE_LENG].&[6.4849963398E3],"6484,9963398",22690
[DIVADM].[SHAPE_LENG].&[6.50605901179E3],"6506,05901179",35972
[DIVADM].[SHAPE_LENG].&[6.52426428535E3],"6524,26428535",6992
[DIVADM].[SHAPE_LENG].&[6.54084271216E3],"6540,84271216",54606
[DIVADM].[SHAPE_LENG].&[6.54565752993E3],"6545,65752993",32726
[DIVADM].[SHAPE_LENG].&[6.54603429991E3],"6546,03429991",18328
[DIVADM].[SHAPE_LENG].&[6.61647406602E3],"6616,47406602",34055
[DIVADM].[SHAPE_LENG].&[6.65154650704E3],"6651,54650704",9159
[DIVADM].[SHAPE_LENG].&[6.68954935442E3],"6689,54935442",23259
[DIVADM].[SHAPE_LENG].&[6.69666007585E3],"6696,66007585",26651
[DIVADM].[SHAPE_LENG].&[6.71127859575E3],"6711,27859575",15726
[DIVADM].[SHAPE_LENG].&[6.71516337117E3],"6715,16337117",8565
[DIVADM].[SHAPE_LENG].&[6.71775570422E3],"6717,75570422",6805
[DIVADM].[SHAPE_LENG].&[6.72730859076E3],"6727,30859076",60972
[DIVADM].[SHAPE_LENG].&[6.72964675E3],"6729,64675",5582
[DIVADM].[SHAPE_LENG].&[6.82507436448E3],"6825,07436448",13541
[DIVADM].[SHAPE_LENG].&[6.82516645679E3],"6825,16645679",14012
[DIVADM].[SHAPE_LENG].&[6.84285065573E3],"6842,85065573",34904
[DIVADM].[SHAPE_LENG].&[6.88799464646E3],"6887,99464646",22899
[DIVADM].[SHAPE_LENG].&[6.89748336474E3],"6897,48336474",16106
[DIVADM].[SHAPE_LENG].&[6.91844992638E3],"6918,44992638",13726
[DIVADM].[SHAPE_LENG].&[6.92269625112E3],"6922,69625112",10998
[DIVADM].[SHAPE_LENG].&[6.95766141324E3],"6957,66141324",7550
[DIVADM].[SHAPE_LENG].&[6.96103415436E3],"6961,03415436",47527
[DIVADM].[SHAPE_LENG].&[6.96692486467E3],"6966,92486467",28381
[DIVADM].[SHAPE_LENG].&[6.98911048119E3],"6989,11048119",33038
[DIVADM].[SHAPE_LENG].&[7.00262382049E3],"7002,62382049",25161
[DIVADM].[SHAPE_LENG].&[7.03321359028E3],"7033,21359028",13356
[DIVADM].[SHAPE_LENG].&[7.09558322075E3],"7095,58322075",18694
[DIVADM].[SHAPE_LENG].&[7.12754782577E3],"7127,54782577",11568
[DIVADM].[SHAPE_LENG].&[7.13297993313E3],"7132,97993313",29932
[DIVADM].[SHAPE_LENG].&[7.20033902881E3],"7200,33902881",43910
[DIVADM].[SHAPE_LENG].&[7.24976815211E3],"7249,76815211",47124
[DIVADM].[SHAPE_LENG].&[7.26966522929E3],"7269,66522929",14426
[DIVADM].[SHAPE_LENG].&[7.27239525635E3],"7272,39525635",17610
[DIVADM].[SHAPE_LENG].&[7.27411523992E3],"7274,11523992",8033
[DIVADM].[SHAPE_LENG].&[7.28744238556E3],"7287,44238556",19004
[DIVADM].[SHAPE_LENG].&[7.32839005454E3],"7328,39005454",15465
[DIVADM].[SHAPE_LENG].&[7.36522806611E3],"7365,22806611",12656
[DIVADM].[SHAPE_LENG].&[7.36629340061E3],"7366,29340061",18391
[DIVADM].[SHAPE_LENG].&[7.44873144476E3],"7448,73144476",19994
[DIVADM].[SHAPE_LENG].&[7.46621810954E3],"7466,21810954",58724
[DIVADM].[SHAPE_LENG].&[7.46657086453E3],"7466,57086453",16853
[DIVADM].[SHAPE_LENG].&[7.46734373341E3],"7467,34373341",32537
[DIVADM].[SHAPE_LENG].&[7.49442605284E3],"7494,42605284",66906
[DIVADM].[SHAPE_LENG].&[7.53559006796E3],"7535,59006796",61727
[DIVADM].[SHAPE_LENG].&[7.53898506594E3],"7538,98506594",17313
[DIVADM].[SHAPE_LENG].&[7.55986203722E3],"7559,86203722",5869
[DIVADM].[SHAPE_LENG].&[7.56155931897E3],"7561,55931897",3529
[DIVADM].[SHAPE_LENG].&[7.56547418901E3],"7565,47418901",26622
[DIVADM].[SHAPE_LENG].&[7.57653911419E3],"7576,53911419",7048
[DIVADM].[SHAPE_LENG].&[7.62542887857E3],"7625,42887857",9842
[DIVADM].[SHAPE_LENG].&[7.63682166575E3],"7636,82166575",14457
[DIVADM].[SHAPE_LENG].&[7.63792143463E3],"7637,92143463",17232
[DIVADM].[SHAPE_LENG].&[7.64145218212E3],"7641,45218212",5788
[DIVADM].[SHAPE_LENG].&[7.68809921311E3],"7688,09921311",39419
[DIVADM].[SHAPE_LENG].&[7.6909715603E3],"7690,9715603",14912
[DIVADM].[SHAPE_LENG].&[7.72881284203E3],"7728,81284203",32900
[DIVADM].[SHAPE_LENG].&[7.73666141849E3],"7736,66141849",12813
[DIVADM].[SHAPE_LENG].&[7.79885527652E3],"7798,85527652",14565
[DIVADM].[SHAPE_LENG].&[7.81519196028E3],"7815,19196028",20242
[DIVADM].[SHAPE_LENG].&[7.83603109664E3],"7836,03109664",18918
[DIVADM].[SHAPE_LENG].&[7.83772456792E3],"7837,72456792",22231
[DIVADM].[SHAPE_LENG].&[7.84315789948E3],"7843,15789948",16411
[DIVADM].[SHAPE_LENG].&[7.88443344612E3],"7884,43344612",5949
[DIVADM].[SHAPE_LENG].&[7.89109777304E3],"7891,09777304",24032
[DIVADM].[SHAPE_LENG].&[7.94058930492E3],"7940,58930492",53396
[DIVADM].[SHAPE_LENG].&[7.97461075725E3],"7974,61075725",15277
[DIVADM].[SHAPE_LENG].&[8.01827506213E3],"8018,27506213",10131
[DIVADM].[SHAPE_LENG].&[8.059591257E3],"8059,591257",29578
[DIVADM].[SHAPE_LENG].&[8.10197587767E3],"8101,97587767",78908
[DIVADM].[SHAPE_LENG].&[8.183171228E3],"8183,171228",11827
[DIVADM].[SHAPE_LENG].&[8.18728570136E3],"8187,28570136",28008
[DIVADM].[SHAPE_LENG].&[8.19035670692E3],"8190,35670692",29481
[DIVADM].[SHAPE_LENG].&[8.21220110153E3],"8212,20110153",30970
[DIVADM].[SHAPE_LENG].&[8.21493619741E3],"8214,93619741",16612
[DIVADM].[SHAPE_LENG].&[8.25526654276E3],"8255,26654276",46194
[DIVADM].[SHAPE_LENG].&[8.26230815663E3],"8262,30815663",14972
[DIVADM].[SHAPE_LENG].&[8.31162557124E3],"8311,62557124",26882
[DIVADM].[SHAPE_LENG].&[8.31194671441E3],"8311,94671441",18832
[DIVADM].[SHAPE_LENG].&[8.31665138934E3],"8316,65138934",27294
[DIVADM].[SHAPE_LENG].&[8.3315099061E3],"8331,5099061",14357
[DIVADM].[SHAPE_LENG].&[8.33926154692E3],"8339,26154692",14811
[DIVADM].[SHAPE_LENG].&[8.34297925764E3],"8342,97925764",40286
[DIVADM].[SHAPE_LENG].&[8.37191315515E3],"8371,91315515",15399
[DIVADM].[SHAPE_LENG].&[8.42794992249E3],"8427,94992249",8948
[DIVADM].[SHAPE_LENG].&[8.44553328468E3],"8445,53328468",7899
[DIVADM].[SHAPE_LENG].&[8.47782881376E3],"8477,82881376",20976
[DIVADM].[SHAPE_LENG].&[8.48935100468E3],"8489,35100468",9964
[DIVADM].[SHAPE_LENG].&[8.49931242369E3],"8499,31242369",84635
[DIVADM].[SHAPE_LENG].&[8.51765242483E3],"8517,65242483",15082
[DIVADM].[SHAPE_LENG].&[8.57425785432E3],"8574,25785432",24532
[DIVADM].[SHAPE_LENG].&[8.57756106986E3],"8577,56106986",12830
[DIVADM].[SHAPE_LENG].&[8.60140768837E3],"8601,40768837",25256
[DIVADM].[SHAPE_LENG].&[8.62849127477E3],"8628,49127477",860
[DIVADM].[SHAPE_LENG].&[8.65539664344E3],"8655,39664344",15123
[DIVADM].[SHAPE_LENG].&[8.65610254374E3],"8656,10254374",5852
[DIVADM].[SHAPE_LENG].&[8.67361626335E3],"8673,61626335",20911
[DIVADM].[SHAPE_LENG].&[8.6741797353E3],"8674,1797353",23537
[DIVADM].[SHAPE_LENG].&[8.67816644386E3],"8678,16644386",12264
[DIVADM].[SHAPE_LENG].&[8.68574731237E3],"8685,74731237",11324
[DIVADM].[SHAPE_LENG].&[8.68757291695E3],"8687,57291695",6502
[DIVADM].[SHAPE_LENG].&[8.69122582908E3],"8691,22582908",6664
[DIVADM].[SHAPE_LENG].&[8.72736232344E3],"8727,36232344",68262
[DIVADM].[SHAPE_LENG].&[8.72756746717E3],"8727,56746717",8759
[DIVADM].[SHAPE_LENG].&[8.73568101794E3],"8735,68101794",49269
[DIVADM].[SHAPE_LENG].&[8.73760979143E3],"8737,60979143",32362
[DIVADM].[SHAPE_LENG].&[8.73893911981E3],"8738,93911981",25693
[DIVADM].[SHAPE_LENG].&[8.74042356928E3],"8740,42356928",12119
[DIVADM].[SHAPE_LENG].&[8.7516808787E3],"8751,6808787",47197
[DIVADM].[SHAPE_LENG].&[8.76535467358E3],"8765,35467358",19198
[DIVADM].[SHAPE_LENG].&[8.78056394793E3],"8780,56394793",40797
[DIVADM].[SHAPE_LENG].&[8.7901072545E3],"8790,1072545",19067
[DIVADM].[SHAPE_LENG].&[8.8109738789E3],"8810,9738789",10290
[DIVADM].[SHAPE_LENG].&[8.82402755582E3],"8824,02755582",1413
[DIVADM].[SHAPE_LENG].&[8.85024334507E3],"8850,24334507",36621
[DIVADM].[SHAPE_LENG].&[8.89359208048E3],"8893,59208048",13662
[DIVADM].[SHAPE_LENG].&[8.91294992264E3],"8912,94992264",9313
[DIVADM].[SHAPE_LENG].&[8.9155873739E3],"8915,5873739",48444
[DIVADM].[SHAPE_LENG].&[8.91925671139E3],"8919,25671139",18055
[DIVADM].[SHAPE_LENG].&[8.94251806551E3],"8942,51806551",12346
[DIVADM].[SHAPE_LENG].&[8.98425001906E3],"8984,25001906",23169
[DIVADM].[SHAPE_LENG].&[9.00929057792E3],"9009,29057792",10142
[DIVADM].[SHAPE_LENG].&[9.09315270027E3],"9093,15270027",4576
[DIVADM].[SHAPE_LENG].&[9.15812972032E3],"9158,12972032",9728
[DIVADM].[SHAPE_LENG].&[9.19701940739E3],"9197,01940739",20310
[DIVADM].[SHAPE_LENG].&[9.21044486057E3],"9210,44486057",40997
[DIVADM].[SHAPE_LENG].&[9.22858744716E3],"9228,58744716",14905
[DIVADM].[SHAPE_LENG].&[9.24248078696E3],"9242,48078696",5934
[DIVADM].[SHAPE_LENG].&[9.24349294164E3],"9243,49294164",34123
[DIVADM].[SHAPE_LENG].&[9.25267055925E3],"9252,67055925",8347
[DIVADM].[SHAPE_LENG].&[9.27589012656E3],"9275,89012656",39031
[DIVADM].[SHAPE_LENG].&[9.38313598634E3],"9383,13598634",6487
[DIVADM].[SHAPE_LENG].&[9.44060357533E3],"9440,60357533",29744
[DIVADM].[SHAPE_LENG].&[9.45110505459E3],"9451,10505459",14001
[DIVADM].[SHAPE_LENG].&[9.45629880762E3],"9456,29880762",3676
[DIVADM].[SHAPE_LENG].&[9.45856742759E3],"9458,56742759",21033
[DIVADM].[SHAPE_LENG].&[9.46515689178E3],"9465,15689178",16215
[DIVADM].[SHAPE_LENG].&[9.46551173361E3],"9465,51173361",31429
[DIVADM].[SHAPE_LENG].&[9.51186918738E3],"9511,86918738",30806
[DIVADM].[SHAPE_LENG].&[9.54517135952E3],"9545,17135952",23455
[DIVADM].[SHAPE_LENG].&[9.55026681302E3],"9550,26681302",14975
[DIVADM].[SHAPE_LENG].&[9.57104535943E3],"9571,04535943",26586
[DIVADM].[SHAPE_LENG].&[9.57126530091E3],"9571,26530091",14517
[DIVADM].[SHAPE_LENG].&[9.59025922524E3],"9590,25922524",11090
[DIVADM].[SHAPE_LENG].&[9.61713491399E3],"9617,13491399",18429
[DIVADM].[SHAPE_LENG].&[9.63484166788E3],"9634,84166788",15953
[DIVADM].[SHAPE_LENG].&[9.66501840346E3],"9665,01840346",7778
[DIVADM].[SHAPE_LENG].&[9.70310317032E3],"9703,10317032",3762
[DIVADM].[SHAPE_LENG].&[9.7490567952E3],"9749,0567952",7311
[DIVADM].[SHAPE_LENG].&[9.86234088931E3],"9862,34088931",26299
[DIVADM].[SHAPE_LENG].&[9.88516335123E3],"9885,16335123",30081
[DIVADM].[SHAPE_LENG].&[9.89088691662E3],"9890,88691662",37450
[DIVADM].[SHAPE_LENG].&[9.9225383715E3],"9922,5383715",22326
[DIVADM].[SHAPE_LENG].&[1.00194749331E4],"10019,4749331",16429
[DIVADM].[SHAPE_LENG].&[1.00209915726E4],"10020,9915726",24581
[DIVADM].[SHAPE_LENG].&[1.00879236413E4],"10087,9236413",57487
[DIVADM].[SHAPE_LENG].&[1.01389438857E4],"10138,9438857",12249
[DIVADM].[SHAPE_LENG].&[1.01708703864E4],"10170,8703864",23733
[DIVADM].[SHAPE_LENG].&[1.02205205924E4],"10220,5205924",39046
[DIVADM].[SHAPE_LENG].&[1.02256008213E4],"10225,6008213",9543
[DIVADM].[SHAPE_LENG].&[1.02645288441E4],"10264,5288441",21017
[DIVADM].[SHAPE_LENG].&[1.02933555059E4],"10293,3555059",5161
[DIVADM].[SHAPE_LENG].&[1.03845747018E4],"10384,5747018",4694
[DIVADM].[SHAPE_LENG].&[1.05286241957E4],"10528,6241957",18589
[DIVADM].[SHAPE_LENG].&[1.0547605222E4],"10547,605222",18900
[DIVADM].[SHAPE_LENG].&[1.05948662762E4],"10594,8662762",18741
[DIVADM].[SHAPE_LENG].&[1.06523205108E4],"10652,3205108",5152
[DIVADM].[SHAPE_LENG].&[1.07245315407E4],"10724,5315407",27447
[DIVADM].[SHAPE_LENG].&[1.07587841564E4],"10758,7841564",22702
[DIVADM].[SHAPE_LENG].&[1.08245989049E4],"10824,5989049",12946
[DIVADM].[SHAPE_LENG].&[1.08424342759E4],"10842,4342759",26434
[DIVADM].[SHAPE_LENG].&[1.08799860573E4],"10879,9860573",66156
[DIVADM].[SHAPE_LENG].&[1.08864994121E4],"10886,4994121",6806
[DIVADM].[SHAPE_LENG].&[1.09947661601E4],"10994,7661601",37386
[DIVADM].[SHAPE_LENG].&[1.10232689438E4],"11023,2689438",7360
[DIVADM].[SHAPE_LENG].&[1.10560476276E4],"11056,0476276",19958
[DIVADM].[SHAPE_LENG].&[1.11210798714E4],"11121,0798714",4518
[DIVADM].[SHAPE_LENG].&[1.11415742442E4],"11141,5742442",7739
[DIVADM].[SHAPE_LENG].&[1.11484316712E4],"11148,4316712",27824
[DIVADM].[SHAPE_LENG].&[1.11924841443E4],"11192,4841443",33211
[DIVADM].[SHAPE_LENG].&[1.13095472009E4],"11309,5472009",11340
[DIVADM].[SHAPE_LENG].&[1.1325527596E4],"11325,527596",7471
[DIVADM].[SHAPE_LENG].&[1.13438365883E4],"11343,8365883",30694
[DIVADM].[SHAPE_LENG].&[1.13653904306E4],"11365,3904306",16604
[DIVADM].[SHAPE_LENG].&[1.14256235484E4],"11425,6235484",35739
[DIVADM].[SHAPE_LENG].&[1.14835467603E4],"11483,5467603",43091
[DIVADM].[SHAPE_LENG].&[1.15009049553E4],"11500,9049553",15563
[DIVADM].[SHAPE_LENG].&[1.15338765752E4],"11533,8765752",3809
[DIVADM].[SHAPE_LENG].&[1.15453632867E4],"11545,3632867",22057
[DIVADM].[SHAPE_LENG].&[1.15752831906E4],"11575,2831906",10761
[DIVADM].[SHAPE_LENG].&[1.16676095255E4],"11667,6095255",15219
[DIVADM].[SHAPE_LENG].&[1.16780255106E4],"11678,0255106",1863
[DIVADM].[SHAPE_LENG].&[1.17285866189E4],"11728,5866189",29017
[DIVADM].[SHAPE_LENG].&[1.1838465456E4],"11838,465456",16403
[DIVADM].[SHAPE_LENG].&[1.18566937231E4],"11856,6937231",22617
[DIVADM].[SHAPE_LENG].&[1.19760324478E4],"11976,0324478",10743
[DIVADM].[SHAPE_LENG].&[1.20569490945E4],"12056,9490945",30777
[DIVADM].[SHAPE_LENG].&[1.2150723775E4],"12150,723775",10809
[DIVADM].[SHAPE_LENG].&[1.22429204376E4],"12242,9204376",33703
[DIVADM].[SHAPE_LENG].&[1.22914405066E4],"12291,4405066",9983
[DIVADM].[SHAPE_LENG].&[1.23204217638E4],"12320,4217638",5899
[DIVADM].[SHAPE_LENG].&[1.24610535819E4],"12461,0535819",8793
[DIVADM].[SHAPE_LENG].&[1.24633189338E4],"12463,3189338",9593
[DIVADM].[SHAPE_LENG].&[1.25047052445E4],"12504,7052445",32343
