[DIVADM].[SHAPE_LENG].[SHAPE_LENG].[MEMBER_UNIQUE_NAME],[DIVADM].[SHAPE_LENG].[SHAPE_LENG].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[SHAPE_LENG].&[3.16697891877E3],"3166,97891877",19771
[DIVADM].[SHAPE_LENG].&[3.17360983199E3],"3173,60983199",2606
[DIVADM].[SHAPE_LENG].&[3.17493897872E3],"3174,93897872",24438
[DIVADM].[SHAPE_LENG].&[3.19153741422E3],"3191,53741422",11888
[DIVADM].[SHAPE_LENG].&[3.20281829252E3],"3202,81829252",8288
[DIVADM].[SHAPE_LENG].&[3.21752674996E3],"3217,52674996",34256
[DIVADM].[SHAPE_LENG].&[3.23881731399E3],"3238,81731399",18825
[DIVADM].[SHAPE_LENG].&[3.24886315965E3],"3248,86315965",28869
[DIVADM].[SHAPE_LENG].&[3.27345753017E3],"3273,45753017",18299
[DIVADM].[SHAPE_LENG].&[3.27714948942E3],"3277,14948942",11330
[DIVADM].[SHAPE_LENG].&[3.29129244736E3],"3291,29244736",23344
[DIVADM].[SHAPE_LENG].&[3.32572965414E3],"3325,72965414",21997
[DIVADM].[SHAPE_LENG].&[3.3272703478E3],"3327,2703478",36332
[DIVADM].[SHAPE_LENG].&[3.33522049728E3],"3335,22049728",13323
[DIVADM].[SHAPE_LENG].&[3.33776447915E3],"3337,76447915",47150
[DIVADM].[SHAPE_LENG].&[3.33957360637E3],"3339,57360637",22262
[DIVADM].[SHAPE_LENG].&[3.34800512121E3],"3348,00512121",27570
[DIVADM].[SHAPE_LENG].&[3.34969535767E3],"3349,69535767",26928
[DIVADM].[SHAPE_LENG].&[3.35103287696E3],"3351,03287696",9333
[DIVADM].[SHAPE_LENG].&[3.35111530831E3],"3351,11530831",22120
[DIVADM].[SHAPE_LENG].&[3.36354516739E3],"3363,54516739",23519
[DIVADM].[SHAPE_LENG].&[3.36375293742E3],"3363,75293742",11391
[DIVADM].[SHAPE_LENG].&[3.36456259559E3],"3364,56259559",24391
[DIVADM].[SHAPE_LENG].&[3.36619738397E3],"3366,19738397",33121
[DIVADM].[SHAPE_LENG].&[3.37032918861E3],"3370,32918861",18106
[DIVADM].[SHAPE_LENG].&[3.37372531587E3],"3373,72531587",31438
[DIVADM].[SHAPE_LENG].&[3.38523153568E3],"3385,23153568",16547
[DIVADM].[SHAPE_LENG].&[3.39334410398E3],"3393,34410398",23680
[DIVADM].[SHAPE_LENG].&[3.39619721081E3],"3396,19721081",4834
[DIVADM].[SHAPE_LENG].&[3.40133046277E3],"3401,33046277",9437
[DIVADM].[SHAPE_LENG].&[3.4117927871E3],"3411,7927871",9499
[DIVADM].[SHAPE_LENG].&[3.41422214791E3],"3414,22214791",32094
[DIVADM].[SHAPE_LENG].&[3.41601983378E3],"3416,01983378",31253
[DIVADM].[SHAPE_LENG].&[3.4177986341E3],"3417,7986341",18332
[DIVADM].[SHAPE_LENG].&[3.41965772544E3],"3419,65772544",14090
[DIVADM].[SHAPE_LENG].&[3.42320822097E3],"3423,20822097",13436
[DIVADM].[SHAPE_LENG].&[3.43303711874E3],"3433,03711874",58491
[DIVADM].[SHAPE_LENG].&[3.43346415252E3],"3433,46415252",16104
[DIVADM].[SHAPE_LENG].&[3.43563475379E3],"3435,63475379",7060
[DIVADM].[SHAPE_LENG].&[3.44959857052E3],"3449,59857052",11714
[DIVADM].[SHAPE_LENG].&[3.46185752458E3],"3461,85752458",4291
[DIVADM].[SHAPE_LENG].&[3.46379379575E3],"3463,79379575",17552
[DIVADM].[SHAPE_LENG].&[3.47060016783E3],"3470,60016783",17099
[DIVADM].[SHAPE_LENG].&[3.47076366264E3],"3470,76366264",11466
[DIVADM].[SHAPE_LENG].&[3.47405149724E3],"3474,05149724",24035
[DIVADM].[SHAPE_LENG].&[3.4790854095E3],"3479,0854095",37260
[DIVADM].[SHAPE_LENG].&[3.48185384401E3],"3481,85384401",5467
[DIVADM].[SHAPE_LENG].&[3.48362523487E3],"3483,62523487",11605
