[DIVPOL].[OBJECTID_12].[OBJECTID_12].[MEMBER_UNIQUE_NAME],[DIVPOL].[OBJECTID_12].[OBJECTID_12].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVPOL].[OBJECTID_12].&[1],1,120
[DIVPOL].[OBJECTID_12].&[2],2,266
[DIVPOL].[OBJECTID_12].&[3],3,6744
[DIVPOL].[OBJECTID_12].&[4],4,107
[DIVPOL].[OBJECTID_12].&[5],5,665
[DIVPOL].[OBJECTID_12].&[6],6,136
[DIVPOL].[OBJECTID_12].&[7],7,596
[DIVPOL].[OBJECTID_12].&[8],8,99
[DIVPOL].[OBJECTID_12].&[9],9,410
[DIVPOL].[OBJECTID_12].&[10],10,276
[DIVPOL].[OBJECTID_12].&[11],11,533
[DIVPOL].[OBJECTID_12].&[12],12,3261
[DIVPOL].[OBJECTID_12].&[13],13,222
[DIVPOL].[OBJECTID_12].&[14],14,1278
[DIVPOL].[OBJECTID_12].&[15],15,2092
[DIVPOL].[OBJECTID_12].&[16],16,220
[DIVPOL].[OBJECTID_12].&[17],17,240839
[DIVPOL].[OBJECTID_12].&[18],18,5820
[DIVPOL].[OBJECTID_12].&[19],19,15350
[DIVPOL].[OBJECTID_12].&[20],20,19055
[DIVPOL].[OBJECTID_12].&[21],21,12489
[DIVPOL].[OBJECTID_12].&[22],22,15328
[DIVPOL].[OBJECTID_12].&[23],23,2974
[DIVPOL].[OBJECTID_12].&[24],24,6228
[DIVPOL].[OBJECTID_12].&[25],25,33115
[DIVPOL].[OBJECTID_12].&[26],26,25046
[DIVPOL].[OBJECTID_12].&[27],27,2045
[DIVPOL].[OBJECTID_12].&[28],28,20265
[DIVPOL].[OBJECTID_12].&[29],29,276422
[DIVPOL].[OBJECTID_12].&[30],30,17438
[DIVPOL].[OBJECTID_12].&[31],31,11378
[DIVPOL].[OBJECTID_12].&[32],32,9345
[DIVPOL].[OBJECTID_12].&[33],33,127
[DIVPOL].[OBJECTID_12].&[34],34,977
[DIVPOL].[OBJECTID_12].&[35],35,38867
[DIVPOL].[OBJECTID_12].&[36],36,402
[DIVPOL].[OBJECTID_12].&[37],37,1890
[DIVPOL].[OBJECTID_12].&[38],38,454
[DIVPOL].[OBJECTID_12].&[39],39,249
[DIVPOL].[OBJECTID_12].&[40],40,839
[DIVPOL].[OBJECTID_12].&[41],41,738
[DIVPOL].[OBJECTID_12].&[42],42,2990
[DIVPOL].[OBJECTID_12].&[43],43,8498
[DIVPOL].[OBJECTID_12].&[44],44,296912
[DIVPOL].[OBJECTID_12].&[45],45,1368
[DIVPOL].[OBJECTID_12].&[46],46,1648
[DIVPOL].[OBJECTID_12].&[47],47,58981
[DIVPOL].[OBJECTID_12].&[48],48,1669
[DIVPOL].[OBJECTID_12].&[49],49,6590
[DIVPOL].[OBJECTID_12].&[50],50,1218
[DIVPOL].[OBJECTID_12].&[51],51,3747
[DIVPOL].[OBJECTID_12].&[52],52,1227
[DIVPOL].[OBJECTID_12].&[53],53,579
[DIVPOL].[OBJECTID_12].&[54],54,5571
[DIVPOL].[OBJECTID_12].&[55],55,456
[DIVPOL].[OBJECTID_12].&[56],56,1085
[DIVPOL].[OBJECTID_12].&[57],57,23846
[DIVPOL].[OBJECTID_12].&[58],58,10494
[DIVPOL].[OBJECTID_12].&[59],59,1991
[DIVPOL].[OBJECTID_12].&[60],60,993
[DIVPOL].[OBJECTID_12].&[61],61,860
[DIVPOL].[OBJECTID_12].&[62],62,185
[DIVPOL].[OBJECTID_12].&[63],63,23230
[DIVPOL].[OBJECTID_12].&[64],64,13586
[DIVPOL].[OBJECTID_12].&[65],65,3829
[DIVPOL].[OBJECTID_12].&[66],66,1969
[DIVPOL].[OBJECTID_12].&[67],67,618
[DIVPOL].[OBJECTID_12].&[68],68,651
[DIVPOL].[OBJECTID_12].&[69],69,17442
[DIVPOL].[OBJECTID_12].&[70],70,462
[DIVPOL].[OBJECTID_12].&[71],71,201
[DIVPOL].[OBJECTID_12].&[72],72,933
[DIVPOL].[OBJECTID_12].&[73],73,9223
[DIVPOL].[OBJECTID_12].&[74],74,296
[DIVPOL].[OBJECTID_12].&[75],75,661
[DIVPOL].[OBJECTID_12].&[76],76,465
[DIVPOL].[OBJECTID_12].&[77],77,354
[DIVPOL].[OBJECTID_12].&[78],78,255
[DIVPOL].[OBJECTID_12].&[79],79,691
[DIVPOL].[OBJECTID_12].&[80],80,635
[DIVPOL].[OBJECTID_12].&[81],81,9489
[DIVPOL].[OBJECTID_12].&[82],82,360
[DIVPOL].[OBJECTID_12].&[83],83,250
[DIVPOL].[OBJECTID_12].&[84],84,412
[DIVPOL].[OBJECTID_12].&[85],85,579
[DIVPOL].[OBJECTID_12].&[86],86,367
[DIVPOL].[OBJECTID_12].&[87],87,9601
[DIVPOL].[OBJECTID_12].&[88],88,478
[DIVPOL].[OBJECTID_12].&[89],89,244
[DIVPOL].[OBJECTID_12].&[90],90,332
[DIVPOL].[OBJECTID_12].&[91],91,750
[DIVPOL].[OBJECTID_12].&[92],92,389
[DIVPOL].[OBJECTID_12].&[93],93,606
[DIVPOL].[OBJECTID_12].&[94],94,404
[DIVPOL].[OBJECTID_12].&[95],95,569
[DIVPOL].[OBJECTID_12].&[96],96,1567
[DIVPOL].[OBJECTID_12].&[97],97,266
[DIVPOL].[OBJECTID_12].&[98],98,1418
[DIVPOL].[OBJECTID_12].&[99],99,117
[DIVPOL].[OBJECTID_12].&[100],100,289
[DIVPOL].[OBJECTID_12].&[101],101,423
[DIVPOL].[OBJECTID_12].&[102],102,132
[DIVPOL].[OBJECTID_12].&[103],103,861
[DIVPOL].[OBJECTID_12].&[104],104,7321
[DIVPOL].[OBJECTID_12].&[105],105,906
[DIVPOL].[OBJECTID_12].&[106],106,332
[DIVPOL].[OBJECTID_12].&[107],107,1066
[DIVPOL].[OBJECTID_12].&[108],108,10912
[DIVPOL].[OBJECTID_12].&[109],109,812
[DIVPOL].[OBJECTID_12].&[110],110,600
[DIVPOL].[OBJECTID_12].&[111],111,1925
[DIVPOL].[OBJECTID_12].&[112],112,1239
[DIVPOL].[OBJECTID_12].&[113],113,7919
[DIVPOL].[OBJECTID_12].&[114],114,192
[DIVPOL].[OBJECTID_12].&[115],115,480
[DIVPOL].[OBJECTID_12].&[116],116,1141
[DIVPOL].[OBJECTID_12].&[117],117,420
[DIVPOL].[OBJECTID_12].&[118],118,691
[DIVPOL].[OBJECTID_12].&[119],119,923
[DIVPOL].[OBJECTID_12].&[120],120,29107
[DIVPOL].[OBJECTID_12].&[121],121,1960
[DIVPOL].[OBJECTID_12].&[122],122,2793
[DIVPOL].[OBJECTID_12].&[123],123,1265
[DIVPOL].[OBJECTID_12].&[124],124,6252
[DIVPOL].[OBJECTID_12].&[125],125,9598
[DIVPOL].[OBJECTID_12].&[126],126,1701
[DIVPOL].[OBJECTID_12].&[127],127,90
[DIVPOL].[OBJECTID_12].&[128],128,143
[DIVPOL].[OBJECTID_12].&[129],129,60
[DIVPOL].[OBJECTID_12].&[130],130,217
[DIVPOL].[OBJECTID_12].&[131],131,5967
[DIVPOL].[OBJECTID_12].&[132],132,813
[DIVPOL].[OBJECTID_12].&[133],133,15584
[DIVPOL].[OBJECTID_12].&[134],134,665
[DIVPOL].[OBJECTID_12].&[135],135,1726
[DIVPOL].[OBJECTID_12].&[136],136,3377
[DIVPOL].[OBJECTID_12].&[137],137,210
[DIVPOL].[OBJECTID_12].&[138],138,3185
[DIVPOL].[OBJECTID_12].&[139],139,511
[DIVPOL].[OBJECTID_12].&[140],140,697
[DIVPOL].[OBJECTID_12].&[141],141,4326
[DIVPOL].[OBJECTID_12].&[142],142,393
[DIVPOL].[OBJECTID_12].&[143],143,1207
[DIVPOL].[OBJECTID_12].&[144],144,210
[DIVPOL].[OBJECTID_12].&[145],145,14398
[DIVPOL].[OBJECTID_12].&[146],146,4539
[DIVPOL].[OBJECTID_12].&[147],147,249
[DIVPOL].[OBJECTID_12].&[148],148,9970
[DIVPOL].[OBJECTID_12].&[149],149,1095
[DIVPOL].[OBJECTID_12].&[150],150,1057
[DIVPOL].[OBJECTID_12].&[151],151,437
[DIVPOL].[OBJECTID_12].&[152],152,1171
[DIVPOL].[OBJECTID_12].&[153],153,1763
[DIVPOL].[OBJECTID_12].&[154],154,707
[DIVPOL].[OBJECTID_12].&[155],155,2270
[DIVPOL].[OBJECTID_12].&[156],156,999
[DIVPOL].[OBJECTID_12].&[157],157,5380
[DIVPOL].[OBJECTID_12].&[158],158,389
[DIVPOL].[OBJECTID_12].&[159],159,956
[DIVPOL].[OBJECTID_12].&[160],160,443
[DIVPOL].[OBJECTID_12].&[161],161,514
[DIVPOL].[OBJECTID_12].&[162],162,900
[DIVPOL].[OBJECTID_12].&[163],163,620
[DIVPOL].[OBJECTID_12].&[164],164,752
[DIVPOL].[OBJECTID_12].&[165],165,11737
[DIVPOL].[OBJECTID_12].&[166],166,41455
[DIVPOL].[OBJECTID_12].&[167],167,2189
[DIVPOL].[OBJECTID_12].&[168],168,4932
[DIVPOL].[OBJECTID_12].&[169],169,96994
[DIVPOL].[OBJECTID_12].&[170],170,19785
[DIVPOL].[OBJECTID_12].&[171],171,21309
[DIVPOL].[OBJECTID_12].&[172],172,18749
[DIVPOL].[OBJECTID_12].&[173],173,2684
[DIVPOL].[OBJECTID_12].&[174],174,1284
[DIVPOL].[OBJECTID_12].&[175],175,2838
[DIVPOL].[OBJECTID_12].&[176],176,34067
[DIVPOL].[OBJECTID_12].&[177],177,6339
