[DIVPOL].[NOMPARROQ].[NOMPARROQ].[MEMBER_UNIQUE_NAME],[DIVPOL].[NOMPARROQ].[NOMPARROQ].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
"[DIVPOL].[NOMPARROQ].&[EL PANGUI, CABECERA CANTONAL]","EL PANGUI, CABECERA CANTONAL",12393
[DIVPOL].[NOMPARROQ].&[EL PARAÍSO],EL PARAÍSO,252
[DIVPOL].[NOMPARROQ].&[EL PARAÍSO DE CELÉN],EL PARAÍSO DE CELÉN,478
[DIVPOL].[NOMPARROQ].&[EL PIEDRERO],EL PIEDRERO,2751
[DIVPOL].[NOMPARROQ].&[EL PLAYÓN DE SAN FRANCISCO],EL PLAYÓN DE SAN FRANCISCO,64
[DIVPOL].[NOMPARROQ].&[EL PORVENIR DEL CARMEN],EL PORVENIR DEL CARMEN,253
[DIVPOL].[NOMPARROQ].&[EL PROGRESO],EL PROGRESO,1807
[DIVPOL].[NOMPARROQ].&[EL PROGRESO (CAB.EN ZHOTA)],EL PROGRESO (CAB.EN ZHOTA),598
[DIVPOL].[NOMPARROQ].&[EL QUINCHE],EL QUINCHE,26669
[DIVPOL].[NOMPARROQ].&[EL RETIRO],EL RETIRO,7949
[DIVPOL].[NOMPARROQ].&[EL REVENTADOR],EL REVENTADOR,1098
[DIVPOL].[NOMPARROQ].&[EL ROSARIO],EL ROSARIO,2178
[DIVPOL].[NOMPARROQ].&[EL ROSARIO (RUMICHACA)],EL ROSARIO (RUMICHACA),1163
"[DIVPOL].[NOMPARROQ].&[EL SALITRE (LAS RAMAS),  CABECERA CANTONAL]","EL SALITRE (LAS RAMAS),  CABECERA CANTONAL",18749
[DIVPOL].[NOMPARROQ].&[EL TABLÓN],EL TABLÓN,244
[DIVPOL].[NOMPARROQ].&[EL TAMBO],EL TAMBO,3599
"[DIVPOL].[NOMPARROQ].&[EL TAMBO, CABECERA CANTONAL]","EL TAMBO, CABECERA CANTONAL",7397
[DIVPOL].[NOMPARROQ].&[EL TRIUNFO],EL TRIUNFO,1721
"[DIVPOL].[NOMPARROQ].&[EL TRIUNFO, CABECERA CANTONAL]","EL TRIUNFO, CABECERA CANTONAL",54995
[DIVPOL].[NOMPARROQ].&[ELOY ALFARO],ELOY ALFARO,1054
"[DIVPOL].[NOMPARROQ].&[ELOY ALFARO (DURÁN), CABECERA CANTONAL]","ELOY ALFARO (DURÁN), CABECERA CANTONAL",377282
[DIVPOL].[NOMPARROQ].&[EMILIO MARÍA TERÁN (RUMIPAMBA)],EMILIO MARÍA TERÁN (RUMIPAMBA),980
[DIVPOL].[NOMPARROQ].&[ENOKANQUI],ENOKANQUI,1006
"[DIVPOL].[NOMPARROQ].&[ESMERALDAS, CABECERA CANTONAL Y CAPITAL PROVINCIAL]","ESMERALDAS, CABECERA CANTONAL Y CAPITAL PROVINCIAL",289115
[DIVPOL].[NOMPARROQ].&[EUGENIO ESPEJO (CALPAQUÍ)],EUGENIO ESPEJO (CALPAQUÍ),4084
[DIVPOL].[NOMPARROQ].&[FACUNDO VELA],FACUNDO VELA,1525
[DIVPOL].[NOMPARROQ].&[FÁTIMA],FÁTIMA,2004
[DIVPOL].[NOMPARROQ].&[FEBRES CORDERO (LAS JUNTAS)],FEBRES CORDERO (LAS JUNTAS),15350
[DIVPOL].[NOMPARROQ].&[FERNÁNDEZ SALVADOR],FERNÁNDEZ SALVADOR,397
"[DIVPOL].[NOMPARROQ].&[FLAVIO ALFARO, CABECERA CANTONAL]","FLAVIO ALFARO, CABECERA CANTONAL",8217
[DIVPOL].[NOMPARROQ].&[FLORES],FLORES,579
[DIVPOL].[NOMPARROQ].&[FUNDOCHAMBA],FUNDOCHAMBA,222
[DIVPOL].[NOMPARROQ].&[GALERA],GALERA,377
[DIVPOL].[NOMPARROQ].&[GARCÍA MORENO],GARCÍA MORENO,1045
[DIVPOL].[NOMPARROQ].&[GARCÍA MORENO  (LLURIMAGUA)],GARCÍA MORENO  (LLURIMAGUA),1074
[DIVPOL].[NOMPARROQ].&[GARCÍA MORENO (CHUMAQUI)],GARCÍA MORENO (CHUMAQUI),3645
[DIVPOL].[NOMPARROQ].&[GARZAREAL],GARZAREAL,665
"[DIVPOL].[NOMPARROQ].&[GENERAL ANTONIO ELIZALDE (BUCAY), CABECERA CANTON*]","GENERAL ANTONIO ELIZALDE (BUCAY), CABECERA CANTON*",12667
[DIVPOL].[NOMPARROQ].&[GENERAL FARFÁN],GENERAL FARFÁN,7760
"[DIVPOL].[NOMPARROQ].&[GENERAL LEONIDAS PLAZA GUTIÉRREZ (LIMÓN), CABECE]","GENERAL LEONIDAS PLAZA GUTIÉRREZ (LIMÓN), CABECE",7321
[DIVPOL].[NOMPARROQ].&[GENERAL MORALES (SOCARTE)],GENERAL MORALES (SOCARTE),543
[DIVPOL].[NOMPARROQ].&[GENERAL PEDRO J. MONTERO (BOLICHE)],GENERAL PEDRO J. MONTERO (BOLICHE),6339
[DIVPOL].[NOMPARROQ].&[GENERAL PROAÑO],GENERAL PROAÑO,5479
[DIVPOL].[NOMPARROQ].&[GENERAL VERNAZA (DOS ESTEROS)],GENERAL VERNAZA (DOS ESTEROS),2684
"[DIVPOL].[NOMPARROQ].&[GENERAL VILLAMIL (PLAYAS), CABECERA CANTONAL]","GENERAL VILLAMIL (PLAYAS), CABECERA CANTONAL",70833
[DIVPOL].[NOMPARROQ].&[GIMA],GIMA,1057
"[DIVPOL].[NOMPARROQ].&[GIRÓN, CABECERA CANTONAL]","GIRÓN, CABECERA CANTONAL",10998
[DIVPOL].[NOMPARROQ].&[GONZÁLEZ SUÁREZ],GONZÁLEZ SUÁREZ,4774
[DIVPOL].[NOMPARROQ].&[GONZALO DÍAZ DE PINEDA (EL BOMBÓN)],GONZALO DÍAZ DE PINEDA (EL BOMBÓN),2284
[DIVPOL].[NOMPARROQ].&[GONZALO PIZARRO],GONZALO PIZARRO,2497
"[DIVPOL].[NOMPARROQ].&[GONZANAMÁ, CABECERA CANTONAL]","GONZANAMÁ, CABECERA CANTONAL",3256
[DIVPOL].[NOMPARROQ].&[GONZOL],GONZOL,744
[DIVPOL].[NOMPARROQ].&[GUACHANAMÁ],GUACHANAMÁ,661
"[DIVPOL].[NOMPARROQ].&[GUACHAPALA, CABECERA CANTONAL]","GUACHAPALA, CABECERA CANTONAL",1903
[DIVPOL].[NOMPARROQ].&[GUADALUPE],GUADALUPE,1934
[DIVPOL].[NOMPARROQ].&[GUAITACAMA (GUAYTACAMA)],GUAITACAMA (GUAYTACAMA),14567
"[DIVPOL].[NOMPARROQ].&[GUALACEO, CABECERA CANTONAL]","GUALACEO, CABECERA CANTONAL",35201
"[DIVPOL].[NOMPARROQ].&[GUALAQUIZA, CABECERA CANTONAL]","GUALAQUIZA, CABECERA CANTONAL",18384
[DIVPOL].[NOMPARROQ].&[GUALE],GUALE,1227
[DIVPOL].[NOMPARROQ].&[GUALEA],GUALEA,1190
[DIVPOL].[NOMPARROQ].&[GUALEL],GUALEL,1211
[DIVPOL].[NOMPARROQ].&[GUALLETURO],GUALLETURO,959
[DIVPOL].[NOMPARROQ].&[GUAMBALÓ (HUAMBALÓ)],GUAMBALÓ (HUAMBALÓ),3503
"[DIVPOL].[NOMPARROQ].&[GUAMOTE, CABECERA CANTONAL]","GUAMOTE, CABECERA CANTONAL",10698
[DIVPOL].[NOMPARROQ].&[GUANANDO],GUANANDO,168
[DIVPOL].[NOMPARROQ].&[GUANAZÁN],GUANAZÁN,292
[DIVPOL].[NOMPARROQ].&[GUANGAJE],GUANGAJE,1091
[DIVPOL].[NOMPARROQ].&[GUANGOPOLO],GUANGOPOLO,6877
"[DIVPOL].[NOMPARROQ].&[GUANO, CABECERA CANTONAL]","GUANO, CABECERA CANTONAL",22850
[DIVPOL].[NOMPARROQ].&[GUAPÁN],GUAPÁN,4818
[DIVPOL].[NOMPARROQ].&[GUARAINAG],GUARAINAG,210
"[DIVPOL].[NOMPARROQ].&[GUARANDA, CABECERA CANTONAL Y CAPITAL PROVINCIAL]","GUARANDA, CABECERA CANTONAL Y CAPITAL PROVINCIAL",98330
[DIVPOL].[NOMPARROQ].&[GUARE],GUARE,2974
[DIVPOL].[NOMPARROQ].&[GUASAGANDA (CAB.EN GUASAGANDA CENTRO)],GUASAGANDA (CAB.EN GUASAGANDA CENTRO),2294
[DIVPOL].[NOMPARROQ].&[GUASUNTOS],GUASUNTOS,666
"[DIVPOL].[NOMPARROQ].&[GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL]","GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL",3952576
[DIVPOL].[NOMPARROQ].&[GUAYAS (PUEBLO NUEVO)],GUAYAS (PUEBLO NUEVO),8119
[DIVPOL].[NOMPARROQ].&[GUAYLLABAMBA],GUAYLLABAMBA,26488
[DIVPOL].[NOMPARROQ].&[GUAYQUICHUMA],GUAYQUICHUMA,580
"[DIVPOL].[NOMPARROQ].&[GUAYZIMI, CABECERA CANTONAL]","GUAYZIMI, CABECERA CANTONAL",3686
[DIVPOL].[NOMPARROQ].&[GUEL],GUEL,437
[DIVPOL].[NOMPARROQ].&[GUIZHAGUIÑA],GUIZHAGUIÑA,650
[DIVPOL].[NOMPARROQ].&[HATUN SUMAKU],HATUN SUMAKU,468
[DIVPOL].[NOMPARROQ].&[HONORATO VÁSQUEZ (CAB. EN VÁSQUEZ)],HONORATO VÁSQUEZ (CAB. EN VÁSQUEZ),993
[DIVPOL].[NOMPARROQ].&[HONORATO VÁSQUEZ (TAMBO VIEJO)],HONORATO VÁSQUEZ (TAMBO VIEJO),2253
"[DIVPOL].[NOMPARROQ].&[HUACA, CABECERA CANTONAL]","HUACA, CABECERA CANTONAL",9085
[DIVPOL].[NOMPARROQ].&[HUACHI GRANDE],HUACHI GRANDE,25094
[DIVPOL].[NOMPARROQ].&[HUAMBI],HUAMBI,2793
"[DIVPOL].[NOMPARROQ].&[HUAMBOYA, CABECERA CANTONAL]","HUAMBOYA, CABECERA CANTONAL",6252
"[DIVPOL].[NOMPARROQ].&[HUAQUILLAS, CABECERA CANTONAL]","HUAQUILLAS, CABECERA CANTONAL",80960
[DIVPOL].[NOMPARROQ].&[HUASAGA (CAB. EN WAMPUIK)],HUASAGA (CAB. EN WAMPUIK),34
[DIVPOL].[NOMPARROQ].&[HUERTAS],HUERTAS,1404
[DIVPOL].[NOMPARROQ].&[HUIGRA],HUIGRA,1315
[DIVPOL].[NOMPARROQ].&[ILAPO],ILAPO,512
[DIVPOL].[NOMPARROQ].&[IMANTAG],IMANTAG,2597
[DIVPOL].[NOMPARROQ].&[IMBANA (LA VICTORIA DE IMBANA)],IMBANA (LA VICTORIA DE IMBANA),184
[DIVPOL].[NOMPARROQ].&[IMBAYA (SAN LUIS DE COBUENDO)],IMBAYA (SAN LUIS DE COBUENDO),2104
[DIVPOL].[NOMPARROQ].&[INDANZA],INDANZA,906
[DIVPOL].[NOMPARROQ].&[INÉS ARANGO (CAB. EN WESTERN)],INÉS ARANGO (CAB. EN WESTERN),363
[DIVPOL].[NOMPARROQ].&[INGAPIRCA],INGAPIRCA,1975
"[DIVPOL].[NOMPARROQ].&[ISIDRO AYORA, CABECERA CANTONAL]","ISIDRO AYORA, CABECERA CANTONAL",10928
[DIVPOL].[NOMPARROQ].&[ISINLIVÍ],ISINLIVÍ,498
[DIVPOL].[NOMPARROQ].&[ISLA DE BEJUCAL],ISLA DE BEJUCAL,6228
[DIVPOL].[NOMPARROQ].&[ISLA SANTA MARÍA (FLOREANA) (CAB. EN  PTO. VELASC],ISLA SANTA MARÍA (FLOREANA) (CAB. EN  PTO. VELASC,17
[DIVPOL].[NOMPARROQ].&[IZAMBA],IZAMBA,28007
[DIVPOL].[NOMPARROQ].&[JADÁN],JADÁN,1411
"[DIVPOL].[NOMPARROQ].&[JAMA, CABECERA CANTONAL]","JAMA, CABECERA CANTONAL",6591
[DIVPOL].[NOMPARROQ].&[JAMBELÍ],JAMBELÍ,3730
"[DIVPOL].[NOMPARROQ].&[JARAMIJÓ, CABECERA CANTONAL]","JARAMIJÓ, CABECERA CANTONAL",21233
[DIVPOL].[NOMPARROQ].&[JAVIER LOYOLA (CHUQUIPATA)],JAVIER LOYOLA (CHUQUIPATA),10018
[DIVPOL].[NOMPARROQ].&[JERUSALÉN],JERUSALÉN,475
[DIVPOL].[NOMPARROQ].&[JESÚS MARÍA],JESÚS MARÍA,6528
[DIVPOL].[NOMPARROQ].&[JIJÓN Y CAAMAÑO (CAB. EN RÍO BLANCO)],JIJÓN Y CAAMAÑO (CAB. EN RÍO BLANCO),529
[DIVPOL].[NOMPARROQ].&[JIMBILLA],JIMBILLA,326
[DIVPOL].[NOMPARROQ].&[JIMBURA],JIMBURA,743
"[DIVPOL].[NOMPARROQ].&[JIPIJAPA, CABECERA CANTONAL]","JIPIJAPA, CABECERA CANTONAL",38867
[DIVPOL].[NOMPARROQ].&[JOSÉ LUIS TAMAYO (MUEY)],JOSÉ LUIS TAMAYO (MUEY),23338
[DIVPOL].[NOMPARROQ].&[JOSEGUANGO BAJO],JOSEGUANGO BAJO,1880
[DIVPOL].[NOMPARROQ].&[JUAN BAUTISTA AGUIRRE (LOS TINTOS)],JUAN BAUTISTA AGUIRRE (LOS TINTOS),4573
[DIVPOL].[NOMPARROQ].&[JUAN BENIGNO VELA],JUAN BENIGNO VELA,4164
[DIVPOL].[NOMPARROQ].&[JUAN DE VELASCO (PANGOR)],JUAN DE VELASCO (PANGOR),820
[DIVPOL].[NOMPARROQ].&[JUAN GÓMEZ RENDÓN (PROGRESO)],JUAN GÓMEZ RENDÓN (PROGRESO),17813
[DIVPOL].[NOMPARROQ].&[JUAN MONTALVO (SAN IGNACIO DE QUIL)],JUAN MONTALVO (SAN IGNACIO DE QUIL),317
[DIVPOL].[NOMPARROQ].&[JULCUY],JULCUY,454
[DIVPOL].[NOMPARROQ].&[JULIO ANDRADE (OREJUELA)],JULIO ANDRADE (OREJUELA),14431
[DIVPOL].[NOMPARROQ].&[JULIO E. MORENO (CATANAHUÁN GRANDE)],JULIO E. MORENO (CATANAHUÁN GRANDE),2116
[DIVPOL].[NOMPARROQ].&[JUNCAL],JUNCAL,699
"[DIVPOL].[NOMPARROQ].&[JUNÍN, CABECERA CANTONAL]","JUNÍN, CABECERA CANTONAL",8498
[DIVPOL].[NOMPARROQ].&[JUNQUILLAL],JUNQUILLAL,2838
[DIVPOL].[NOMPARROQ].&[LA AVANZADA],LA AVANZADA,3248
[DIVPOL].[NOMPARROQ].&[LA BELLEZA],LA BELLEZA,1439
[DIVPOL].[NOMPARROQ].&[LA BOCANA],LA BOCANA,331
"[DIVPOL].[NOMPARROQ].&[LA BONITA, CABECERA CANTONAL]","LA BONITA, CABECERA CANTONAL",381
[DIVPOL].[NOMPARROQ].&[LA CANDELARIA],LA CANDELARIA,125
[DIVPOL].[NOMPARROQ].&[LA CANELA],LA CANELA,92
[DIVPOL].[NOMPARROQ].&[LA CHONTA],LA CHONTA,120
[DIVPOL].[NOMPARROQ].&[LA CONCORDIA],LA CONCORDIA,62472
[DIVPOL].[NOMPARROQ].&[LA ESMERALDA],LA ESMERALDA,3118
[DIVPOL].[NOMPARROQ].&[LA ESPERANZA],LA ESPERANZA,22360
[DIVPOL].[NOMPARROQ].&[LA IBERIA],LA IBERIA,5614
"[DIVPOL].[NOMPARROQ].&[LA JOYA DE LOS SACHAS, CABECERA CANTONAL]","LA JOYA DE LOS SACHAS, CABECERA CANTONAL",22289
[DIVPOL].[NOMPARROQ].&[LA LIBERTAD],LA LIBERTAD,143
[DIVPOL].[NOMPARROQ].&[LA LIBERTAD (ALIZO)],LA LIBERTAD (ALIZO),1665
"[DIVPOL].[NOMPARROQ].&[LA LIBERTAD, CABECERA CANTONAL]","LA LIBERTAD, CABECERA CANTONAL",118755
"[DIVPOL].[NOMPARROQ].&[LA MANÁ, CABECERA CANTONAL]","LA MANÁ, CABECERA CANTONAL",50996
[DIVPOL].[NOMPARROQ].&[LA MERCED],LA MERCED,8044
[DIVPOL].[NOMPARROQ].&[LA MERCED DE BUENOS AIRES],LA MERCED DE BUENOS AIRES,478
[DIVPOL].[NOMPARROQ].&[LA PAZ],LA PAZ,5349
[DIVPOL].[NOMPARROQ].&[LA PEAÑA],LA PEAÑA,5697
[DIVPOL].[NOMPARROQ].&[LA PILA],LA PILA,1669
[DIVPOL].[NOMPARROQ].&[LA PROVIDENCIA],LA PROVIDENCIA,238
[DIVPOL].[NOMPARROQ].&[LA SOFÍA],LA SOFÍA,472
[DIVPOL].[NOMPARROQ].&[LA TINGUE],LA TINGUE,220
[DIVPOL].[NOMPARROQ].&[LA TOLA],LA TOLA,2278
"[DIVPOL].[NOMPARROQ].&[LA TRONCAL, CABECERA CANTONAL]","LA TRONCAL, CABECERA CANTONAL",69222
[DIVPOL].[NOMPARROQ].&[LA UNIÓN],LA UNIÓN,37494
[DIVPOL].[NOMPARROQ].&[LA VICTORIA],LA VICTORIA,2350
[DIVPOL].[NOMPARROQ].&[LA VICTORIA (ÑAUZA)],LA VICTORIA (ÑAUZA),1284
"[DIVPOL].[NOMPARROQ].&[LA VICTORIA, CABECERA CANTONAL]","LA VICTORIA, CABECERA CANTONAL",1728
[DIVPOL].[NOMPARROQ].&[LAGARTO],LAGARTO,2636
[DIVPOL].[NOMPARROQ].&[LAGO SAN PEDRO],LAGO SAN PEDRO,8430
[DIVPOL].[NOMPARROQ].&[LARAMA],LARAMA,462
[DIVPOL].[NOMPARROQ].&[LAS GOLONDRINAS],LAS GOLONDRINAS,2533
"[DIVPOL].[NOMPARROQ].&[LAS NAVES, CABECERA CANTONAL]","LAS NAVES, CABECERA CANTONAL",12413
[DIVPOL].[NOMPARROQ].&[LAS NIEVES (CHAYA)],LAS NIEVES (CHAYA),813
[DIVPOL].[NOMPARROQ].&[LAS PAMPAS],LAS PAMPAS,593
[DIVPOL].[NOMPARROQ].&[LAS VILLEGAS],LAS VILLEGAS,3840
[DIVPOL].[NOMPARROQ].&[LASCANO],LASCANO,579
"[DIVPOL].[NOMPARROQ].&[LATACUNGA, CABECERA CANTONAL Y CAPITAL PROVINCIAL]","LATACUNGA, CABECERA CANTONAL Y CAPITAL PROVINCIAL",208729
[DIVPOL].[NOMPARROQ].&[LAUREL],LAUREL,6811
[DIVPOL].[NOMPARROQ].&[LAURO GUERRERO],LAURO GUERRERO,465
[DIVPOL].[NOMPARROQ].&[LICÁN],LICÁN,12257
[DIVPOL].[NOMPARROQ].&[LICTO],LICTO,2819
[DIVPOL].[NOMPARROQ].&[LIMONAL],LIMONAL,7647
[DIVPOL].[NOMPARROQ].&[LIMONCOCHA],LIMONCOCHA,4449
[DIVPOL].[NOMPARROQ].&[LIMONES],LIMONES,136
[DIVPOL].[NOMPARROQ].&[LINARES],LINARES,74
[DIVPOL].[NOMPARROQ].&[LITA],LITA,4252
[DIVPOL].[NOMPARROQ].&[LLACAO],LLACAO,5992
[DIVPOL].[NOMPARROQ].&[LLAGOS],LLAGOS,954
[DIVPOL].[NOMPARROQ].&[LLANO CHICO],LLANO CHICO,22218
[DIVPOL].[NOMPARROQ].&[LLIGUA],LLIGUA,365
[DIVPOL].[NOMPARROQ].&[LLOA],LLOA,6010
[DIVPOL].[NOMPARROQ].&[LLUZHAPA],LLUZHAPA,332
"[DIVPOL].[NOMPARROQ].&[LOGROÑO, CABECERA CANTONAL]","LOGROÑO, CABECERA CANTONAL",4154
"[DIVPOL].[NOMPARROQ].&[LOJA, CABECERA CANTONAL Y CAPITAL PROVINCIAL]","LOJA, CABECERA CANTONAL Y CAPITAL PROVINCIAL",418303
"[DIVPOL].[NOMPARROQ].&[LOMAS DE SARGENTILLO, CABECERA CANTONAL]","LOMAS DE SARGENTILLO, CABECERA CANTONAL",18275
"[DIVPOL].[NOMPARROQ].&[LORETO, CABECERA CANTONAL]","LORETO, CABECERA CANTONAL",7615
[DIVPOL].[NOMPARROQ].&[LOS ANDES],LOS ANDES,4177
[DIVPOL].[NOMPARROQ].&[LOS ANDES (CAB. EN POATUG)],LOS ANDES (CAB. EN POATUG),727
[DIVPOL].[NOMPARROQ].&[LOS ÁNGELES],LOS ÁNGELES,1656
[DIVPOL].[NOMPARROQ].&[LOS ENCUENTROS],LOS ENCUENTROS,3970
[DIVPOL].[NOMPARROQ].&[LOS LOJAS (ENRIQUE BAQUERIZO MORENO)],LOS LOJAS (ENRIQUE BAQUERIZO MORENO),11412
[DIVPOL].[NOMPARROQ].&[LUDO],LUDO,1171
[DIVPOL].[NOMPARROQ].&[LUIS CORDERO],LUIS CORDERO,2472
[DIVPOL].[NOMPARROQ].&[LUIS CORDERO VEGA],LUIS CORDERO VEGA,1324
[DIVPOL].[NOMPARROQ].&[LUIS GALARZA ORELLANA (CAB.EN DELEGSOL)],LUIS GALARZA ORELLANA (CAB.EN DELEGSOL),443
[DIVPOL].[NOMPARROQ].&[LUIS VARGAS TORRES (CAB. EN PLAYA DE ORO)],LUIS VARGAS TORRES (CAB. EN PLAYA DE ORO),23
"[DIVPOL].[NOMPARROQ].&[LUMBAQUÍ, CABECERA CANTONAL]","LUMBAQUÍ, CABECERA CANTONAL",10972
[DIVPOL].[NOMPARROQ].&[LUZ DE AMÉRICA],LUZ DE AMÉRICA,13995
"[DIVPOL].[NOMPARROQ].&[MACARÁ, CABECERA CANTONAL]","MACARÁ, CABECERA CANTONAL",17442
"[DIVPOL].[NOMPARROQ].&[MACAS, CABECERA CANTONAL Y CAPITAL PROVINCIAL]","MACAS, CABECERA CANTONAL Y CAPITAL PROVINCIAL",107335
"[DIVPOL].[NOMPARROQ].&[MACHACHI, CABECERA CANTONAL]","MACHACHI, CABECERA CANTONAL",75523
"[DIVPOL].[NOMPARROQ].&[MACHALA, CABECERA CANTONAL Y CAPITAL PROVINCIAL]","MACHALA, CABECERA CANTONAL Y CAPITAL PROVINCIAL",504339
[DIVPOL].[NOMPARROQ].&[MACHALILLA],MACHALILLA,2353
[DIVPOL].[NOMPARROQ].&[MACUMA],MACUMA,1237
[DIVPOL].[NOMPARROQ].&[MADRE TIERRA],MADRE TIERRA,2687
[DIVPOL].[NOMPARROQ].&[MAGDALENA (CHAPACOTO)],MAGDALENA (CHAPACOTO),1662
[DIVPOL].[NOMPARROQ].&[MAJUA],MAJUA,1165
[DIVPOL].[NOMPARROQ].&[MALACATOS (VALLADOLID)],MALACATOS (VALLADOLID),11057
[DIVPOL].[NOMPARROQ].&[MALCHINGUÍ],MALCHINGUÍ,4487
[DIVPOL].[NOMPARROQ].&[MALDONADO],MALDONADO,4032
[DIVPOL].[NOMPARROQ].&[MALIMPIA],MALIMPIA,2343
[DIVPOL].[NOMPARROQ].&[MALVAS],MALVAS,1569
[DIVPOL].[NOMPARROQ].&[MANGA DEL CURA],MANGA DEL CURA,2369
[DIVPOL].[NOMPARROQ].&[MANGAHURCO],MANGAHURCO,107
[DIVPOL].[NOMPARROQ].&[MANGLARALTO],MANGLARALTO,28056
"[DIVPOL].[NOMPARROQ].&[MANTA, CABECERA CANTONAL]","MANTA, CABECERA CANTONAL",296912
[DIVPOL].[NOMPARROQ].&[MANÚ],MANÚ,750
[DIVPOL].[NOMPARROQ].&[MANUEL CORNEJO ASTORGA (TANDAPI)],MANUEL CORNEJO ASTORGA (TANDAPI),13505
[DIVPOL].[NOMPARROQ].&[MANUEL J. CALLE],MANUEL J. CALLE,2758
"[DIVPOL].[NOMPARROQ].&[MARCABELÍ, CABECERA CANTONAL]","MARCABELÍ, CABECERA CANTONAL",6424
[DIVPOL].[NOMPARROQ].&[MARCOS ESPINEL (CHACATA)],MARCOS ESPINEL (CHACATA),587
[DIVPOL].[NOMPARROQ].&[MARIANO ACOSTA],MARIANO ACOSTA,172
[DIVPOL].[NOMPARROQ].&[MARIANO MORENO],MARIANO MORENO,1549
[DIVPOL].[NOMPARROQ].&[MARISCAL SUCRE],MARISCAL SUCRE,1164
[DIVPOL].[NOMPARROQ].&[MARISCAL SUCRE (HUAQUES)],MARISCAL SUCRE (HUAQUES),5862
[DIVPOL].[NOMPARROQ].&[MATAJE (CAB. EN SANTANDER)],MATAJE (CAB. EN SANTANDER),289
[DIVPOL].[NOMPARROQ].&[MATUS],MATUS,732
[DIVPOL].[NOMPARROQ].&[MEMBRILLAL],MEMBRILLAL,839
[DIVPOL].[NOMPARROQ].&[MEMBRILLO],MEMBRILLO,337
"[DIVPOL].[NOMPARROQ].&[MERA, CABECERA CANTONAL]","MERA, CABECERA CANTONAL",4309
[DIVPOL].[NOMPARROQ].&[MERCADILLO],MERCADILLO,579
[DIVPOL].[NOMPARROQ].&[MILAGRO],MILAGRO,133
"[DIVPOL].[NOMPARROQ].&[MILAGRO, CABECERA CANTONAL]","MILAGRO, CABECERA CANTONAL",217135
[DIVPOL].[NOMPARROQ].&[MILAGROS],MILAGROS,410
[DIVPOL].[NOMPARROQ].&[MINDO],MINDO,4923
"[DIVPOL].[NOMPARROQ].&[MIRA (CHONTAHUASI), CABECERA CANTONAL]","MIRA (CHONTAHUASI), CABECERA CANTONAL",7807
"[DIVPOL].[NOMPARROQ].&[MOCACHE, CABECERA CANTONAL]","MOCACHE, CABECERA CANTONAL",30454
"[DIVPOL].[NOMPARROQ].&[MOCHA, CABECERA CANTONAL]","MOCHA, CABECERA CANTONAL",7249
[DIVPOL].[NOMPARROQ].&[MOLLETURO],MOLLETURO,6146
[DIVPOL].[NOMPARROQ].&[MONTALVO],MONTALVO,4390
[DIVPOL].[NOMPARROQ].&[MONTALVO (ANDOAS)],MONTALVO (ANDOAS),1214
[DIVPOL].[NOMPARROQ].&[MONTALVO (CAB. EN HORQUETA)],MONTALVO (CAB. EN HORQUETA),1818
"[DIVPOL].[NOMPARROQ].&[MONTALVO, CABECERA CANTONAL]","MONTALVO, CABECERA CANTONAL",33115
[DIVPOL].[NOMPARROQ].&[MONTE OLIVO],MONTE OLIVO,564
"[DIVPOL].[NOMPARROQ].&[MONTECRISTI, CABECERA CANTONAL]","MONTECRISTI, CABECERA CANTONAL",58981
[DIVPOL].[NOMPARROQ].&[MONTERREY],MONTERREY,5674
[DIVPOL].[NOMPARROQ].&[MORALES],MORALES,221
[DIVPOL].[NOMPARROQ].&[MORASPUNGO],MORASPUNGO,6246
[DIVPOL].[NOMPARROQ].&[MOROMORO (CAB. EN EL VADO)],MOROMORO (CAB. EN EL VADO),1067
[DIVPOL].[NOMPARROQ].&[MORRO],MORRO,5153
"[DIVPOL].[NOMPARROQ].&[MUISNE, CABECERA CANTONAL]","MUISNE, CABECERA CANTONAL",14072
[DIVPOL].[NOMPARROQ].&[MULALILLO],MULALILLO,3770
[DIVPOL].[NOMPARROQ].&[MULALÓ],MULALÓ,9513
[DIVPOL].[NOMPARROQ].&[MULLIQUINDIL (SANTA ANA)],MULLIQUINDIL (SANTA ANA),2264
[DIVPOL].[NOMPARROQ].&[MULTITUD],MULTITUD,889
[DIVPOL].[NOMPARROQ].&[MULUNCAY GRANDE],MULUNCAY GRANDE,545
"[DIVPOL].[NOMPARROQ].&[NABÓN, CABECERA CANTONAL]","NABÓN, CABECERA CANTONAL",7098
[DIVPOL].[NOMPARROQ].&[NAMBACOLA],NAMBACOLA,1969
[DIVPOL].[NOMPARROQ].&[NANEGAL],NANEGAL,1374
[DIVPOL].[NOMPARROQ].&[NANEGALITO],NANEGALITO,8135
"[DIVPOL].[NOMPARROQ].&[NARANJAL, CABECERA CANTONAL]","NARANJAL, CABECERA CANTONAL",65999
"[DIVPOL].[NOMPARROQ].&[NARANJITO, CABECERA CANTONAL]","NARANJITO, CABECERA CANTONAL",46750
