[DIVADM].[OBJECTID_1].[OBJECTID_1].[MEMBER_UNIQUE_NAME],[DIVADM].[OBJECTID_1].[OBJECTID_1].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[OBJECTID_1].&[120],120,370
[DIVADM].[OBJECTID_1].&[121],121,9522
[DIVADM].[OBJECTID_1].&[122],122,4341
[DIVADM].[OBJECTID_1].&[123],123,360
[DIVADM].[OBJECTID_1].&[124],124,561
[DIVADM].[OBJECTID_1].&[125],125,4315
[DIVADM].[OBJECTID_1].&[126],126,6283
[DIVADM].[OBJECTID_1].&[127],127,13711
[DIVADM].[OBJECTID_1].&[128],128,19771
[DIVADM].[OBJECTID_1].&[129],129,10974
[DIVADM].[OBJECTID_1].&[130],130,2376
[DIVADM].[OBJECTID_1].&[131],131,13609
[DIVADM].[OBJECTID_1].&[132],132,578
[DIVADM].[OBJECTID_1].&[133],133,641
[DIVADM].[OBJECTID_1].&[134],134,17780
[DIVADM].[OBJECTID_1].&[135],135,20849
[DIVADM].[OBJECTID_1].&[136],136,9687
[DIVADM].[OBJECTID_1].&[137],137,289
[DIVADM].[OBJECTID_1].&[138],138,175
[DIVADM].[OBJECTID_1].&[139],139,1818
[DIVADM].[OBJECTID_1].&[140],140,10538
[DIVADM].[OBJECTID_1].&[141],141,10178
[DIVADM].[OBJECTID_1].&[142],142,2205
[DIVADM].[OBJECTID_1].&[143],143,5228
[DIVADM].[OBJECTID_1].&[144],144,7760
[DIVADM].[OBJECTID_1].&[145],145,4792
[DIVADM].[OBJECTID_1].&[146],146,24
[DIVADM].[OBJECTID_1].&[147],147,881
[DIVADM].[OBJECTID_1].&[148],148,396
[DIVADM].[OBJECTID_1].&[149],149,2990
[DIVADM].[OBJECTID_1].&[150],150,11728
[DIVADM].[OBJECTID_1].&[151],151,17508
[DIVADM].[OBJECTID_1].&[152],152,4743
[DIVADM].[OBJECTID_1].&[153],153,42404
[DIVADM].[OBJECTID_1].&[154],154,24918
[DIVADM].[OBJECTID_1].&[155],155,6961
[DIVADM].[OBJECTID_1].&[156],156,302
[DIVADM].[OBJECTID_1].&[157],157,2759
[DIVADM].[OBJECTID_1].&[158],158,12368
[DIVADM].[OBJECTID_1].&[159],159,3034
[DIVADM].[OBJECTID_1].&[160],160,3636
[DIVADM].[OBJECTID_1].&[161],161,4475
[DIVADM].[OBJECTID_1].&[162],162,4309
[DIVADM].[OBJECTID_1].&[163],163,5075
[DIVADM].[OBJECTID_1].&[164],164,7529
[DIVADM].[OBJECTID_1].&[165],165,4804
[DIVADM].[OBJECTID_1].&[166],166,3573
[DIVADM].[OBJECTID_1].&[167],167,21228
[DIVADM].[OBJECTID_1].&[168],168,7579
[DIVADM].[OBJECTID_1].&[169],169,6251
[DIVADM].[OBJECTID_1].&[170],170,5202
[DIVADM].[OBJECTID_1].&[171],171,10094
[DIVADM].[OBJECTID_1].&[172],172,21622
[DIVADM].[OBJECTID_1].&[173],173,15773
[DIVADM].[OBJECTID_1].&[174],174,8676
[DIVADM].[OBJECTID_1].&[175],175,814
[DIVADM].[OBJECTID_1].&[176],176,796
[DIVADM].[OBJECTID_1].&[177],177,11148
[DIVADM].[OBJECTID_1].&[178],178,233
[DIVADM].[OBJECTID_1].&[179],179,4646
[DIVADM].[OBJECTID_1].&[180],180,2189
[DIVADM].[OBJECTID_1].&[181],181,973
[DIVADM].[OBJECTID_1].&[182],182,1488
[DIVADM].[OBJECTID_1].&[183],183,2654
[DIVADM].[OBJECTID_1].&[184],184,5465
[DIVADM].[OBJECTID_1].&[185],185,19393
[DIVADM].[OBJECTID_1].&[186],186,16463
[DIVADM].[OBJECTID_1].&[187],187,14756
[DIVADM].[OBJECTID_1].&[188],188,10672
[DIVADM].[OBJECTID_1].&[189],189,20018
[DIVADM].[OBJECTID_1].&[190],190,12667
[DIVADM].[OBJECTID_1].&[191],191,5032
[DIVADM].[OBJECTID_1].&[192],192,4984
[DIVADM].[OBJECTID_1].&[193],193,6485
[DIVADM].[OBJECTID_1].&[194],194,22097
[DIVADM].[OBJECTID_1].&[195],195,10928
[DIVADM].[OBJECTID_1].&[196],196,32900
[DIVADM].[OBJECTID_1].&[197],197,4677
[DIVADM].[OBJECTID_1].&[198],198,14359
[DIVADM].[OBJECTID_1].&[199],199,16104
[DIVADM].[OBJECTID_1].&[200],200,5906
[DIVADM].[OBJECTID_1].&[201],201,20473
[DIVADM].[OBJECTID_1].&[202],202,11872
[DIVADM].[OBJECTID_1].&[203],203,7682
[DIVADM].[OBJECTID_1].&[204],204,5862
[DIVADM].[OBJECTID_1].&[205],205,6355
[DIVADM].[OBJECTID_1].&[206],206,3468
[DIVADM].[OBJECTID_1].&[207],207,19030
[DIVADM].[OBJECTID_1].&[208],208,9159
[DIVADM].[OBJECTID_1].&[209],209,2010
[DIVADM].[OBJECTID_1].&[210],210,39816
[DIVADM].[OBJECTID_1].&[211],211,23002
