[DIVPOL].[OBJECTID_1].[OBJECTID_1].[MEMBER_UNIQUE_NAME],[DIVPOL].[OBJECTID_1].[OBJECTID_1].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVPOL].[OBJECTID_1].&[116],116,103
[DIVPOL].[OBJECTID_1].&[117],117,112
[DIVPOL].[OBJECTID_1].&[118],118,1461
[DIVPOL].[OBJECTID_1].&[119],119,3016
[DIVPOL].[OBJECTID_1].&[120],120,10426
[DIVPOL].[OBJECTID_1].&[121],121,130
[DIVPOL].[OBJECTID_1].&[122],122,2201
[DIVPOL].[OBJECTID_1].&[123],123,820
[DIVPOL].[OBJECTID_1].&[124],124,1424
[DIVPOL].[OBJECTID_1].&[125],125,9743
[DIVPOL].[OBJECTID_1].&[126],126,7849
[DIVPOL].[OBJECTID_1].&[127],127,567
[DIVPOL].[OBJECTID_1].&[128],128,251
[DIVPOL].[OBJECTID_1].&[129],129,744
[DIVPOL].[OBJECTID_1].&[130],130,954
[DIVPOL].[OBJECTID_1].&[131],131,10698
[DIVPOL].[OBJECTID_1].&[132],132,2864
[DIVPOL].[OBJECTID_1].&[133],133,2920
[DIVPOL].[OBJECTID_1].&[134],134,168
[DIVPOL].[OBJECTID_1].&[135],135,512
[DIVPOL].[OBJECTID_1].&[136],136,238
[DIVPOL].[OBJECTID_1].&[137],137,11090
[DIVPOL].[OBJECTID_1].&[138],138,1929
[DIVPOL].[OBJECTID_1].&[139],139,2229
[DIVPOL].[OBJECTID_1].&[140],140,345
[DIVPOL].[OBJECTID_1].&[141],141,311
[DIVPOL].[OBJECTID_1].&[142],142,93
[DIVPOL].[OBJECTID_1].&[143],143,11062
[DIVPOL].[OBJECTID_1].&[144],144,3105
[DIVPOL].[OBJECTID_1].&[145],145,582
[DIVPOL].[OBJECTID_1].&[146],146,732
[DIVPOL].[OBJECTID_1].&[147],147,375
[DIVPOL].[OBJECTID_1].&[148],148,1002
[DIVPOL].[OBJECTID_1].&[149],149,125
[DIVPOL].[OBJECTID_1].&[150],150,221
[DIVPOL].[OBJECTID_1].&[151],151,14362
[DIVPOL].[OBJECTID_1].&[152],152,289115
[DIVPOL].[OBJECTID_1].&[153],153,2374
