[DIVADM].[AREAKM].[AREAKM].[MEMBER_UNIQUE_NAME],[DIVADM].[AREAKM].[AREAKM].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[AREAKM].&[4.9535301E-1],"0,49535301",8288
[DIVADM].[AREAKM].&[4.9550101E-1],"0,49550101",15217
[DIVADM].[AREAKM].&[4.9787501E-1],"0,49787501",7046
[DIVADM].[AREAKM].&[5.0011599E-1],"0,50011599",12932
[DIVADM].[AREAKM].&[5.0266302E-1],"0,50266302",6454
[DIVADM].[AREAKM].&[5.0296199E-1],"0,50296199",17762
[DIVADM].[AREAKM].&[5.0395101E-1],"0,50395101",20742
[DIVADM].[AREAKM].&[5.0480902E-1],"0,50480902",18825
[DIVADM].[AREAKM].&[5.06037E-1],"0,506037",5828
[DIVADM].[AREAKM].&[5.0911099E-1],"0,50911099",9333
[DIVADM].[AREAKM].&[5.0949502E-1],"0,50949502",7098
[DIVADM].[AREAKM].&[5.1181102E-1],"0,51181102",9058
[DIVADM].[AREAKM].&[5.1223803E-1],"0,51223803",17359
[DIVADM].[AREAKM].&[5.1252002E-1],"0,51252002",23920
[DIVADM].[AREAKM].&[5.1695299E-1],"0,51695299",17031
[DIVADM].[AREAKM].&[5.1747203E-1],"0,51747203",31897
[DIVADM].[AREAKM].&[5.1826203E-1],"0,51826203",32340
[DIVADM].[AREAKM].&[5.1871198E-1],"0,51871198",7642
[DIVADM].[AREAKM].&[5.1936501E-1],"0,51936501",4291
[DIVADM].[AREAKM].&[5.2120298E-1],"0,52120298",6049
[DIVADM].[AREAKM].&[5.2374101E-1],"0,52374101",17099
[DIVADM].[AREAKM].&[5.25693E-1],"0,525693",17552
[DIVADM].[AREAKM].&[5.2766699E-1],"0,52766699",11471
[DIVADM].[AREAKM].&[5.2792901E-1],"0,52792901",15622
[DIVADM].[AREAKM].&[5.2832699E-1],"0,52832699",10217
[DIVADM].[AREAKM].&[5.32507E-1],"0,532507",15800
[DIVADM].[AREAKM].&[5.3264701E-1],"0,53264701",17900
[DIVADM].[AREAKM].&[5.34675E-1],"0,534675",27570
[DIVADM].[AREAKM].&[5.3767002E-1],"0,53767002",26928
[DIVADM].[AREAKM].&[5.4236299E-1],"0,54236299",20264
[DIVADM].[AREAKM].&[5.4868901E-1],"0,54868901",28512
[DIVADM].[AREAKM].&[5.4878402E-1],"0,54878402",6355
[DIVADM].[AREAKM].&[5.5162799E-1],"0,55162799",22262
[DIVADM].[AREAKM].&[5.51714E-1],"0,551714",17537
[DIVADM].[AREAKM].&[5.5313498E-1],"0,55313498",11466
[DIVADM].[AREAKM].&[5.5344999E-1],"0,55344999",16104
[DIVADM].[AREAKM].&[5.5434299E-1],"0,55434299",14090
[DIVADM].[AREAKM].&[5.5730999E-1],"0,55730999",23519
[DIVADM].[AREAKM].&[5.59515E-1],"0,559515",11391
[DIVADM].[AREAKM].&[5.6299198E-1],"0,56299198",50499
[DIVADM].[AREAKM].&[5.6324899E-1],"0,56324899",49123
[DIVADM].[AREAKM].&[5.6394202E-1],"0,56394202",11605
[DIVADM].[AREAKM].&[5.6934202E-1],"0,56934202",16308
[DIVADM].[AREAKM].&[5.7052797E-1],"0,57052797",6882
[DIVADM].[AREAKM].&[5.72079E-1],"0,572079",12438
[DIVADM].[AREAKM].&[5.7434601E-1],"0,57434601",26232
[DIVADM].[AREAKM].&[5.7496798E-1],"0,57496798",10333
[DIVADM].[AREAKM].&[5.7614499E-1],"0,57614499",35330
