[DIVPOL].[SHAPE_LENG].[SHAPE_LENG].[MEMBER_UNIQUE_NAME],[DIVPOL].[SHAPE_LENG].[SHAPE_LENG].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVPOL].[SHAPE_LENG].&[4.336782E-1],"0,4336782",332
[DIVPOL].[SHAPE_LENG].&[4.3452249E-1],"0,43452249",2664
[DIVPOL].[SHAPE_LENG].&[4.3459575E-1],"0,43459575",9345
[DIVPOL].[SHAPE_LENG].&[4.3480817E-1],"0,43480817",266
[DIVPOL].[SHAPE_LENG].&[4.3483383E-1],"0,43483383",448
[DIVPOL].[SHAPE_LENG].&[4.3492694E-1],"0,43492694",26488
[DIVPOL].[SHAPE_LENG].&[4.352666E-1],"0,4352666",221
[DIVPOL].[SHAPE_LENG].&[4.356294E-1],"0,4356294",2824
[DIVPOL].[SHAPE_LENG].&[4.3671044E-1],"0,43671044",2087
[DIVPOL].[SHAPE_LENG].&[4.3807653E-1],"0,43807653",6404
[DIVPOL].[SHAPE_LENG].&[4.3826011E-1],"0,43826011",9601
[DIVPOL].[SHAPE_LENG].&[4.3885647E-1],"0,43885647",7393
[DIVPOL].[SHAPE_LENG].&[4.3930503E-1],"0,43930503",22215
[DIVPOL].[SHAPE_LENG].&[4.4007844E-1],"0,44007844",272
[DIVPOL].[SHAPE_LENG].&[4.4131455E-1],"0,44131455",2307
[DIVPOL].[SHAPE_LENG].&[4.4316977E-1],"0,44316977",2045
[DIVPOL].[SHAPE_LENG].&[4.434353E-1],"0,4434353",620
[DIVPOL].[SHAPE_LENG].&[4.4360644E-1],"0,44360644",30306
[DIVPOL].[SHAPE_LENG].&[4.4576743E-1],"0,44576743",580
[DIVPOL].[SHAPE_LENG].&[4.4617556E-1],"0,44617556",1410
[DIVPOL].[SHAPE_LENG].&[4.4629088E-1],"0,44629088",107
[DIVPOL].[SHAPE_LENG].&[4.4646251E-1],"0,44646251",2265
[DIVPOL].[SHAPE_LENG].&[4.4729249E-1],"0,44729249",105353
[DIVPOL].[SHAPE_LENG].&[4.4765082E-1],"0,44765082",954
[DIVPOL].[SHAPE_LENG].&[4.493298E-1],"0,4493298",5864
[DIVPOL].[SHAPE_LENG].&[4.502173E-1],"0,4502173",14431
[DIVPOL].[SHAPE_LENG].&[4.5078182E-1],"0,45078182",1037
[DIVPOL].[SHAPE_LENG].&[4.5101394E-1],"0,45101394",404
[DIVPOL].[SHAPE_LENG].&[4.5147873E-1],"0,45147873",1790
[DIVPOL].[SHAPE_LENG].&[4.5233991E-1],"0,45233991",2684
[DIVPOL].[SHAPE_LENG].&[4.5382426E-1],"0,45382426",2636
[DIVPOL].[SHAPE_LENG].&[4.5427193E-1],"0,45427193",340
[DIVPOL].[SHAPE_LENG].&[4.5471E-1],"0,45471",20849
[DIVPOL].[SHAPE_LENG].&[4.571404E-1],"0,4571404",24630
[DIVPOL].[SHAPE_LENG].&[4.5726073E-1],"0,45726073",375
[DIVPOL].[SHAPE_LENG].&[4.5793581E-1],"0,45793581",23330
[DIVPOL].[SHAPE_LENG].&[4.5809888E-1],"0,45809888",249
[DIVPOL].[SHAPE_LENG].&[4.5831184E-1],"0,45831184",273
[DIVPOL].[SHAPE_LENG].&[4.5881386E-1],"0,45881386",453392
[DIVPOL].[SHAPE_LENG].&[4.6106226E-1],"0,46106226",1006
[DIVPOL].[SHAPE_LENG].&[4.6207007E-1],"0,46207007",130
[DIVPOL].[SHAPE_LENG].&[4.6305876E-1],"0,46305876",40750
[DIVPOL].[SHAPE_LENG].&[4.6376644E-1],"0,46376644",3931
[DIVPOL].[SHAPE_LENG].&[4.6502964E-1],"0,46502964",313
[DIVPOL].[SHAPE_LENG].&[4.6535558E-1],"0,46535558",47
[DIVPOL].[SHAPE_LENG].&[4.671707E-1],"0,4671707",2259
[DIVPOL].[SHAPE_LENG].&[4.6719451E-1],"0,46719451",643
[DIVPOL].[SHAPE_LENG].&[4.6818314E-1],"0,46818314",2116
[DIVPOL].[SHAPE_LENG].&[4.6923963E-1],"0,46923963",719
[DIVPOL].[SHAPE_LENG].&[4.7068457E-1],"0,47068457",4614
[DIVPOL].[SHAPE_LENG].&[4.7141179E-1],"0,47141179",249814
[DIVPOL].[SHAPE_LENG].&[4.7227181E-1],"0,47227181",2587
[DIVPOL].[SHAPE_LENG].&[4.7253324E-1],"0,47253324",593
[DIVPOL].[SHAPE_LENG].&[4.7358057E-1],"0,47358057",374
[DIVPOL].[SHAPE_LENG].&[4.7410144E-1],"0,47410144",12128
[DIVPOL].[SHAPE_LENG].&[4.7418691E-1],"0,47418691",7249
[DIVPOL].[SHAPE_LENG].&[4.7444741E-1],"0,47444741",3105
[DIVPOL].[SHAPE_LENG].&[4.758641E-1],"0,4758641",482
[DIVPOL].[SHAPE_LENG].&[4.7630842E-1],"0,47630842",691
[DIVPOL].[SHAPE_LENG].&[4.7653321E-1],"0,47653321",158
[DIVPOL].[SHAPE_LENG].&[4.7804309E-1],"0,47804309",5850
[DIVPOL].[SHAPE_LENG].&[4.7845875E-1],"0,47845875",924
[DIVPOL].[SHAPE_LENG].&[4.7980808E-1],"0,47980808",1794
[DIVPOL].[SHAPE_LENG].&[4.8006395E-1],"0,48006395",1991
[DIVPOL].[SHAPE_LENG].&[4.8021183E-1],"0,48021183",381
[DIVPOL].[SHAPE_LENG].&[4.8030862E-1],"0,48030862",1211
[DIVPOL].[SHAPE_LENG].&[4.8053734E-1],"0,48053734",4158
[DIVPOL].[SHAPE_LENG].&[4.810546E-1],"0,4810546",326
[DIVPOL].[SHAPE_LENG].&[4.8340659E-1],"0,48340659",3581
[DIVPOL].[SHAPE_LENG].&[4.8450416E-1],"0,48450416",14763
[DIVPOL].[SHAPE_LENG].&[4.8450467E-1],"0,48450467",1490
[DIVPOL].[SHAPE_LENG].&[4.8476246E-1],"0,48476246",2036
[DIVPOL].[SHAPE_LENG].&[4.8583726E-1],"0,48583726",5674
[DIVPOL].[SHAPE_LENG].&[4.8710524E-1],"0,48710524",10425
[DIVPOL].[SHAPE_LENG].&[4.8731315E-1],"0,48731315",143
[DIVPOL].[SHAPE_LENG].&[4.8971497E-1],"0,48971497",827
[DIVPOL].[SHAPE_LENG].&[4.8987627E-1],"0,48987627",5479
[DIVPOL].[SHAPE_LENG].&[4.9063002E-1],"0,49063002",405
[DIVPOL].[SHAPE_LENG].&[4.9077396E-1],"0,49077396",19785
[DIVPOL].[SHAPE_LENG].&[4.9170243E-1],"0,49170243",2759
[DIVPOL].[SHAPE_LENG].&[4.9178052E-1],"0,49178052",796
[DIVPOL].[SHAPE_LENG].&[4.9179134E-1],"0,49179134",13911
[DIVPOL].[SHAPE_LENG].&[4.9229754E-1],"0,49229754",401
[DIVPOL].[SHAPE_LENG].&[4.9232652E-1],"0,49232652",6354
[DIVPOL].[SHAPE_LENG].&[4.9255293E-1],"0,49255293",2543
[DIVPOL].[SHAPE_LENG].&[4.9269001E-1],"0,49269001",125
[DIVPOL].[SHAPE_LENG].&[4.9295442E-1],"0,49295442",18275
[DIVPOL].[SHAPE_LENG].&[4.9430201E-1],"0,49430201",21233
[DIVPOL].[SHAPE_LENG].&[4.9443572E-1],"0,49443572",1200
[DIVPOL].[SHAPE_LENG].&[4.9643332E-1],"0,49643332",4611
[DIVPOL].[SHAPE_LENG].&[4.9756189E-1],"0,49756189",1051
[DIVPOL].[SHAPE_LENG].&[4.9866899E-1],"0,49866899",651
[DIVPOL].[SHAPE_LENG].&[4.9890464E-1],"0,49890464",258
[DIVPOL].[SHAPE_LENG].&[5.0039266E-1],"0,50039266",3261
[DIVPOL].[SHAPE_LENG].&[5.0046028E-1],"0,50046028",4589
[DIVPOL].[SHAPE_LENG].&[5.0087315E-1],"0,50087315",582
[DIVPOL].[SHAPE_LENG].&[5.0142195E-1],"0,50142195",116974
[DIVPOL].[SHAPE_LENG].&[5.0221194E-1],"0,50221194",4008
[DIVPOL].[SHAPE_LENG].&[5.0319879E-1],"0,50319879",2186
[DIVPOL].[SHAPE_LENG].&[5.0358791E-1],"0,50358791",1860
[DIVPOL].[SHAPE_LENG].&[5.0383099E-1],"0,50383099",1891
[DIVPOL].[SHAPE_LENG].&[5.0652552E-1],"0,50652552",743
[DIVPOL].[SHAPE_LENG].&[5.065729E-1],"0,5065729",252
[DIVPOL].[SHAPE_LENG].&[5.0720999E-1],"0,50720999",4171
[DIVPOL].[SHAPE_LENG].&[5.0841152E-1],"0,50841152",906
[DIVPOL].[SHAPE_LENG].&[5.0919995E-1],"0,50919995",17438
[DIVPOL].[SHAPE_LENG].&[5.0954189E-1],"0,50954189",977
[DIVPOL].[SHAPE_LENG].&[5.0995868E-1],"0,50995868",2709
[DIVPOL].[SHAPE_LENG].&[5.1089641E-1],"0,51089641",6339
[DIVPOL].[SHAPE_LENG].&[5.1113759E-1],"0,51113759",4427
[DIVPOL].[SHAPE_LENG].&[5.1118997E-1],"0,51118997",1478
[DIVPOL].[SHAPE_LENG].&[5.1215705E-1],"0,51215705",78448
[DIVPOL].[SHAPE_LENG].&[5.1336105E-1],"0,51336105",360
[DIVPOL].[SHAPE_LENG].&[5.136103E-1],"0,5136103",402
[DIVPOL].[SHAPE_LENG].&[5.1448675E-1],"0,51448675",290
[DIVPOL].[SHAPE_LENG].&[5.1489145E-1],"0,51489145",6504
[DIVPOL].[SHAPE_LENG].&[5.1587674E-1],"0,51587674",2189
[DIVPOL].[SHAPE_LENG].&[5.1782593E-1],"0,51782593",7849
[DIVPOL].[SHAPE_LENG].&[5.1801202E-1],"0,51801202",410
[DIVPOL].[SHAPE_LENG].&[5.1805269E-1],"0,51805269",16352
[DIVPOL].[SHAPE_LENG].&[5.2006568E-1],"0,52006568",4408
[DIVPOL].[SHAPE_LENG].&[5.2095475E-1],"0,52095475",4487
[DIVPOL].[SHAPE_LENG].&[5.2096616E-1],"0,52096616",813
[DIVPOL].[SHAPE_LENG].&[5.2116914E-1],"0,52116914",3958
[DIVPOL].[SHAPE_LENG].&[5.217925E-1],"0,5217925",2004
[DIVPOL].[SHAPE_LENG].&[5.2247831E-1],"0,52247831",13089
[DIVPOL].[SHAPE_LENG].&[5.2380659E-1],"0,52380659",33
[DIVPOL].[SHAPE_LENG].&[5.2510664E-1],"0,52510664",1869
[DIVPOL].[SHAPE_LENG].&[5.251191E-1],"0,5251191",1207
[DIVPOL].[SHAPE_LENG].&[5.2873602E-1],"0,52873602",90
[DIVPOL].[SHAPE_LENG].&[5.2979191E-1],"0,52979191",572
[DIVPOL].[SHAPE_LENG].&[5.3003453E-1],"0,53003453",11412
[DIVPOL].[SHAPE_LENG].&[5.3023766E-1],"0,53023766",22850
[DIVPOL].[SHAPE_LENG].&[5.3151166E-1],"0,53151166",1667
[DIVPOL].[SHAPE_LENG].&[5.3192932E-1],"0,53192932",1669
[DIVPOL].[SHAPE_LENG].&[5.3228724E-1],"0,53228724",839
[DIVPOL].[SHAPE_LENG].&[5.3277442E-1],"0,53277442",732
[DIVPOL].[SHAPE_LENG].&[5.3286081E-1],"0,53286081",1278
[DIVPOL].[SHAPE_LENG].&[5.3289838E-1],"0,53289838",10821
[DIVPOL].[SHAPE_LENG].&[5.3500421E-1],"0,53500421",586
[DIVPOL].[SHAPE_LENG].&[5.355844E-1],"0,5355844",4633
[DIVPOL].[SHAPE_LENG].&[5.3578033E-1],"0,53578033",5802
[DIVPOL].[SHAPE_LENG].&[5.3638864E-1],"0,53638864",1850
[DIVPOL].[SHAPE_LENG].&[5.3658615E-1],"0,53658615",10912
[DIVPOL].[SHAPE_LENG].&[5.3679826E-1],"0,53679826",411
[DIVPOL].[SHAPE_LENG].&[5.3932692E-1],"0,53932692",440
[DIVPOL].[SHAPE_LENG].&[5.3932848E-1],"0,53932848",827
[DIVPOL].[SHAPE_LENG].&[5.3935074E-1],"0,53935074",415
[DIVPOL].[SHAPE_LENG].&[5.4110561E-1],"0,54110561",337
[DIVPOL].[SHAPE_LENG].&[5.416467E-1],"0,5416467",39887
[DIVPOL].[SHAPE_LENG].&[5.4309077E-1],"0,54309077",1567
[DIVPOL].[SHAPE_LENG].&[5.433469E-1],"0,5433469",2598
[DIVPOL].[SHAPE_LENG].&[5.4405925E-1],"0,54405925",933
[DIVPOL].[SHAPE_LENG].&[5.4565976E-1],"0,54565976",1019
[DIVPOL].[SHAPE_LENG].&[5.4646579E-1],"0,54646579",244
[DIVPOL].[SHAPE_LENG].&[5.4713188E-1],"0,54713188",1239
[DIVPOL].[SHAPE_LENG].&[5.4775369E-1],"0,54775369",1315
[DIVPOL].[SHAPE_LENG].&[5.4827326E-1],"0,54827326",5820
[DIVPOL].[SHAPE_LENG].&[5.5018384E-1],"0,55018384",4251
[DIVPOL].[SHAPE_LENG].&[5.5276552E-1],"0,55276552",300
[DIVPOL].[SHAPE_LENG].&[5.5633163E-1],"0,55633163",1067
[DIVPOL].[SHAPE_LENG].&[5.6104438E-1],"0,56104438",1324
[DIVPOL].[SHAPE_LENG].&[5.6268228E-1],"0,56268228",7608
[DIVPOL].[SHAPE_LENG].&[5.6420612E-1],"0,56420612",1567
[DIVPOL].[SHAPE_LENG].&[5.6677632E-1],"0,56677632",4812
[DIVPOL].[SHAPE_LENG].&[5.6696604E-1],"0,56696604",64561
[DIVPOL].[SHAPE_LENG].&[5.6964018E-1],"0,56964018",2687
[DIVPOL].[SHAPE_LENG].&[5.6998225E-1],"0,56998225",2439
[DIVPOL].[SHAPE_LENG].&[5.7035661E-1],"0,57035661",52
[DIVPOL].[SHAPE_LENG].&[5.706501E-1],"0,5706501",563
[DIVPOL].[SHAPE_LENG].&[5.7145253E-1],"0,57145253",3366
[DIVPOL].[SHAPE_LENG].&[5.7155287E-1],"0,57155287",543
[DIVPOL].[SHAPE_LENG].&[5.7452789E-1],"0,57452789",34922
[DIVPOL].[SHAPE_LENG].&[5.7756507E-1],"0,57756507",172
[DIVPOL].[SHAPE_LENG].&[5.7839101E-1],"0,57839101",6424
[DIVPOL].[SHAPE_LENG].&[5.7983594E-1],"0,57983594",15421
[DIVPOL].[SHAPE_LENG].&[5.8048296E-1],"0,58048296",465
[DIVPOL].[SHAPE_LENG].&[5.8182228E-1],"0,58182228",9422
[DIVPOL].[SHAPE_LENG].&[5.8289246E-1],"0,58289246",38004
[DIVPOL].[SHAPE_LENG].&[5.8324646E-1],"0,58324646",598
[DIVPOL].[SHAPE_LENG].&[5.84806E-1],"0,584806",2673
[DIVPOL].[SHAPE_LENG].&[5.8597825E-1],"0,58597825",12172
[DIVPOL].[SHAPE_LENG].&[5.8659012E-1],"0,58659012",587
[DIVPOL].[SHAPE_LENG].&[5.8850105E-1],"0,58850105",732
[DIVPOL].[SHAPE_LENG].&[5.8973357E-1],"0,58973357",2838
[DIVPOL].[SHAPE_LENG].&[5.9122748E-1],"0,59122748",120
[DIVPOL].[SHAPE_LENG].&[5.9127078E-1],"0,59127078",409
[DIVPOL].[SHAPE_LENG].&[5.9289484E-1],"0,59289484",3069
[DIVPOL].[SHAPE_LENG].&[5.946014E-1],"0,5946014",784
[DIVPOL].[SHAPE_LENG].&[5.9495392E-1],"0,59495392",772
[DIVPOL].[SHAPE_LENG].&[5.9508205E-1],"0,59508205",1890
[DIVPOL].[SHAPE_LENG].&[5.9565333E-1],"0,59565333",425
[DIVPOL].[SHAPE_LENG].&[5.9768498E-1],"0,59768498",4678
[DIVPOL].[SHAPE_LENG].&[5.9894905E-1],"0,59894905",2253
[DIVPOL].[SHAPE_LENG].&[5.9928022E-1],"0,59928022",7807
[DIVPOL].[SHAPE_LENG].&[6.0077788E-1],"0,60077788",289115
[DIVPOL].[SHAPE_LENG].&[6.0095691E-1],"0,60095691",178
[DIVPOL].[SHAPE_LENG].&[6.0144465E-1],"0,60144465",98121
[DIVPOL].[SHAPE_LENG].&[6.0343109E-1],"0,60343109",7128
[DIVPOL].[SHAPE_LENG].&[6.0441504E-1],"0,60441504",541
[DIVPOL].[SHAPE_LENG].&[6.0588208E-1],"0,60588208",45855
[DIVPOL].[SHAPE_LENG].&[6.0593646E-1],"0,60593646",579
[DIVPOL].[SHAPE_LENG].&[6.0691437E-1],"0,60691437",134
[DIVPOL].[SHAPE_LENG].&[6.0867278E-1],"0,60867278",8029
[DIVPOL].[SHAPE_LENG].&[6.0958765E-1],"0,60958765",1044
[DIVPOL].[SHAPE_LENG].&[6.1092837E-1],"0,61092837",1488
[DIVPOL].[SHAPE_LENG].&[6.1124849E-1],"0,61124849",779
[DIVPOL].[SHAPE_LENG].&[6.1168444E-1],"0,61168444",551
[DIVPOL].[SHAPE_LENG].&[6.121814E-1],"0,6121814",6228
[DIVPOL].[SHAPE_LENG].&[6.1251473E-1],"0,61251473",80960
[DIVPOL].[SHAPE_LENG].&[6.1285505E-1],"0,61285505",699
[DIVPOL].[SHAPE_LENG].&[6.1385105E-1],"0,61385105",2751
[DIVPOL].[SHAPE_LENG].&[6.1435631E-1],"0,61435631",9743
[DIVPOL].[SHAPE_LENG].&[6.1487004E-1],"0,61487004",765
[DIVPOL].[SHAPE_LENG].&[6.1878582E-1],"0,61878582",79105
[DIVPOL].[SHAPE_LENG].&[6.1893261E-1],"0,61893261",8135
[DIVPOL].[SHAPE_LENG].&[6.1957886E-1],"0,61957886",1095
[DIVPOL].[SHAPE_LENG].&[6.2067608E-1],"0,62067608",1836
[DIVPOL].[SHAPE_LENG].&[6.2094474E-1],"0,62094474",2374
[DIVPOL].[SHAPE_LENG].&[6.211411E-1],"0,6211411",20265
[DIVPOL].[SHAPE_LENG].&[6.2225268E-1],"0,62225268",947
[DIVPOL].[SHAPE_LENG].&[6.2658275E-1],"0,62658275",6252
[DIVPOL].[SHAPE_LENG].&[6.26747E-1],"0,626747",5740
[DIVPOL].[SHAPE_LENG].&[6.2916539E-1],"0,62916539",48
[DIVPOL].[SHAPE_LENG].&[6.2967009E-1],"0,62967009",62472
[DIVPOL].[SHAPE_LENG].&[6.3098514E-1],"0,63098514",1266
[DIVPOL].[SHAPE_LENG].&[6.3202813E-1],"0,63202813",132
[DIVPOL].[SHAPE_LENG].&[6.3278167E-1],"0,63278167",238
[DIVPOL].[SHAPE_LENG].&[6.334882E-1],"0,6334882",3128
[DIVPOL].[SHAPE_LENG].&[6.3474943E-1],"0,63474943",1756
[DIVPOL].[SHAPE_LENG].&[6.3618267E-1],"0,63618267",6528
[DIVPOL].[SHAPE_LENG].&[6.3652399E-1],"0,63652399",727
[DIVPOL].[SHAPE_LENG].&[6.380246E-1],"0,6380246",1085
[DIVPOL].[SHAPE_LENG].&[6.4070703E-1],"0,64070703",25046
[DIVPOL].[SHAPE_LENG].&[6.4239006E-1],"0,64239006",3996
[DIVPOL].[SHAPE_LENG].&[6.4379096E-1],"0,64379096",1991
[DIVPOL].[SHAPE_LENG].&[6.4400643E-1],"0,64400643",9971
[DIVPOL].[SHAPE_LENG].&[6.4429524E-1],"0,64429524",8801
[DIVPOL].[SHAPE_LENG].&[6.4440713E-1],"0,64440713",480
[DIVPOL].[SHAPE_LENG].&[6.4629421E-1],"0,64629421",18749
[DIVPOL].[SHAPE_LENG].&[6.4705663E-1],"0,64705663",605
[DIVPOL].[SHAPE_LENG].&[6.470693E-1],"0,6470693",20661
[DIVPOL].[SHAPE_LENG].&[6.4728418E-1],"0,64728418",2189
[DIVPOL].[SHAPE_LENG].&[6.5006358E-1],"0,65006358",9970
[DIVPOL].[SHAPE_LENG].&[6.5162728E-1],"0,65162728",3016
[DIVPOL].[SHAPE_LENG].&[6.518683E-1],"0,6518683",4897
[DIVPOL].[SHAPE_LENG].&[6.5196009E-1],"0,65196009",28499
[DIVPOL].[SHAPE_LENG].&[6.5240294E-1],"0,65240294",4452
[DIVPOL].[SHAPE_LENG].&[6.5244798E-1],"0,65244798",2636
[DIVPOL].[SHAPE_LENG].&[6.5300821E-1],"0,65300821",6464
[DIVPOL].[SHAPE_LENG].&[6.5319019E-1],"0,65319019",4293
[DIVPOL].[SHAPE_LENG].&[6.5337128E-1],"0,65337128",117
[DIVPOL].[SHAPE_LENG].&[6.5572152E-1],"0,65572152",69222
[DIVPOL].[SHAPE_LENG].&[6.5577192E-1],"0,65577192",589
[DIVPOL].[SHAPE_LENG].&[6.560925E-1],"0,6560925",1233
[DIVPOL].[SHAPE_LENG].&[6.5702746E-1],"0,65702746",1525
[DIVPOL].[SHAPE_LENG].&[6.5836587E-1],"0,65836587",6590
[DIVPOL].[SHAPE_LENG].&[6.5911762E-1],"0,65911762",7579
[DIVPOL].[SHAPE_LENG].&[6.6058023E-1],"0,66058023",5203
[DIVPOL].[SHAPE_LENG].&[6.6357126E-1],"0,66357126",750
[DIVPOL].[SHAPE_LENG].&[6.6374501E-1],"0,66374501",5748
[DIVPOL].[SHAPE_LENG].&[6.6557147E-1],"0,66557147",292
[DIVPOL].[SHAPE_LENG].&[6.6610963E-1],"0,66610963",606
[DIVPOL].[SHAPE_LENG].&[6.6668992E-1],"0,66668992",4357
[DIVPOL].[SHAPE_LENG].&[6.6669527E-1],"0,66669527",1665
[DIVPOL].[SHAPE_LENG].&[6.6924266E-1],"0,66924266",12393
[DIVPOL].[SHAPE_LENG].&[6.7048299E-1],"0,67048299",242
[DIVPOL].[SHAPE_LENG].&[6.7161283E-1],"0,67161283",9687
[DIVPOL].[SHAPE_LENG].&[6.7388468E-1],"0,67388468",26669
[DIVPOL].[SHAPE_LENG].&[6.7442313E-1],"0,67442313",1925
[DIVPOL].[SHAPE_LENG].&[6.7593579E-1],"0,67593579",1227
[DIVPOL].[SHAPE_LENG].&[6.7649287E-1],"0,67649287",9767
[DIVPOL].[SHAPE_LENG].&[6.76559E-1],"0,676559",1728
[DIVPOL].[SHAPE_LENG].&[6.7778122E-1],"0,67778122",354
[DIVPOL].[SHAPE_LENG].&[6.781808E-1],"0,6781808",1901
[DIVPOL].[SHAPE_LENG].&[6.7925499E-1],"0,67925499",8838
[DIVPOL].[SHAPE_LENG].&[6.7978769E-1],"0,67978769",23
[DIVPOL].[SHAPE_LENG].&[6.8432139E-1],"0,68432139",3857
[DIVPOL].[SHAPE_LENG].&[6.8442368E-1],"0,68442368",641
[DIVPOL].[SHAPE_LENG].&[6.8505689E-1],"0,68505689",3599
[DIVPOL].[SHAPE_LENG].&[6.864798E-1],"0,6864798",650
[DIVPOL].[SHAPE_LENG].&[6.8687886E-1],"0,68687886",29779
[DIVPOL].[SHAPE_LENG].&[6.8824964E-1],"0,68824964",591
[DIVPOL].[SHAPE_LENG].&[6.8889477E-1],"0,68889477",993
[DIVPOL].[SHAPE_LENG].&[6.8985763E-1],"0,68985763",12436
[DIVPOL].[SHAPE_LENG].&[6.9029711E-1],"0,69029711",1718
[DIVPOL].[SHAPE_LENG].&[6.9043984E-1],"0,69043984",298
[DIVPOL].[SHAPE_LENG].&[6.9305022E-1],"0,69305022",1290
[DIVPOL].[SHAPE_LENG].&[6.9331189E-1],"0,69331189",99
[DIVPOL].[SHAPE_LENG].&[6.946814E-1],"0,6946814",4730
[DIVPOL].[SHAPE_LENG].&[6.9591349E-1],"0,69591349",4034
[DIVPOL].[SHAPE_LENG].&[6.9801736E-1],"0,69801736",293
[DIVPOL].[SHAPE_LENG].&[6.9871586E-1],"0,69871586",4068
[DIVPOL].[SHAPE_LENG].&[6.9967661E-1],"0,69967661",3611
[DIVPOL].[SHAPE_LENG].&[7.0095164E-1],"0,70095164",15328
[DIVPOL].[SHAPE_LENG].&[7.0393112E-1],"0,70393112",91
[DIVPOL].[SHAPE_LENG].&[7.0451369E-1],"0,70451369",1057
[DIVPOL].[SHAPE_LENG].&[7.0497382E-1],"0,70497382",28
[DIVPOL].[SHAPE_LENG].&[7.0661469E-1],"0,70661469",1030
[DIVPOL].[SHAPE_LENG].&[7.0709278E-1],"0,70709278",12667
[DIVPOL].[SHAPE_LENG].&[7.0735062E-1],"0,70735062",13586
[DIVPOL].[SHAPE_LENG].&[7.0956087E-1],"0,70956087",7279
[DIVPOL].[SHAPE_LENG].&[7.0981481E-1],"0,70981481",1975
[DIVPOL].[SHAPE_LENG].&[7.1643501E-1],"0,71643501",1969
[DIVPOL].[SHAPE_LENG].&[7.1644035E-1],"0,71644035",1461
[DIVPOL].[SHAPE_LENG].&[7.1761819E-1],"0,71761819",160009
[DIVPOL].[SHAPE_LENG].&[7.176855E-1],"0,7176855",671
[DIVPOL].[SHAPE_LENG].&[7.1858913E-1],"0,71858913",4252
[DIVPOL].[SHAPE_LENG].&[7.1866728E-1],"0,71866728",583
[DIVPOL].[SHAPE_LENG].&[7.2272218E-1],"0,72272218",12413
[DIVPOL].[SHAPE_LENG].&[7.2318332E-1],"0,72318332",2990
[DIVPOL].[SHAPE_LENG].&[7.2450768E-1],"0,72450768",238
[DIVPOL].[SHAPE_LENG].&[7.2483937E-1],"0,72483937",5005
[DIVPOL].[SHAPE_LENG].&[7.2487784E-1],"0,72487784",121
[DIVPOL].[SHAPE_LENG].&[7.255897E-1],"0,7255897",1338
[DIVPOL].[SHAPE_LENG].&[7.2576635E-1],"0,72576635",97864
[DIVPOL].[SHAPE_LENG].&[7.2609568E-1],"0,72609568",1934
[DIVPOL].[SHAPE_LENG].&[7.2692709E-1],"0,72692709",2353
[DIVPOL].[SHAPE_LENG].&[7.2869711E-1],"0,72869711",2270
[DIVPOL].[SHAPE_LENG].&[7.3000206E-1],"0,73000206",879
[DIVPOL].[SHAPE_LENG].&[7.3017414E-1],"0,73017414",7482
[DIVPOL].[SHAPE_LENG].&[7.3074968E-1],"0,73074968",213
[DIVPOL].[SHAPE_LENG].&[7.3162667E-1],"0,73162667",1190
[DIVPOL].[SHAPE_LENG].&[7.321835E-1],"0,7321835",2278
[DIVPOL].[SHAPE_LENG].&[7.3368797E-1],"0,73368797",993
[DIVPOL].[SHAPE_LENG].&[7.3382709E-1],"0,73382709",1165
[DIVPOL].[SHAPE_LENG].&[7.339966E-1],"0,7339966",12489
[DIVPOL].[SHAPE_LENG].&[7.3548904E-1],"0,73548904",2391
[DIVPOL].[SHAPE_LENG].&[7.3606494E-1],"0,73606494",1091
[DIVPOL].[SHAPE_LENG].&[7.3692663E-1],"0,73692663",456
[DIVPOL].[SHAPE_LENG].&[7.3719065E-1],"0,73719065",11090
[DIVPOL].[SHAPE_LENG].&[7.3920075E-1],"0,73920075",10426
[DIVPOL].[SHAPE_LENG].&[7.401572E-1],"0,7401572",27014
[DIVPOL].[SHAPE_LENG].&[7.4032941E-1],"0,74032941",11057
[DIVPOL].[SHAPE_LENG].&[7.4081738E-1],"0,74081738",14347
[DIVPOL].[SHAPE_LENG].&[7.4155871E-1],"0,74155871",2423
[DIVPOL].[SHAPE_LENG].&[7.4170971E-1],"0,74170971",136
[DIVPOL].[SHAPE_LENG].&[7.4225961E-1],"0,74225961",880
[DIVPOL].[SHAPE_LENG].&[7.4454142E-1],"0,74454142",261
[DIVPOL].[SHAPE_LENG].&[7.4771258E-1],"0,74771258",5178
[DIVPOL].[SHAPE_LENG].&[7.4925199E-1],"0,74925199",2952
[DIVPOL].[SHAPE_LENG].&[7.4970323E-1],"0,74970323",1052
[DIVPOL].[SHAPE_LENG].&[7.5087224E-1],"0,75087224",1389
[DIVPOL].[SHAPE_LENG].&[7.5185241E-1],"0,75185241",778
[DIVPOL].[SHAPE_LENG].&[7.5198153E-1],"0,75198153",827
[DIVPOL].[SHAPE_LENG].&[7.5280786E-1],"0,75280786",15786
[DIVPOL].[SHAPE_LENG].&[7.5341801E-1],"0,75341801",14362
[DIVPOL].[SHAPE_LENG].&[7.5411306E-1],"0,75411306",11737
[DIVPOL].[SHAPE_LENG].&[7.5543015E-1],"0,75543015",2793
[DIVPOL].[SHAPE_LENG].&[7.5546205E-1],"0,75546205",2497
[DIVPOL].[SHAPE_LENG].&[7.5572842E-1],"0,75572842",4483
