[DIVPOL].[OBJECTID].[OBJECTID].[MEMBER_UNIQUE_NAME],[DIVPOL].[OBJECTID].[OBJECTID].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVPOL].[OBJECTID].&[1.1E2],110,12142
[DIVPOL].[OBJECTID].&[1.11E2],111,1730
[DIVPOL].[OBJECTID].&[1.12E2],112,666
[DIVPOL].[OBJECTID].&[1.13E2],113,1315
[DIVPOL].[OBJECTID].&[1.14E2],114,889
[DIVPOL].[OBJECTID].&[1.15E2],115,181
[DIVPOL].[OBJECTID].&[1.16E2],116,103
[DIVPOL].[OBJECTID].&[1.17E2],117,112
[DIVPOL].[OBJECTID].&[1.18E2],118,1461
[DIVPOL].[OBJECTID].&[1.19E2],119,3016
[DIVPOL].[OBJECTID].&[1.2E2],120,10426
[DIVPOL].[OBJECTID].&[1.21E2],121,130
[DIVPOL].[OBJECTID].&[1.22E2],122,2201
[DIVPOL].[OBJECTID].&[1.23E2],123,820
[DIVPOL].[OBJECTID].&[1.24E2],124,1424
[DIVPOL].[OBJECTID].&[1.25E2],125,9743
[DIVPOL].[OBJECTID].&[1.26E2],126,7849
[DIVPOL].[OBJECTID].&[1.27E2],127,567
[DIVPOL].[OBJECTID].&[1.28E2],128,251
[DIVPOL].[OBJECTID].&[1.29E2],129,744
[DIVPOL].[OBJECTID].&[1.3E2],130,954
[DIVPOL].[OBJECTID].&[1.31E2],131,10698
[DIVPOL].[OBJECTID].&[1.32E2],132,2864
[DIVPOL].[OBJECTID].&[1.33E2],133,2920
[DIVPOL].[OBJECTID].&[1.34E2],134,168
[DIVPOL].[OBJECTID].&[1.35E2],135,512
[DIVPOL].[OBJECTID].&[1.36E2],136,238
[DIVPOL].[OBJECTID].&[1.37E2],137,11090
[DIVPOL].[OBJECTID].&[1.38E2],138,1929
[DIVPOL].[OBJECTID].&[1.39E2],139,2229
[DIVPOL].[OBJECTID].&[1.4E2],140,345
[DIVPOL].[OBJECTID].&[1.41E2],141,311
[DIVPOL].[OBJECTID].&[1.42E2],142,93
[DIVPOL].[OBJECTID].&[1.43E2],143,11062
[DIVPOL].[OBJECTID].&[1.44E2],144,3105
[DIVPOL].[OBJECTID].&[1.45E2],145,582
[DIVPOL].[OBJECTID].&[1.46E2],146,732
[DIVPOL].[OBJECTID].&[1.47E2],147,375
[DIVPOL].[OBJECTID].&[1.48E2],148,1002
[DIVPOL].[OBJECTID].&[1.49E2],149,125
[DIVPOL].[OBJECTID].&[1.5E2],150,221
[DIVPOL].[OBJECTID].&[1.51E2],151,14362
[DIVPOL].[OBJECTID].&[1.52E2],152,289115
[DIVPOL].[OBJECTID].&[1.53E2],153,2374
[DIVPOL].[OBJECTID].&[1.54E2],154,176
[DIVPOL].[OBJECTID].&[1.55E2],155,3842
[DIVPOL].[OBJECTID].&[1.56E2],156,1165
[DIVPOL].[OBJECTID].&[1.57E2],157,9767
[DIVPOL].[OBJECTID].&[1.58E2],158,933
[DIVPOL].[OBJECTID].&[1.59E2],159,9311
[DIVPOL].[OBJECTID].&[1.6E2],160,3366
[DIVPOL].[OBJECTID].&[1.61E2],161,3384
[DIVPOL].[OBJECTID].&[1.62E2],162,261
[DIVPOL].[OBJECTID].&[1.63E2],163,29
[DIVPOL].[OBJECTID].&[1.64E2],164,9971
[DIVPOL].[OBJECTID].&[1.65E2],165,2278
[DIVPOL].[OBJECTID].&[1.66E2],166,23
[DIVPOL].[OBJECTID].&[1.67E2],167,1512
[DIVPOL].[OBJECTID].&[1.68E2],168,42
[DIVPOL].[OBJECTID].&[1.69E2],169,28
[DIVPOL].[OBJECTID].&[1.7E2],170,16
[DIVPOL].[OBJECTID].&[1.71E2],171,294
[DIVPOL].[OBJECTID].&[1.72E2],172,244
[DIVPOL].[OBJECTID].&[1.73E2],173,850
[DIVPOL].[OBJECTID].&[1.74E2],174,33
[DIVPOL].[OBJECTID].&[1.75E2],175,744
[DIVPOL].[OBJECTID].&[1.76E2],176,14072
[DIVPOL].[OBJECTID].&[1.77E2],177,491
[DIVPOL].[OBJECTID].&[1.78E2],178,641
[DIVPOL].[OBJECTID].&[1.79E2],179,377
