[DIVPOL].[DPA_PARROQ].[DPA_PARROQ].[MEMBER_UNIQUE_NAME],[DIVPOL].[DPA_PARROQ].[DPA_PARROQ].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVPOL].[DPA_PARROQ].&[010953],010953,437
[DIVPOL].[DPA_PARROQ].&[010954],010954,1171
[DIVPOL].[DPA_PARROQ].&[010955],010955,1763
[DIVPOL].[DPA_PARROQ].&[010956],010956,707
[DIVPOL].[DPA_PARROQ].&[011050],011050,2270
[DIVPOL].[DPA_PARROQ].&[011051],011051,999
[DIVPOL].[DPA_PARROQ].&[011150],011150,5380
[DIVPOL].[DPA_PARROQ].&[011151],011151,389
[DIVPOL].[DPA_PARROQ].&[011152],011152,956
[DIVPOL].[DPA_PARROQ].&[011153],011153,443
[DIVPOL].[DPA_PARROQ].&[011154],011154,514
[DIVPOL].[DPA_PARROQ].&[011250],011250,900
[DIVPOL].[DPA_PARROQ].&[011253],011253,620
[DIVPOL].[DPA_PARROQ].&[011350],011350,752
[DIVPOL].[DPA_PARROQ].&[011351],011351,242
[DIVPOL].[DPA_PARROQ].&[011352],011352,640
[DIVPOL].[DPA_PARROQ].&[011450],011450,1903
[DIVPOL].[DPA_PARROQ].&[011550],011550,22066
[DIVPOL].[DPA_PARROQ].&[011551],011551,460
[DIVPOL].[DPA_PARROQ].&[020150],020150,98330
[DIVPOL].[DPA_PARROQ].&[020151],020151,1525
[DIVPOL].[DPA_PARROQ].&[020153],020153,2116
[DIVPOL].[DPA_PARROQ].&[020155],020155,6024
[DIVPOL].[DPA_PARROQ].&[020156],020156,2372
[DIVPOL].[DPA_PARROQ].&[020157],020157,4614
[DIVPOL].[DPA_PARROQ].&[020158],020158,3065
[DIVPOL].[DPA_PARROQ].&[020159],020159,2325
[DIVPOL].[DPA_PARROQ].&[020160],020160,12172
[DIVPOL].[DPA_PARROQ].&[020250],020250,9025
[DIVPOL].[DPA_PARROQ].&[020251],020251,5277
[DIVPOL].[DPA_PARROQ].&[020350],020350,10294
[DIVPOL].[DPA_PARROQ].&[020351],020351,1508
[DIVPOL].[DPA_PARROQ].&[020353],020353,1662
[DIVPOL].[DPA_PARROQ].&[020354],020354,1277
[DIVPOL].[DPA_PARROQ].&[020355],020355,425
[DIVPOL].[DPA_PARROQ].&[020450],020450,25600
[DIVPOL].[DPA_PARROQ].&[020550],020550,15421
[DIVPOL].[DPA_PARROQ].&[020551],020551,6404
[DIVPOL].[DPA_PARROQ].&[020552],020552,1756
[DIVPOL].[DPA_PARROQ].&[020553],020553,322
[DIVPOL].[DPA_PARROQ].&[020554],020554,4008
