[DMH_INCIDENT].[InvalidIncidentTypeId].[InvalidIncidentTypeId].[MEMBER_UNIQUE_NAME],[DMH_INCIDENT].[InvalidIncidentTypeId].[InvalidIncidentTypeId].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DMH_INCIDENT].[InvalidIncidentTypeId].&[0],0,23254199
[DMH_INCIDENT].[InvalidIncidentTypeId].&[6],6,6670
