[DMH_INCIDENT].[GeoRefDiv_PolObjId].[GeoRefDiv_PolObjId].[MEMBER_UNIQUE_NAME],[DMH_INCIDENT].[GeoRefDiv_PolObjId].[GeoRefDiv_PolObjId].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[83],83,3489
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[84],84,46645
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[85],85,1618
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[86],86,1836
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[87],87,3770
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[88],88,2264
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[89],89,8001
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[90],90,20131
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[91],91,576
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[92],92,1087
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[93],93,411
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[94],94,6694
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[95],95,1283
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[96],96,498
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[97],97,593
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[98],98,120
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[99],99,453392
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[100],100,589
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[101],101,5864
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[102],102,1983
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[103],103,579
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[104],104,2819
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[105],105,1389
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[106],106,1814
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[107],107,1901
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[108],108,3996
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[109],109,15543
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[110],110,12142
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[111],111,1730
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[112],112,666
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[113],113,1315
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[114],114,889
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[115],115,181
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[116],116,103
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[117],117,112
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[118],118,1461
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[119],119,3016
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[120],120,10426
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[121],121,130
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[122],122,2201
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[123],123,820
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[124],124,1424
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[125],125,9743
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[126],126,7849
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[127],127,567
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[128],128,251
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[129],129,744
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[130],130,954
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[131],131,10698
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[132],132,2864
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[133],133,2920
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[134],134,168
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[135],135,512
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[136],136,238
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[137],137,11090
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[138],138,1929
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[139],139,2229
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[140],140,345
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[141],141,311
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[142],142,93
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[143],143,11062
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[144],144,3105
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[145],145,582
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[146],146,732
[DMH_INCIDENT].[GeoRefDiv_PolObjId].&[147],147,375
